domain,split_regime,layer,null_family,n_seed_runs,mean_h1_observed_geodesic,mean_h1_null,mean_h1_delta_observed_minus_null,frac_seed_runs_h1_delta_positive,fisher_stat_h1_upper,fisher_p_h1_upper,mean_distortion_observed,mean_distortion_null,mean_distortion_delta_observed_minus_null,fisher_stat_distortion_lower,fisher_p_distortion_lower,mean_knn_k,bridged_runs,mean_edge_hist_l1_ratio
immune,target_disjoint,1,quantile_constrained_geodesic_rewire,3,1.7423043162892309,33.42447487513224,-31.682170558843012,0.0,-0.0,1.0,1.4951886278028488,1.1571639285525128,0.3380246992503361,3.58351893845611,0.7328267445020427,29.666666666666668,0,0.15072699991857938
immune,target_disjoint,2,degree_preserving_geodesic_rewire,3,3.9161968620294303,34.351097663243614,-30.434900801214184,0.0,-0.0,1.0,1.2224323252640164,1.2091376570473444,0.013294668216671912,7.16703787691222,0.30567563693313654,33.333333333333336,0,0.14934316946819012
immune,target_disjoint,2,quantile_constrained_geodesic_rewire,3,3.9161968620294303,39.672587871551514,-35.75639100952208,0.0,-0.0,1.0,1.2224323252640164,1.2120439801773064,0.01038834508670979,7.16703787691222,0.30567563693313654,33.333333333333336,0,0.15188065461382552
immune,target_disjoint,3,degree_preserving_geodesic_rewire,3,1.9991429646809895,29.67177689870198,-27.672633934020997,0.0,-0.0,1.0,1.0000000000448295,1.0358517374287703,-0.03585173738394095,10.75055681536833,0.09639855272102762,28.333333333333332,0,0.12285921469367748
immune,target_disjoint,3,quantile_constrained_geodesic_rewire,3,1.9991429646809895,24.345419216156007,-22.346276251475018,0.0,-0.0,1.0,1.0000000000448295,1.0335774817360102,-0.033577481691180765,10.75055681536833,0.09639855272102762,28.333333333333332,0,0.12280670952345725
immune,target_disjoint,4,degree_preserving_geodesic_rewire,3,2.812229606887634,39.75285822550456,-36.94062861861693,0.0,-0.0,1.0,1.415574071209506,1.1297073213613678,0.28586674984813815,3.58351893845611,0.7328267445020427,30.333333333333332,0,0.1423058867507716
immune,target_disjoint,4,quantile_constrained_geodesic_rewire,3,2.812229606887634,43.775653743743895,-40.96342413685626,0.0,-0.0,1.0,1.415574071209506,1.1326000082823593,0.28297406292714666,3.58351893845611,0.7328267445020427,30.333333333333332,0,0.14452628723652625
immune,target_disjoint,5,degree_preserving_geodesic_rewire,3,3.562529252277836,27.9435479482015,-24.38101869592366,0.0,-0.0,1.0,1.347863350129942,1.2310425981946933,0.11682075193524843,7.16703787691222,0.30567563693313654,34.666666666666664,0,0.15178490803278577
immune,target_disjoint,5,quantile_constrained_geodesic_rewire,3,3.562529252277836,31.111654726664224,-27.54912547438639,0.0,-0.0,1.0,1.347863350129942,1.231694020664629,0.11616932946531278,7.16703787691222,0.30567563693313654,34.666666666666664,0,0.15235554331285062
immune,target_disjoint,6,degree_preserving_geodesic_rewire,3,2.971236564542631,34.13418032328288,-31.162943758740244,0.0,-0.0,1.0,1.7653751610513584,1.1292514359727668,0.6361237250785913,-0.0,1.0,26.666666666666668,0,0.14396666737638864
immune,target_disjoint,6,quantile_constrained_geodesic_rewire,3,2.971236564542631,27.441502193992836,-24.470265629450207,0.0,-0.0,1.0,1.7653751610513584,1.1276627434622715,0.6377124175890864,-0.0,1.0,26.666666666666668,0,0.14299526115544578
immune,target_disjoint,7,degree_preserving_geodesic_rewire,3,4.592558145523071,32.186156272888184,-27.593598127365112,0.0,-0.0,1.0,1.2425339148188834,1.2199906870095358,0.022543227809347255,7.16703787691222,0.30567563693313654,35.666666666666664,1,0.15353598698178922
immune,target_disjoint,7,quantile_constrained_geodesic_rewire,3,4.592558145523071,34.709209473927814,-30.116651328404743,0.0,-0.0,1.0,1.2425339148188834,1.2205870220390138,0.021946892779869425,7.16703787691222,0.30567563693313654,35.666666666666664,1,0.1545627875417769
immune,target_disjoint,8,degree_preserving_geodesic_rewire,3,5.885748704274495,30.25278158187866,-24.367032877604164,0.0,-0.0,1.0,1.2158788612239004,1.0403040438025446,0.17557481742135583,7.16703787691222,0.30567563693313654,33.0,0,0.14694266483522556
immune,target_disjoint,8,quantile_constrained_geodesic_rewire,3,5.885748704274495,35.46572971343994,-29.579981009165447,0.0,-0.0,1.0,1.2158788612239004,1.0403444915120408,0.17553436971185965,7.16703787691222,0.30567563693313654,33.0,0,0.14768202760886484
immune,target_disjoint,9,degree_preserving_geodesic_rewire,3,2.6340413255738135,29.64121386210124,-27.007172536527424,0.0,-0.0,1.0,1.1233339544547534,1.1506099166065331,-0.02727596215177967,10.75055681536833,0.09639855272102762,35.0,0,0.1476405804377382
immune,target_disjoint,9,quantile_constrained_geodesic_rewire,3,2.6340413255738135,25.79394207000733,-23.159900744433514,0.0,-0.0,1.0,1.1233339544547534,1.1530994108722397,-0.029765456417486364,10.75055681536833,0.09639855272102762,35.0,0,0.1476885275321925
immune,target_disjoint,10,degree_preserving_geodesic_rewire,3,2.259028991063436,21.97872034708659,-19.71969135602315,0.0,-0.0,1.0,1.0000000000059628,1.0378296343969662,-0.03782963439100362,10.75055681536833,0.09639855272102762,32.333333333333336,0,0.14228351774611225
immune,target_disjoint,10,quantile_constrained_geodesic_rewire,3,2.259028991063436,26.55792177518209,-24.298892784118653,0.0,-0.0,1.0,1.0000000000059628,1.0396599288803463,-0.0396599288743836,10.75055681536833,0.09639855272102762,32.333333333333336,0,0.14308008872861408
immune,target_disjoint,11,degree_preserving_geodesic_rewire,3,2.2832604249318442,20.227025397618615,-17.94376497268677,0.0,-0.0,1.0,1.226423962407294,1.1913041122081056,0.03511985019918814,3.58351893845611,0.7328267445020427,28.666666666666668,1,0.15272912853368656
