domain,seed_tag,split_regime,layer,n_genes_pool,n_points,pca_dim,knn_k,knn_bucket,used_component_bridging,h1_observed_geodesic,distortion_observed,null_family,n_null_draws,rewire_attempts_total,mean_edge_hist_l1_ratio,h1_null_mean,h1_null_std,h1_delta_observed_minus_null,h1_z_observed_minus_null,h1_p_perm_upper,distortion_null_mean,distortion_null_std,distortion_delta_observed_minus_null,distortion_z_observed_minus_null,distortion_p_lower
immune,seed44,source_disjoint,3,2470,150,14,40,k_gt_30,True,21.219407558441162,1.2890584548840665,degree_preserving_geodesic_rewire,5,5,0.3176971214017522,32.21854720115662,2.8410700928000434,-10.999139642715456,-3.871477745909349,1.0,1.1087904157386013,0.0016175234865401132,0.1802680391454652,111.44686874636362,1.0
immune,seed42_main,source_disjoint,3,2470,150,14,40,k_gt_30,True,18.616477727890015,1.3330826878109339,quantile_constrained_geodesic_rewire,5,5,0.315264483627204,31.246130084991456,6.991069506887108,-12.629652357101442,-1.806540807934045,1.0,1.066610542514716,0.0011355663402406952,0.26647214529621777,234.65992359355482,1.0
immune,seed43,source_disjoint,3,2470,150,14,40,k_gt_30,True,19.51271915435791,1.3720228328067539,quantile_constrained_geodesic_rewire,5,5,0.3117398858277488,31.572109127044676,3.045920738411757,-12.059389972686766,-3.9591936246560815,1.0,1.1112810659364665,0.0005963431036153984,0.2607417668702874,437.23374690805724,1.0
immune,seed44,source_disjoint,3,2470,150,14,40,k_gt_30,True,21.219407558441162,1.2890584548840665,quantile_constrained_geodesic_rewire,5,5,0.310287859824781,33.83696489334106,3.6336019583818104,-12.6175573348999,-3.472465469785948,1.0,1.1078602380228832,0.000857087232430738,0.1811982168611832,211.41139267225438,1.0
immune,seed42_main,source_disjoint,4,2470,150,14,40,k_gt_30,True,16.1614887714386,1.3679535762160309,degree_preserving_geodesic_rewire,5,5,0.31976196379866106,27.275064945220947,4.2896232919522195,-11.113576173782349,-2.5908046965433473,1.0,1.1057065268891224,0.0018179121231001732,0.26224704932690845,144.25719578924992,1.0
immune,seed43,source_disjoint,4,2470,150,14,40,k_gt_30,True,16.281129121780396,1.2307511972020109,degree_preserving_geodesic_rewire,5,5,0.3243080020130851,31.019666242599488,3.8368546885582036,-14.738537120819093,-3.8413070896141153,1.0,1.1092347829982923,0.0014889601294899692,0.12151641420371861,81.61154230086787,1.0
immune,seed44,source_disjoint,4,2470,150,14,40,k_gt_30,True,16.943445444107056,1.3521968091675176,degree_preserving_geodesic_rewire,5,5,0.3189898489725179,30.052641820907592,5.091015489507088,-13.109196376800536,-2.5749669002666504,1.0,1.0583729459336593,0.001160487445254461,0.29382386323385834,253.1898222988609,1.0
immune,seed42_main,source_disjoint,4,2470,150,14,40,k_gt_30,True,16.1614887714386,1.3679535762160309,quantile_constrained_geodesic_rewire,5,5,0.31212496900570297,27.42081594467163,2.8041523263805175,-11.259327173233032,-4.0152337885834,1.0,1.1048940054921983,0.0005482003667181657,0.26305957072383257,479.85938506255746,1.0
immune,seed43,source_disjoint,4,2470,150,14,40,k_gt_30,True,16.281129121780396,1.2307511972020109,quantile_constrained_geodesic_rewire,5,5,0.3114242576748868,28.56230273246765,3.3247781938579264,-12.281173610687254,-3.693832457660247,1.0,1.107284734684302,0.001090512119870911,0.12346646251770887,113.21868601849025,1.0
immune,seed44,source_disjoint,4,2470,150,14,40,k_gt_30,True,16.943445444107056,1.3521968091675176,quantile_constrained_geodesic_rewire,5,5,0.3098786828422877,28.3769109249115,5.026434235587177,-11.433465480804443,-2.2746672775664285,1.0,1.0572962735911402,0.000772203369305313,0.2949005355763774,381.89441461160663,1.0
immune,seed42_main,source_disjoint,5,2470,150,14,40,k_gt_30,True,14.556537628173828,1.2512400551729028,degree_preserving_geodesic_rewire,5,5,0.3239859789684527,26.039165639877318,2.619398343775419,-11.48262801170349,-4.383689114947495,1.0,1.0627074146328526,0.0014522248045368074,0.18853264054005026,129.8232271806955,1.0
immune,seed43,source_disjoint,5,2470,150,14,40,k_gt_30,True,17.137229442596436,1.318027395946448,degree_preserving_geodesic_rewire,5,5,0.3257700205338809,29.716957378387452,2.5721130013353273,-12.579727935791016,-4.890814643201664,1.0,1.0687422884377997,0.0012733332357799478,0.24928510750864818,195.7735058901916,1.0
immune,seed44,source_disjoint,5,2470,150,14,40,k_gt_30,True,18.978394985198975,1.2412001923329714,degree_preserving_geodesic_rewire,5,5,0.3286742034943474,30.05836181640625,3.4188738353012655,-11.079966831207276,-3.2408235465027344,1.0,1.103869618541371,0.0013138696478778595,0.1373305737916004,104.52366373616331,1.0
immune,seed42_main,source_disjoint,5,2470,150,14,40,k_gt_30,True,14.556537628173828,1.2512400551729028,quantile_constrained_geodesic_rewire,5,5,0.3116675012518778,27.341118907928468,3.200304715019946,-12.78458127975464,-3.9948012499429004,1.0,1.0618941490628693,0.001413790451747669,0.18934590611003355,133.92774859118873,1.0
immune,seed43,source_disjoint,5,2470,150,14,40,k_gt_30,True,17.137229442596436,1.318027395946448,quantile_constrained_geodesic_rewire,5,5,0.31765913757700204,30.465859842300414,2.9887690448196422,-13.328630399703979,-4.459571882393049,1.0,1.0679182409432584,0.0006794436657270513,0.25010915500318953,368.1082030948848,1.0
immune,seed44,source_disjoint,5,2470,150,14,40,k_gt_30,True,18.978394985198975,1.2412001923329714,quantile_constrained_geodesic_rewire,5,5,0.31366906474820144,30.927171516418458,3.4801912164909536,-11.948776531219483,-3.43336781932171,1.0,1.1020443429502358,0.0007165094065727082,0.13915584938273562,194.21329837812303,1.0
immune,seed42_main,source_disjoint,6,2470,150,14,40,k_gt_30,True,10.236521005630493,1.3518705802345634,degree_preserving_geodesic_rewire,5,5,0.32365063788027476,22.360648918151856,2.229432566112371,-12.124127912521363,-5.438212436371154,1.0,1.0550288880116956,0.0007601523736788698,0.2968416922228678,390.5023676817488,1.0
immune,seed43,source_disjoint,6,2470,150,14,40,k_gt_30,True,20.8720965385437,1.2790498004530126,degree_preserving_geodesic_rewire,5,5,0.32072821846553967,31.741040468215942,5.362273308164046,-10.868943929672241,-2.0269283758993364,1.0,1.0766876858164345,0.000957843873825079,0.20236211463657816,211.268150163461,1.0
immune,seed44,source_disjoint,6,2470,150,14,40,k_gt_30,True,14.684280395507812,1.274822630349206,degree_preserving_geodesic_rewire,5,5,0.32982097186700765,28.068456840515136,4.406084486516056,-13.384176445007324,-3.0376576942474145,1.0,1.0752003161954087,0.0010262842568394266,0.1996223141537974,194.5095798886941,1.0
immune,seed42_main,source_disjoint,6,2470,150,14,40,k_gt_30,True,10.236521005630493,1.3518705802345634,quantile_constrained_geodesic_rewire,5,5,0.3105004906771344,22.0018714427948,0.9815789315980957,-11.765350437164308,-11.986148078813335,1.0,1.0554739041913037,0.0012409109190475867,0.2963966760432597,238.85391984206854,1.0
