domain,seed_tag,split_regime,layer,knn_k,knn_bucket,used_component_bridging,distortion_delta_observed_minus_null_degree_preserving_geodesic_rewire,distortion_delta_observed_minus_null_quantile_constrained_geodesic_rewire,h1_delta_observed_minus_null_degree_preserving_geodesic_rewire,h1_delta_observed_minus_null_quantile_constrained_geodesic_rewire,h1_delta_shift_constrained_minus_unconstrained,distortion_delta_shift_constrained_minus_unconstrained
immune,seed42_main,source_disjoint,10,40,k_gt_30,True,0.06234070282834714,0.06401597367652068,-9.929692530632018,-9.290879750251769,0.638812780380249,0.0016752708481735379
immune,seed42_main,source_disjoint,11,40,k_gt_30,True,0.0898253233699009,0.09207783367031408,-6.584456944465638,-4.6947304725646966,1.889726471900941,0.0022525103004131797
immune,seed42_main,target_disjoint,0,30,k_21_30,False,-0.04879728979180564,-0.048640167801663026,-40.65352487564087,-41.86076231002808,-1.2072374343872099,0.00015712199014261685
immune,seed42_main,target_disjoint,1,31,k_gt_30,False,-0.030204141582854005,-0.030497708548044455,-30.8790069844514,-25.12853501103221,5.750471973419192,-0.00029356696519045045
immune,seed42_main,target_disjoint,2,36,k_gt_30,False,-0.0467698338070206,-0.04702137967258557,-19.097703981399537,-18.503435039520262,0.5942689418792746,-0.0002515458655649727
immune,seed42_main,target_disjoint,3,28,k_21_30,False,-0.03993672832714723,-0.035388159702289146,-37.57202777862549,-26.206027126312257,11.366000652313232,0.004548568624858085
immune,seed42_main,target_disjoint,4,36,k_gt_30,False,0.29546734263529206,0.2951212585423779,-29.739528258499696,-20.936662848648623,8.802865409851073,-0.0003460840929141451
immune,seed42_main,target_disjoint,5,36,k_gt_30,False,-0.042763742456672915,-0.04163006416070725,-25.10280044583373,-21.58521659878783,3.5175838470458984,0.0011336782959656677
immune,seed42_main,target_disjoint,6,33,k_gt_30,False,0.3349810869702192,0.3343967414731841,-19.9879094546265,-17.25314765739359,2.7347617972329097,-0.0005843454970351214
immune,seed42_main,target_disjoint,7,35,k_gt_30,False,-0.03687305964927334,-0.03666750512565564,-22.363231086730956,-22.21449966430664,0.1487314224243157,0.00020555452361770143
immune,seed42_main,target_disjoint,8,28,k_21_30,False,-0.04711444688997668,-0.04800607906005072,-36.91687088012695,-45.60615272521973,-8.68928184509278,-0.0008916321700740415
immune,seed42_main,target_disjoint,9,36,k_gt_30,False,-0.041556535828537466,-0.03971926583559293,-42.26330394744873,-26.648245906829835,15.615058040618898,0.0018372699929445346
immune,seed42_main,target_disjoint,10,33,k_gt_30,False,-0.03544212832665239,-0.03688027499537716,-16.040152311325073,-19.26289701461792,-3.2227447032928467,-0.0014381466687247713
immune,seed42_main,target_disjoint,11,28,k_21_30,False,0.016309713041238183,0.017506792095305146,-17.34134683609009,-16.239041376113892,1.102305459976197,0.001197079054066963
immune,seed43,source_disjoint,0,40,k_gt_30,True,0.31285755494680223,0.3138589155032372,-15.890697193145755,-11.774753475189208,4.115943717956547,0.0010013605564349604
immune,seed43,source_disjoint,1,40,k_gt_30,True,0.19048587294011798,0.19350387879145514,-13.872487115859986,-12.372110414505006,1.5003767013549805,0.0030180058513371577
immune,seed43,source_disjoint,2,40,k_gt_30,True,0.12949346306676257,0.13111521810667837,-11.498841667175292,-13.792873477935792,-2.294031810760501,0.0016217550399157954
immune,seed43,source_disjoint,3,40,k_gt_30,True,0.25926390388917886,0.2607417668702874,-11.213542652130126,-12.059389972686766,-0.8458473205566399,0.0014778629811085242
