null_kind,domain,split_regime,layer,perm_idx,null_delta_spearman
random_orthogonal_basis,immune,source_disjoint,7,15,6.535165961336908e-08
random_orthogonal_basis,immune,source_disjoint,7,16,4.243645596643808e-05
random_orthogonal_basis,immune,source_disjoint,7,17,-1.4222396653161204e-05
random_orthogonal_basis,immune,source_disjoint,7,18,4.0255619226403985e-05
random_orthogonal_basis,immune,source_disjoint,7,19,5.429867089505082e-05
random_orthogonal_basis,immune,source_disjoint,7,20,2.3952203916079162e-05
random_orthogonal_basis,immune,source_disjoint,7,21,4.711980852410702e-07
random_orthogonal_basis,immune,source_disjoint,7,22,7.72919694591069e-06
random_orthogonal_basis,immune,source_disjoint,7,23,4.408830712089064e-05
random_orthogonal_basis,immune,source_disjoint,11,0,1.1885701289932049e-05
random_orthogonal_basis,immune,source_disjoint,11,1,3.4540297295906214e-05
random_orthogonal_basis,immune,source_disjoint,11,2,-2.062797805391786e-06
random_orthogonal_basis,immune,source_disjoint,11,3,7.720674425559793e-06
random_orthogonal_basis,immune,source_disjoint,11,4,-3.26793649009019e-05
random_orthogonal_basis,immune,source_disjoint,11,5,-3.3192718311772507e-07
random_orthogonal_basis,immune,source_disjoint,11,6,3.210683418111704e-05
random_orthogonal_basis,immune,source_disjoint,11,7,3.270197194634589e-05
random_orthogonal_basis,immune,source_disjoint,11,8,5.213623639182055e-05
random_orthogonal_basis,immune,source_disjoint,11,9,4.119481323647603e-05
random_orthogonal_basis,immune,source_disjoint,11,10,-5.03254323847499e-05
random_orthogonal_basis,immune,source_disjoint,11,11,-1.9867394533218397e-05
random_orthogonal_basis,immune,source_disjoint,11,12,4.531804987140814e-05
random_orthogonal_basis,immune,source_disjoint,11,13,1.2144858148547405e-05
random_orthogonal_basis,immune,source_disjoint,11,14,2.870099838871848e-06
random_orthogonal_basis,immune,source_disjoint,11,15,-8.464078929806829e-06
random_orthogonal_basis,immune,source_disjoint,11,16,4.2532643778868395e-06
random_orthogonal_basis,immune,source_disjoint,11,17,1.3674535440932889e-05
random_orthogonal_basis,immune,source_disjoint,11,18,9.679277278362014e-06
random_orthogonal_basis,immune,source_disjoint,11,19,-1.926969138761614e-06
random_orthogonal_basis,immune,source_disjoint,11,20,2.8563339092707585e-06
random_orthogonal_basis,immune,source_disjoint,11,21,4.860521898610026e-05
random_orthogonal_basis,immune,source_disjoint,11,22,-1.008717197139436e-05
random_orthogonal_basis,immune,source_disjoint,11,23,5.6670207486481106e-05
random_orthogonal_basis,immune,target_disjoint,7,0,-1.3522543779788312e-05
random_orthogonal_basis,immune,target_disjoint,7,1,-1.6292976951351793e-06
random_orthogonal_basis,immune,target_disjoint,7,2,-3.2473381863793935e-05
random_orthogonal_basis,immune,target_disjoint,7,3,-9.590956115461429e-06
random_orthogonal_basis,immune,target_disjoint,7,4,-2.0516601648932922e-05
random_orthogonal_basis,immune,target_disjoint,7,5,-9.642281113420573e-06
random_orthogonal_basis,immune,target_disjoint,7,6,1.3320948120181772e-05
random_orthogonal_basis,immune,target_disjoint,7,7,-3.211723137730237e-05
random_orthogonal_basis,immune,target_disjoint,7,8,-1.226042491730804e-05
random_orthogonal_basis,immune,target_disjoint,7,9,4.134990747954473e-06
random_orthogonal_basis,immune,target_disjoint,7,10,-1.2805614015810537e-06
random_orthogonal_basis,immune,target_disjoint,7,11,1.0571387259360068e-05
random_orthogonal_basis,immune,target_disjoint,7,12,-3.7665248574589446e-05
random_orthogonal_basis,immune,target_disjoint,7,13,-2.027179188086105e-05
random_orthogonal_basis,immune,target_disjoint,7,14,6.155902006520079e-06
random_orthogonal_basis,immune,target_disjoint,7,15,1.9905982514008676e-05
random_orthogonal_basis,immune,target_disjoint,7,16,-2.8052779329298478e-05
random_orthogonal_basis,immune,target_disjoint,7,17,-1.314592482880544e-05
random_orthogonal_basis,immune,target_disjoint,7,18,-1.4007208289950273e-05
random_orthogonal_basis,immune,target_disjoint,7,19,-2.8167879266963522e-05
random_orthogonal_basis,immune,target_disjoint,7,20,-8.718668479303765e-07
random_orthogonal_basis,immune,target_disjoint,7,21,-2.03971088204103e-05
random_orthogonal_basis,immune,target_disjoint,7,22,1.5576809039381443e-06
random_orthogonal_basis,immune,target_disjoint,7,23,4.9267576677993635e-06
random_orthogonal_basis,immune,target_disjoint,11,0,5.0271199253056065e-05
random_orthogonal_basis,immune,target_disjoint,11,1,-7.76302393044187e-06
random_orthogonal_basis,immune,target_disjoint,11,2,-1.5942638521664054e-05
random_orthogonal_basis,immune,target_disjoint,11,3,-2.036837792830648e-05
random_orthogonal_basis,immune,target_disjoint,11,4,-3.932666030269372e-05
random_orthogonal_basis,immune,target_disjoint,11,5,1.258950527194963e-05
random_orthogonal_basis,immune,target_disjoint,11,6,8.696611595686299e-06
random_orthogonal_basis,immune,target_disjoint,11,7,-2.478204584360072e-05
random_orthogonal_basis,immune,target_disjoint,11,8,-1.568058083774304e-05
random_orthogonal_basis,immune,target_disjoint,11,9,1.5498972715348447e-05
random_orthogonal_basis,immune,target_disjoint,11,10,-9.850417667031652e-07
random_orthogonal_basis,immune,target_disjoint,11,11,-1.6342278605606386e-05
random_orthogonal_basis,immune,target_disjoint,11,12,6.894900273068244e-05
random_orthogonal_basis,immune,target_disjoint,11,13,-3.674126244273407e-05
random_orthogonal_basis,immune,target_disjoint,11,14,-3.071825305329956e-05
random_orthogonal_basis,immune,target_disjoint,11,15,1.2781174866929867e-05
random_orthogonal_basis,immune,target_disjoint,11,16,1.4303495724878046e-05
random_orthogonal_basis,immune,target_disjoint,11,17,-3.7788502207626584e-05
random_orthogonal_basis,immune,target_disjoint,11,18,-1.1023887565020374e-06
random_orthogonal_basis,immune,target_disjoint,11,19,-6.290708166899195e-06
random_orthogonal_basis,immune,target_disjoint,11,20,-1.738965894731992e-05
