null_kind,domain,seed_tag,split_regime,layer,perm_idx,null_interaction_delta
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,7,13,-0.08634507966972554
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,7,14,0.018383801335277006
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,7,15,-0.03231748995548733
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,7,16,-0.04414422144690244
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,7,17,0.07323194764631524
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,7,18,-0.044680242388125846
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,7,19,-0.03594403328221579
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,7,20,0.028597323145437337
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,7,21,-0.060273447969832306
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,7,22,-0.016970531236032815
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,7,23,0.0008641743326082141
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,11,0,0.030905029733092282
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,11,1,0.0036524732005148164
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,11,2,-0.07743205756898702
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,11,3,0.004442277222631519
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,11,4,0.02375615397223335
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,11,5,0.06451550633117314
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,11,6,-0.011888746139287809
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,11,7,-0.03185144511656135
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,11,8,-0.07242577823871799
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,11,9,-0.006334733599383857
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,11,10,-0.03526531671918948
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,11,11,0.011053410460761914
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,11,12,-0.017066837974657745
