domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,n_nodes_graph,auc_triangle_defect,auc_directed_geodesic_baseline,delta_auc_triangle_defect_minus_baseline,mean_triangle_median_defect,mean_triangle_tail_defect,mean_triangle_close_frac,q95_endpoint_swap,q95_random_third,q95_label,null_gap_q95_endpoint_swap,null_gap_q95_random_third,null_gap_q95_label,p_swap_upper,p_random_third_upper,p_label_upper,p_best_upper
immune,seed44,source_disjoint,7,949,242,170,0.9050521935310416,0.8869393432849778,0.018112850246063794,0.41225340442717934,0.4620475105158938,0.2950474183350896,0.005198604276012084,0.012661753188305896,-0.017305107134090086,0.01291424597005171,0.005451097057757898,0.03541795738015388,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612
immune,seed44,source_disjoint,11,949,242,170,0.8826025459688824,0.8984651711924438,-0.01586262522356141,0.3880328447315957,0.438793294362644,0.2950474183350896,-0.012335032204519068,0.0011926192619262864,-0.019176885220989773,-0.003527593019042343,-0.017055244485487696,0.003314259997428362,0.12244897959183673,1.0,0.04081632653061224,0.04081632653061224
immune,seed44,target_disjoint,7,1110,272,170,0.8939526884739576,0.8849282254667976,0.009024463007159977,0.2830298717318589,0.3694233602134529,0.4441629129129129,-0.01304017355748975,0.01832137091113304,-0.020935920609293737,0.02206463656464973,-0.009296907903973063,0.029960383616453715,0.02040816326530612,1.0,0.02040816326530612,0.02040816326530612
immune,seed44,target_disjoint,11,1110,272,170,0.8918380598062614,0.8980766530956059,-0.006238593289344507,0.3329135897705406,0.3743095821725718,0.3621621621621622,-0.02188267759371063,0.00513850379053769,-0.0022573222308016686,0.01564408430436612,-0.011377097079882197,-0.003981271058542839,0.02040816326530612,1.0,0.12244897959183673,0.02040816326530612
lung,seed42_main,source_disjoint,7,690,342,170,0.8247042414465282,0.7842643005982389,0.04043994084828928,0.3479835934112811,0.39269493340600203,0.36086956521739133,0.0033860993479867523,0.03876159507965315,0.004599381595751919,0.037053841500302526,0.0016783457686361317,0.03584055925253736,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612
lung,seed42_main,source_disjoint,11,690,342,170,0.808714794649459,0.8005142165759226,0.008200578073536358,0.33670337172034587,0.38172566549290765,0.36086956521739133,-0.012534449149694232,0.022607044431000846,0.011709770114942585,0.02073502722323059,-0.014406466357464488,-0.003509192041406227,0.02040816326530612,1.0,0.14285714285714285,0.02040816326530612
lung,seed42_main,target_disjoint,7,879,561,167,0.8702339712328614,0.8189105259027567,0.05132344533010469,0.392724126209113,0.4420617125351005,0.2354948805460751,0.011842061009652608,0.01776617450868289,0.0015305664861713863,0.03948138432045208,0.0335572708214218,0.049792878843933304,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612
lung,seed42_main,target_disjoint,11,879,561,167,0.8608448525207681,0.8339947757261852,0.026850076794582955,0.3724274137557911,0.424876727985442,0.2354948805460751,0.0038601890155719777,0.017455072366282125,0.006369185753203465,0.022989887779010978,0.00939500442830083,0.02048089104137949,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612
lung,seed43,source_disjoint,7,760,384,169,0.8496024490248227,0.8175490359042553,0.03205341312056742,0.39168892749454015,0.4443078475255006,0.3078947368421053,-0.0006517342641843509,0.017528950576241313,-0.0033587516622340186,0.03270514738475177,0.014524462544326107,0.03541216478280144,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612
lung,seed43,source_disjoint,11,760,384,169,0.8329108488475178,0.8382022938829787,-0.005291445035460973,0.3816287769929702,0.4319258137184906,0.3078947368421053,-0.024251302083333277,0.008233599290780153,-0.0013221686613476016,0.018959857047872303,-0.013525044326241126,-0.003969276374113371,0.02040816326530612,1.0,0.1836734693877551,0.02040816326530612
lung,seed43,target_disjoint,7,847,559,170,0.8709283691115086,0.8016951152852316,0.06923325382627699,0.37472343610439834,0.42519554098808265,0.3069657615112161,0.014794523951500748,0.02470433313456555,0.007036374478234963,0.054438729874776236,0.04452892069171144,0.06219687934804202,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612
lung,seed43,target_disjoint,11,847,559,170,0.8589960991850527,0.8043784784337109,0.0546176207513418,0.34848569543122304,0.39616129388060667,0.3069657615112161,0.015304797753925693,0.02475992595905391,0.017355831345656915,0.039312822997416105,0.02985769479228789,0.037261789405684885,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612
lung,seed44,source_disjoint,7,751,368,169,0.8455273016233397,0.8093427176751051,0.03618458394823454,0.3911530886367762,0.4424470506016751,0.3155792276964048,-0.0012313401067091815,0.015898867635372748,-0.006514998864797285,0.03741592405494372,0.02028571631286179,0.04269958281303182,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612
lung,seed44,source_disjoint,11,751,368,169,0.8279245657849926,0.828158701328187,-0.00023413554319440255,0.38187744520514794,0.43260318481323884,0.3155792276964048,-0.02588936031331591,0.007410744692927851,-0.009839723578158672,0.02565522477012151,-0.007644880236122253,0.00960558803496427,0.02040816326530612,1.0,0.04081632653061224,0.02040816326530612
lung,seed44,target_disjoint,7,859,549,170,0.8768670309653918,0.8108760796756567,0.06599095128973509,0.37535953158898633,0.42297277082585194,0.3119906868451688,0.01996709559903637,0.03017744873376809,0.011062342088254344,0.04602385569069872,0.035813502555967,0.054928609201480745,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612
lung,seed44,target_disjoint,11,859,549,170,0.8686879370115753,0.816640225630178,0.0520477113813973,0.36752929940564694,0.41473059302469406,0.3119906868451688,0.01700628709089842,0.031074681238615776,0.022490745637228957,0.035041424290498877,0.020973030142781523,0.029556965744168343,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612
