null_kind,domain,layer,perm_idx,null_spearman
module_membership_permutation,immune,7,15,0.2841352164787931
module_membership_permutation,immune,7,16,0.1942612338339649
module_membership_permutation,immune,7,17,0.10854997142988577
module_membership_permutation,immune,7,18,0.1053213754502964
module_membership_permutation,immune,7,19,0.1757996275074475
module_membership_permutation,immune,7,20,0.2539934575098918
module_membership_permutation,immune,7,21,0.1516875748020539
module_membership_permutation,immune,7,22,0.14091582821785514
module_membership_permutation,immune,7,23,0.32553124769186237
module_membership_permutation,immune,11,0,0.28919248036533096
module_membership_permutation,immune,11,1,0.32706644715784683
module_membership_permutation,immune,11,2,0.16761150684573248
module_membership_permutation,immune,11,3,0.21207199237363317
module_membership_permutation,immune,11,4,0.18300365902472063
module_membership_permutation,immune,11,5,0.23847946158189592
module_membership_permutation,immune,11,6,0.19044055064311313
module_membership_permutation,immune,11,7,0.17872622690334397
module_membership_permutation,immune,11,8,0.09032446088217017
module_membership_permutation,immune,11,9,0.2593136222983576
module_membership_permutation,immune,11,10,0.3270641395427555
module_membership_permutation,immune,11,11,0.2728249678468117
module_membership_permutation,immune,11,12,0.2586848473515126
module_membership_permutation,immune,11,13,0.21904512024606004
module_membership_permutation,immune,11,14,0.28298712780530544
module_membership_permutation,immune,11,15,0.1783063245659623
module_membership_permutation,immune,11,16,0.29771152640862303
module_membership_permutation,immune,11,17,0.19182236059291732
module_membership_permutation,immune,11,18,0.3510017917293437
module_membership_permutation,immune,11,19,0.2202931721298089
module_membership_permutation,immune,11,20,0.24565341885466344
module_membership_permutation,immune,11,21,0.1925381058737483
module_membership_permutation,immune,11,22,0.1829489534973922
module_membership_permutation,immune,11,23,0.1883538228093739
module_membership_permutation,lung,7,0,0.02851887012944601
module_membership_permutation,lung,7,1,0.08115476771421079
module_membership_permutation,lung,7,2,-0.0222656847218206
module_membership_permutation,lung,7,3,0.12409116544444727
module_membership_permutation,lung,7,4,0.1187301909847465
module_membership_permutation,lung,7,5,0.0736324274500447
module_membership_permutation,lung,7,6,0.11600213845687206
module_membership_permutation,lung,7,7,0.18014633824710988
module_membership_permutation,lung,7,8,0.11085700961745411
module_membership_permutation,lung,7,9,0.12370203966920774
module_membership_permutation,lung,7,10,0.1296441150857143
module_membership_permutation,lung,7,11,0.1444761605886733
module_membership_permutation,lung,7,12,0.13753097492506985
module_membership_permutation,lung,7,13,0.05448349462420163
module_membership_permutation,lung,7,14,0.1486470828961058
module_membership_permutation,lung,7,15,0.14375759767637208
module_membership_permutation,lung,7,16,0.19968711414857174
module_membership_permutation,lung,7,17,0.07194057770742487
module_membership_permutation,lung,7,18,0.012508260384129959
module_membership_permutation,lung,7,19,0.22598125938963146
module_membership_permutation,lung,7,20,0.1348398191558841
module_membership_permutation,lung,7,21,0.21376119170326766
module_membership_permutation,lung,7,22,0.13267877942746434
module_membership_permutation,lung,7,23,0.1305043371374814
module_membership_permutation,lung,11,0,0.09346797609665271
module_membership_permutation,lung,11,1,0.07607938570483622
module_membership_permutation,lung,11,2,0.0977517039939851
module_membership_permutation,lung,11,3,0.12089138120980268
module_membership_permutation,lung,11,4,0.13520841050118043
module_membership_permutation,lung,11,5,0.08387193431871955
module_membership_permutation,lung,11,6,0.20652739529568587
module_membership_permutation,lung,11,7,0.14443197310404382
module_membership_permutation,lung,11,8,0.23328080610546797
module_membership_permutation,lung,11,9,0.12711134030448248
module_membership_permutation,lung,11,10,0.14179822344071735
module_membership_permutation,lung,11,11,0.07573474840749896
module_membership_permutation,lung,11,12,0.12205163502806538
module_membership_permutation,lung,11,13,0.20143880302600584
module_membership_permutation,lung,11,14,0.16178770506358142
module_membership_permutation,lung,11,15,0.26420517266637955
module_membership_permutation,lung,11,16,-0.017115581132477495
module_membership_permutation,lung,11,17,0.2281427171642635
module_membership_permutation,lung,11,18,0.08219530981914804
module_membership_permutation,lung,11,19,0.14535012799989755
module_membership_permutation,lung,11,20,0.16729609933955222
module_membership_permutation,lung,11,21,0.15550540691773845
module_membership_permutation,lung,11,22,-0.02114456002901977
module_membership_permutation,lung,11,23,0.03463483604837905
signature_destroy_permutation,external_lung,7,0,0.09658785497829749
signature_destroy_permutation,external_lung,7,1,0.25324931853032817
signature_destroy_permutation,external_lung,7,2,0.037146532939591775
signature_destroy_permutation,external_lung,7,3,0.1381741306616145
signature_destroy_permutation,external_lung,7,4,0.2668650251351958
signature_destroy_permutation,external_lung,7,5,0.20638373789532566
signature_destroy_permutation,external_lung,7,6,0.14811749359356724
signature_destroy_permutation,external_lung,7,7,0.22846387698632362
signature_destroy_permutation,external_lung,7,8,0.058312129054009426
signature_destroy_permutation,external_lung,7,9,0.18808384856553548
signature_destroy_permutation,external_lung,7,10,0.24009954951172957
signature_destroy_permutation,external_lung,7,11,0.1756878335893811
signature_destroy_permutation,external_lung,7,12,0.13951226314316809
signature_destroy_permutation,external_lung,7,13,0.08165612217557738
signature_destroy_permutation,external_lung,7,14,0.19356646611206205
signature_destroy_permutation,external_lung,7,15,0.1641463719583564
