domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,n_modules,auc_defect,auc_module_calibrated,delta_auc_module_minus_defect,interaction_delta_high_minus_low,mean_module_weight,q95_null,null_gap_q95,p_module_perm_upper,p_weight_perm_upper,p_label_upper,p_best_upper
external_lung,seed44,target_disjoint,7,1041,684,9,0.8804445754910151,0.8733189182105592,-0.007125657280455888,-0.7242079122987612,0.2736010397418526,0.03645009173259964,-0.043575749013055526,1.0,0.84,1.0,0.84
external_lung,seed44,target_disjoint,11,1041,684,9,0.8519050895211886,0.848530640326306,-0.0033744491948826116,-0.34054336814365715,0.2736010397418526,0.04000749422576048,-0.04338194342064309,1.0,0.92,1.0,0.92
immune,seed42_main,source_disjoint,7,953,240,9,0.8894839878447873,0.9235945535296868,0.03411056568489945,,0.6290880982345686,0.03714425549322116,-0.0030336898083217073,1.0,0.48,0.04,0.04
immune,seed42_main,source_disjoint,11,953,240,9,0.8929756895745675,0.927425198690977,0.03444950911640943,,0.6290880982345686,0.03836956521739138,-0.00392005610098195,1.0,0.76,0.04,0.04
immune,seed42_main,target_disjoint,7,1111,276,9,0.8956044432873383,0.9214484075327607,0.025843964245422346,0.45908280667638945,0.4826281565299373,0.032347478955133166,-0.00650351470971082,1.0,0.44,0.04,0.04
immune,seed42_main,target_disjoint,11,1111,276,9,0.8960860886921808,0.9162848216610258,0.020198732968845,0.40803759520337063,0.4826281565299373,0.02713204026729162,-0.006933307298446618,1.0,0.6,0.04,0.04
immune,seed43,source_disjoint,7,920,234,9,0.9234693877551021,0.9431985248311778,0.01972913707607571,0.6924749163879599,0.6516028910165718,0.021536966434925437,-0.001807829358849728,1.0,0.84,0.04,0.04
immune,seed43,source_disjoint,11,920,234,9,0.8699882883556351,0.9092534449677306,0.03926515661209551,0.5877926421404683,0.6516028910165718,0.045799382023871925,-0.006534225411776416,1.0,1.0,0.04,0.04
immune,seed43,target_disjoint,7,1082,274,9,0.9070743296957432,0.926474308014743,0.019399978318999755,0.23776781947342623,0.544420713111941,0.02701000939510028,-0.007610031076100525,1.0,0.88,0.04,0.04
immune,seed43,target_disjoint,11,1082,274,9,0.8952988364529886,0.9175941316759413,0.022295295222952705,0.21280744364245896,0.544420713111941,0.033176447206764256,-0.010881151983811552,1.0,1.0,0.04,0.04
immune,seed44,source_disjoint,7,949,242,9,0.9050638830116777,0.9337907816755701,0.02872689866389233,-0.15612648221343867,0.6534313186956909,0.030240686406303174,-0.0015137877424108437,1.0,0.68,0.04,0.04
immune,seed44,source_disjoint,11,949,242,9,0.8827019065542919,0.9183139093130092,0.03561200275871723,-0.10079051383399207,0.6534313186956909,0.03853378844377937,-0.002921785685062135,1.0,0.84,0.04,0.04
immune,seed44,target_disjoint,7,1110,272,9,0.900243928120174,0.9298816334409659,0.029637705320791907,-0.059504489884236844,0.47890641925122107,0.03376101186297917,-0.0041233065421872606,1.0,0.32,0.04,0.04
immune,seed44,target_disjoint,11,1110,272,9,0.8919916116804718,0.9177598097711639,0.025768198090692085,-0.06937682570593962,0.47890641925122107,0.03285373964621643,-0.0070855415555243426,1.0,0.6,0.04,0.04
lung,seed42_main,source_disjoint,7,690,342,9,0.825552866841433,0.8782264569469651,0.052673590105532075,,0.6019902509122038,0.055427841634738115,-0.0027542515292060393,1.0,0.12,0.04,0.04
lung,seed42_main,source_disjoint,11,690,342,9,0.809134906231095,0.8673455669825905,0.0582106607514955,,0.6019902509122038,0.062341197822141516,-0.0041305370706460134,1.0,0.2,0.04,0.04
lung,seed42_main,target_disjoint,7,879,561,9,0.8700882296886736,0.918805143555421,0.04871691386674737,-0.25833333333333325,0.5427204641722247,0.04587551429948771,0.0028413995672596573,0.04,0.04,0.04,0.04
lung,seed42_main,target_disjoint,11,879,561,9,0.8498693931546318,0.8940851354835817,0.04421574232894987,-0.3027777777777777,0.5427204641722247,0.04250187782374236,0.0017138645052075102,0.04,0.04,0.04,0.04
lung,seed43,source_disjoint,7,760,384,9,0.8256316489361702,0.8765306405141844,0.05089899157801414,-0.25645833333333334,0.6024489842924303,0.05527828568262418,-0.004379294104610042,1.0,0.2,0.04,0.04
lung,seed43,source_disjoint,11,760,384,9,0.832758477393617,0.8792871786347516,0.04652870124113462,-0.3489583333333333,0.6024489842924303,0.050448456892730545,-0.003919755651595927,1.0,0.24,0.04,0.04
lung,seed43,target_disjoint,7,847,559,9,0.8713942307692308,0.9160237775790102,0.044629546809779375,0.002645399727679465,0.5565120320868333,0.04224573270721521,0.0023838141025641635,0.04,0.08,0.04,0.04
lung,seed43,target_disjoint,11,847,559,9,0.8412622987477639,0.8885255167958657,0.04726321804810174,-0.13423458471114574,0.5565120320868333,0.044741974756509525,0.002521243291592215,0.04,0.08,0.04,0.04
lung,seed44,source_disjoint,7,751,368,9,0.8452931660801453,0.8878703598592349,0.04257719377908964,,0.6191133081769068,0.0473940004540811,-0.004816806674991458,1.0,0.16,0.04,0.04
lung,seed44,source_disjoint,11,751,368,9,0.8049154274037916,0.8584544216142581,0.053538994210466484,,0.6191133081769068,0.06369905778181398,-0.010160063571347494,1.0,0.28,0.04,0.04
lung,seed44,target_disjoint,7,859,549,9,0.875398084493801,0.9259357189024032,0.05053763440860226,,0.5991652631219027,0.046241259768494074,0.004296374640108187,0.04,0.12,0.04,0.04
lung,seed44,target_disjoint,11,859,549,9,0.8687878253716435,0.9259415946882895,0.057153769316646064,,0.5991652631219027,0.04841295023209353,0.008740819084552535,0.04,0.08,0.04,0.04
