domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_baseline,auc_dropout_elasticity,delta_auc_dropout_minus_baseline,mean_targeted_inflation,mean_random_inflation,mean_advantage_random_minus_targeted,mean_targeted_slope_30_minus_10,q95_null,null_gap_q95,p_swap_upper,p_feature_shuffle_upper,p_label_upper,p_best_upper
immune,seed42_main,target_disjoint,0,1111,276,0.8812678989846394,0.8597283693482599,-0.021539529636379506,0.030321697121434257,0.012095289798111386,-0.021309675361873275,0.017698562775965442,-0.0015709884578668913,-0.019968541178512614,0.11764705882352941,0.058823529411764705,0.8823529411764706,0.058823529411764705
immune,seed42_main,target_disjoint,3,1111,276,0.8833810639590385,0.8532022910700339,-0.030178772889004613,0.022524234409606835,0.009052991220533551,-0.015049953235054571,0.0031807420145711393,0.0008932135728542945,-0.031071986461858908,0.17647058823529413,0.5882352941176471,1.0,0.17647058823529413
immune,seed42_main,target_disjoint,7,1111,276,0.8775232144406839,0.8775232144406839,0.0,0.0,4.317725344801782e-18,3.614604226848834e-18,0.0,0.0,0.0,1.0,1.0,1.0,1.0
immune,seed42_main,target_disjoint,11,1111,276,0.8933394081402413,0.8508027423414042,-0.04253666579883708,0.02418585295716286,0.006904630724348633,-0.018072326588181496,0.0003197467461862636,4.968324221121768e-05,-0.0425863490410483,0.35294117647058826,0.8235294117647058,1.0,0.35294117647058826
lung,seed42_main,source_disjoint,0,690,342,0.7749294212542851,0.7749294212542851,0.0,0.0,2.2245834466377383e-18,1.8742253603028632e-18,0.0,0.0,0.0,1.0,1.0,1.0,1.0
lung,seed42_main,source_disjoint,3,690,342,0.7792313638502387,0.7792313638502387,0.0,0.0,2.344622165259856e-18,1.3507569368548024e-18,0.0,0.0,0.0,1.0,1.0,1.0,1.0
lung,seed42_main,source_disjoint,7,690,342,0.7715433219062984,0.7544951939235061,-0.017048127982792316,0.01632485890043154,0.011609660820021519,-0.008246497399703184,0.006715721932517553,0.006089937487396646,-0.023138065470188963,0.058823529411764705,0.11764705882352941,0.8823529411764706,0.058823529411764705
lung,seed42_main,source_disjoint,11,690,342,0.8005982388922498,0.8005982388922498,0.0,0.0,4.285197621187295e-18,3.3075089862111037e-18,0.0,0.0,0.0,1.0,1.0,1.0,1.0
lung,seed42_main,target_disjoint,0,879,561,0.8097680467269812,0.7918250204598706,-0.01794302626711064,0.025405007526636797,0.01547148015506535,-0.011683757001477595,0.002618064049677856,0.0077168746286393804,-0.025659900895750022,0.11764705882352941,0.29411764705882354,1.0,0.11764705882352941
lung,seed42_main,target_disjoint,3,879,561,0.8295945021805178,0.803260126234599,-0.02633437594591881,0.02770280561934131,0.009405342003851352,-0.019734430131884445,0.0024774738628471904,0.002441591273444708,-0.028775967219363516,0.17647058823529413,0.17647058823529413,1.0,0.17647058823529413
lung,seed42_main,target_disjoint,7,879,561,0.8191291382190383,0.8191291382190383,0.0,0.0,3.578138181724718e-18,2.954418180456509e-18,0.0,0.0,0.0,1.0,1.0,1.0,1.0
lung,seed42_main,target_disjoint,11,879,561,0.8340452247222503,0.8340452247222503,0.0,0.0,2.8553622277354465e-18,2.522616077788315e-18,0.0,0.0,0.0,1.0,1.0,1.0,1.0
