hypothesis_id,domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70,auc_ontology_sheaf_model,delta_vs_h70,q95_null_delta_auc,null_gap_q95,p_chart_upper,p_section_upper,p_label_upper,p_best_upper,chart_term_count,mean_sheaf_obstruction,mean_chart_boundary_cross
H138,external_lung,seed43,source_disjoint,11,230,95,0.7522027290448343,0.9442495126705653,0.19204678362573102,0.19714619883040937,-0.005099415204678354,0.44,0.52,0.04,0.04,12,0.11847276293500551,0.09130434782608696
H138,external_lung,seed43,target_disjoint,11,230,143,0.8063660477453581,0.9472711196849128,0.1409050719395547,0.1418535487501003,-0.0009484768105456065,0.12,0.28,0.04,0.04,12,0.1554436356482392,0.0391304347826087
H138,immune,seed43,dual_axis_disjoint,11,230,58,0.8549518845228549,0.9568965517241379,0.10194466720128303,0.11097133119486773,-0.009026663993584691,0.48,0.64,0.04,0.04,12,0.1017,0.2391304347826087
H138,immune,seed43,source_disjoint,11,230,56,0.8836206896551724,0.9860426929392446,0.10242200328407225,0.10163690476190486,0.0007850985221673906,0.04,0.08,0.04,0.04,12,0.09930997187973176,0.12608695652173912
H138,immune,seed43,target_disjoint,11,230,56,0.8375410509031199,0.9313423645320198,0.09380131362889987,0.12609811165845644,-0.03229679802955657,1.0,1.0,0.32,0.32,12,0.09397248833210514,0.23043478260869565
H138,lung,seed43,dual_axis_disjoint,11,196,163,0.6995724112288529,0.9147611080126417,0.2151886967837887,0.22377300613496937,-0.008584309351180652,0.4,0.72,0.04,0.04,12,0.16808120073426194,0.03571428571428571
H138,lung,seed43,source_disjoint,11,230,104,0.8056318681318682,0.9506257631257632,0.14499389499389503,0.14849664224664227,-0.0035027472527472403,0.28,0.52,0.04,0.04,12,0.11440704655500242,0.12173913043478261
H138,lung,seed43,target_disjoint,11,230,136,0.8087844180225282,0.9240456821026283,0.11526126408010007,0.11711318836045052,-0.001851924280350456,0.28,0.28,0.04,0.04,12,0.15399528142905292,0.06521739130434782
H138,external_lung,seed44,dual_axis_disjoint,11,230,187,0.7990299713965925,0.9337147121004851,0.13468474070389258,0.13865190896654644,-0.003967168262653864,0.6,0.4,0.04,0.04,12,0.16916891111966137,0.017391304347826087
H138,external_lung,seed44,source_disjoint,11,230,96,0.8334110696517412,0.9350124378109452,0.10160136815920406,0.13550800684079597,-0.03390663868159191,0.96,0.96,0.52,0.52,12,0.11077508864615314,0.11304347826086956
H138,external_lung,seed44,target_disjoint,11,230,138,0.8287649653434153,0.9551039697542533,0.126339004410838,0.1305686830497795,-0.0042296786389414975,0.36,0.56,0.12,0.12,12,0.147334508421465,0.034782608695652174
H138,immune,seed44,dual_axis_disjoint,11,230,56,0.8720238095238095,0.9658251231527094,0.09380131362889987,0.10972393267651889,-0.01592261904761902,0.84,0.96,0.16,0.16,12,0.09992979484283832,0.21739130434782608
H138,immune,seed44,source_disjoint,11,230,57,0.8357164587770003,0.9259709968563026,0.09025453807930228,0.1025681979515262,-0.012313659872223923,0.64,0.88,0.16,0.16,12,0.10883091787439612,0.13043478260869565
H138,immune,seed44,target_disjoint,11,230,56,0.819991789819376,0.9170771756978653,0.09708538587848925,0.10660919540229888,-0.009523809523809629,0.28,0.48,0.08,0.08,12,0.09075935619413879,0.1956521739130435
H138,lung,seed44,dual_axis_disjoint,11,210,165,0.7815488215488214,0.9470707070707072,0.16552188552188574,0.16645117845117857,-0.0009292929292928354,0.04,0.28,0.04,0.04,12,0.16051281587903984,0.11428571428571428
H138,lung,seed44,source_disjoint,11,230,102,0.8081341911764706,0.9594822303921569,0.1513480392156863,0.1551470588235295,-0.003799019607843207,0.16,0.36,0.04,0.04,12,0.12372256728778466,0.08695652173913043
H138,lung,seed44,target_disjoint,11,230,128,0.8385416666666665,0.9487591911764706,0.11021752450980404,0.11303615196078441,-0.0028186274509803683,0.24,0.24,0.04,0.04,12,0.1319955406911929,0.09565217391304348
