domain,seed_tag,split_regime,layer,n_edges_total_split,n_edges_in_knn_graph,n_positive_in_knn_graph,graph_nodes,graph_edges,mean_graph_degree,auc_neg_curvature,slope_pos_rate_vs_neg_curvature_bin,delta_top_minus_bottom_pos_rate,p_auc_upper,p_slope_upper,p_delta_upper,null_mean_auc,null_mean_slope,null_mean_delta
external_lung,seed43,source_disjoint,11,15019,212,77,2398,36570,30.50041701417848,0.4122174122174122,-0.045487776928953366,-0.1292016806722689,0.9900332225913622,0.9335548172757475,0.8903654485049833,0.49902950136283475,-0.0007025057295645139,-0.0033053221288515387
external_lung,seed44,source_disjoint,11,15019,213,71,2396,36253,30.26126878130217,0.39664749057726645,-0.06612339531271409,-0.2085065558042853,0.9966777408637874,0.9933554817275747,0.9933554817275747,0.49798535343516503,-0.0009717698621599783,-0.001465728600362439
external_lung,seed42_main,target_disjoint,0,14992,305,102,1642,24567,29.92326431181486,0.37561576354679793,-0.1420151436929961,-0.2840302873859921,0.9966777408637874,1.0,1.0,0.5001629962329759,0.00017538576263412267,0.0003507715252681707
external_lung,seed43,target_disjoint,0,14999,326,112,1643,24518,29.84540474741327,0.4567757009345794,-0.04782608695652173,-0.09565217391304348,0.8970099667774086,0.9368770764119602,0.9368770764119602,0.49901486704494874,-0.0005586408476433697,-0.001117281695286815
external_lung,seed44,target_disjoint,0,15000,331,113,1659,24736,29.820373719107895,0.4183851587237152,-0.051308584409373456,-0.13308823529411762,1.0,0.9966777408637874,0.9667774086378738,0.5007314416389272,0.0006309594976202245,-6.12745098039221e-05
external_lung,seed42_main,target_disjoint,3,14992,295,108,1642,24388,29.705237515225335,0.42916914240443654,-0.01522849888924145,-0.005555555555555591,0.973421926910299,0.5946843853820598,0.5249169435215947,0.5001855978081468,-0.001930985754081558,-0.0072500000000000125
external_lung,seed43,target_disjoint,3,14999,298,93,1643,24396,29.69689592209373,0.40605822187254126,-0.05495813771517994,-0.1725,0.9933554817275747,0.9900332225913622,0.9900332225913622,0.5007046944662995,0.0001404042775169904,0.0012722222222222232
external_lung,seed44,target_disjoint,3,15000,338,107,1659,24661,29.729957805907173,0.3876481773678035,-0.05022343163165944,-0.1391941391941392,1.0,0.8338870431893688,0.7840531561461794,0.496836792490998,-0.0020758052425773675,-0.004831094831094847
external_lung,seed42_main,target_disjoint,7,14992,293,104,1642,24357,29.66747868453106,0.45370370370370383,-0.03243184260005368,-0.09503424657534248,0.9003322259136213,0.8837209302325582,0.8504983388704319,0.49985441256274593,-0.0001707027636016012,-0.004726598173516001
external_lung,seed43,target_disjoint,7,14999,331,107,1643,24337,29.62507608034084,0.4705440587449933,-0.016879099582587938,-0.05038759689922484,0.7873754152823921,0.6445182724252492,0.627906976744186,0.5004709056519804,0.0018682518386007089,0.005409130060292838
external_lung,seed44,target_disjoint,7,15000,312,115,1659,24397,29.411693791440626,0.3746413595232841,-0.06464463529200956,-0.18565400843881857,1.0,0.9169435215946844,0.8970099667774086,0.49660648863385565,-0.003846501388693313,-0.01375527426160339
