domain,seed_tag,split_regime,layer,phase,n_edges,n_positive,n_unique_genes,auc_edge_reconstruction,auc_centered,mean_gene_reconstruction_error,std_gene_reconstruction_error
lung,seed42_main,source_disjoint,7,mid,16398,4045,2592,0.5422557908944915,0.042255790894491496,0.04471221184795554,0.04075172354368957
lung,seed42_main,source_disjoint,8,late,16398,4045,2592,0.5380841514504766,0.03808415145047661,0.041768809968485046,0.038171876318053584
lung,seed42_main,source_disjoint,9,late,16398,4045,2592,0.5297589041441318,0.029758904144131848,0.03366353795473459,0.031030648229602536
lung,seed42_main,source_disjoint,10,late,16398,4045,2592,0.5230511957830515,0.02305119578305148,0.023481927349040727,0.02213845445151343
lung,seed42_main,source_disjoint,11,late,16398,4045,2592,0.511337392006886,0.011337392006885993,0.017194648111907504,0.016720763977720696
lung,seed42_main,target_disjoint,0,early,16385,3890,1805,0.5522033389191152,0.052203338919115216,0.07141826629223424,0.06280536019876633
lung,seed42_main,target_disjoint,1,early,16385,3890,1805,0.5516572284440769,0.05165722844407694,0.0657856922591083,0.06132444816711027
lung,seed42_main,target_disjoint,2,early,16385,3890,1805,0.5518267975570691,0.05182679755706909,0.06231161391623742,0.05864615558467669
lung,seed42_main,target_disjoint,3,early,16385,3890,1805,0.5715072249979684,0.07150722499796835,0.05924913521979231,0.05514571526276245
lung,seed42_main,target_disjoint,4,mid,16385,3890,1805,0.5545165109745698,0.054516510974569776,0.05256395677953446,0.04932168276810942
lung,seed42_main,target_disjoint,5,mid,16385,3890,1805,0.5450603686204559,0.045060368620455926,0.04949791731349221,0.04646809331882037
lung,seed42_main,target_disjoint,6,mid,16385,3890,1805,0.5440884631487557,0.0440884631487557,0.04663541667866942,0.043594648134331636
lung,seed42_main,target_disjoint,7,mid,16385,3890,1805,0.5508375072393996,0.050837507239399615,0.04437818696134659,0.04205618562784833
lung,seed42_main,target_disjoint,8,late,16385,3890,1805,0.554176467502168,0.05417646750216798,0.0412877146931415,0.03940981107242926
lung,seed42_main,target_disjoint,9,late,16385,3890,1805,0.5421760066494464,0.04217600664944643,0.03288667386366634,0.031053320730068695
lung,seed42_main,target_disjoint,10,late,16385,3890,1805,0.5340803262178908,0.03408032621789081,0.02299681597845208,0.02238580841923314
lung,seed42_main,target_disjoint,11,late,16385,3890,1805,0.5198076968576634,0.01980769685766337,0.016777901672887854,0.01713881399997757
lung,seed43,source_disjoint,0,early,16417,4045,2593,0.5490075580370685,0.049007558037068466,0.06324572524919723,0.057069243606758746
lung,seed43,source_disjoint,1,early,16417,4045,2593,0.5375056499444297,0.03750564994442973,0.05625122716283772,0.052160661875247906
lung,seed43,source_disjoint,2,early,16417,4045,2593,0.5513245048330753,0.05132450483307527,0.05396252739705859,0.05162863563265705
lung,seed43,source_disjoint,3,early,16417,4045,2593,0.5379602431744076,0.037960243174407604,0.051545561346823816,0.04951707904435183
lung,seed43,source_disjoint,4,mid,16417,4045,2593,0.542254340815838,0.04225434081583801,0.04563659609011101,0.044151841028122724
lung,seed43,source_disjoint,5,mid,16417,4045,2593,0.5409139601884234,0.040913960188423415,0.043436137886325145,0.04144597961629241
lung,seed43,source_disjoint,6,mid,16417,4045,2593,0.5351064967067468,0.035106496706746815,0.041138231490487655,0.04002789390718135
lung,seed43,source_disjoint,7,mid,16417,4045,2593,0.5461605255617273,0.04616052556172734,0.03870247449954353,0.03752304591801739
lung,seed43,source_disjoint,8,late,16417,4045,2593,0.5366688187409906,0.036668818740990594,0.035248405175356545,0.03431013657117308
lung,seed43,source_disjoint,9,late,16417,4045,2593,0.5464715072952723,0.046471507295272274,0.028667785375131063,0.027671526615846556
lung,seed43,source_disjoint,10,late,16417,4045,2593,0.5487023511362034,0.04870235113620336,0.019759767179043854,0.020010970271009072
lung,seed43,source_disjoint,11,late,16417,4045,2593,0.5431820906652727,0.04318209066527268,0.014150050063686883,0.014378429357008738
lung,seed43,target_disjoint,0,early,16364,3805,1801,0.5543268832869697,0.05432688328696966,0.063498717494148,0.060563781387487296
lung,seed43,target_disjoint,1,early,16364,3805,1801,0.5506080053788692,0.050608005378869225,0.055880149557957476,0.05562556298676606
lung,seed43,target_disjoint,2,early,16364,3805,1801,0.5552360427769103,0.0552360427769103,0.053477163358410365,0.054163464005494905
