hypothesis_id,domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70,auc_sectional_model,delta_vs_h70,q95_null_delta_auc,null_gap_q95,p_endpoint_swap_upper,p_sectional_shuffle_upper,p_label_upper,p_best_upper,mean_anisotropy_gap,mean_pair_alignment
H139,external_lung,seed43,target_disjoint,11,220,146,0.8322843391336543,0.8413550536838208,0.009070714550166503,0.004887078859681475,0.004183635690485028,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.11050805439264522,0.29225249560054023
H139,immune,seed43,dual_axis_disjoint,11,220,56,0.878266550522648,0.8754355400696864,-0.0028310104529616353,0.010376742160278809,-0.013207752613240444,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.11564791388461573,0.21876548425277426
H139,immune,seed43,source_disjoint,11,220,56,0.8652003484320557,0.9070121951219511,0.04181184668989535,0.009568270905923385,0.03224357578397197,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.10583874623154216,0.2638228974199407
H139,immune,seed43,target_disjoint,11,220,56,0.849520905923345,0.9540505226480835,0.1045296167247386,0.051900043554006944,0.05262957317073165,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.11689227214343718,0.2245489205424015
H139,lung,seed43,dual_axis_disjoint,11,189,160,0.6872844827586206,0.7114224137931034,0.024137931034482807,-0.030700431034482684,0.05483836206896549,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.12337030340115127,0.2754168786767678
H139,lung,seed43,source_disjoint,11,220,111,0.7647739482601867,0.8136209604099511,0.04884701214976439,0.03284982229936356,0.015997189850400828,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111237773354876,0.24860096830588957
H139,lung,seed43,target_disjoint,11,220,145,0.8175632183908046,0.8578390804597702,0.04027586206896561,0.010901149425287448,0.029374712643678157,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.13011000961913072,0.23212073405536862
H139,external_lung,seed44,source_disjoint,11,220,102,0.847374543037554,0.8333333333333334,-0.014041209704220625,0.041658358258557536,-0.05569956796277816,0.4444444444444444,0.6666666666666666,0.7777777777777778,0.4444444444444444,0.11229764287306876,0.2757578653421741
H139,external_lung,seed44,target_disjoint,11,220,145,0.8164597701149425,0.8403678160919541,0.02390804597701157,0.006781609195402247,0.017126436781609324,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.10819975701509874,0.28995070575742315
H139,immune,seed44,dual_axis_disjoint,11,220,53,0.8258953790532143,0.8937973110383007,0.06790193198508643,0.06037453395096601,0.007527398034120419,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.10844814111962726,0.24756684567463538
H139,immune,seed44,source_disjoint,11,220,56,0.7989438153310106,0.8729311846689896,0.073987369337979,0.0641577743902439,0.00982959494773511,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.11123139979363772,0.2488050573427347
H139,immune,seed44,target_disjoint,11,220,54,0.7813476126729139,0.888442659526997,0.10709504685408311,0.062380075858991364,0.044714970995091745,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.10959444649641355,0.2600573895054517
H139,lung,seed44,dual_axis_disjoint,11,190,150,0.7725,0.8178333333333334,0.04533333333333345,0.005841666666666762,0.03949166666666669,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.10394661002751247,0.27988274176878203
H139,lung,seed44,source_disjoint,11,220,108,0.796957671957672,0.798776455026455,0.0018187830687830253,0.01204117063492062,-0.010222387566137595,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.10424854890885452,0.24677194215237166
H139,lung,seed44,target_disjoint,11,220,141,0.8293383607146063,0.833378220666128,0.004039859951521674,0.021043181614148435,-0.01700332166262676,0.1111111111111111,0.2222222222222222,0.5555555555555556,0.1111111111111111,0.10128719849160904,0.27343920315553133
