hypothesis_id,domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70,auc_sectional_model,delta_vs_h70,q95_null_delta_auc,null_gap_q95,p_endpoint_swap_upper,p_sectional_shuffle_upper,p_label_upper,p_best_upper,mean_anisotropy_gap,mean_pair_alignment,q95_endpoint_swap_within_distance_bins,q95_label_permutation,q95_sectional_row_shuffle,mean_endpoint_swap_within_distance_bins,mean_label_permutation,mean_sectional_row_shuffle,margin_vs_endpoint_swap_within_distance_bins,margin_vs_label_permutation,margin_vs_sectional_row_shuffle,strict_q95_max,strict_margin,strict_positive
H139,external_lung,seed43,target_disjoint,11,220,146,0.8322843391336543,0.8413550536838208,0.0090707145501665,0.0048870788596814,0.004183635690485,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1105080543926452,0.2922524956005402,0.0020223991114400766,-0.01273139577934095,0.008908737504627673,-0.01055164753794895,-0.05746714179933355,-0.008769900037023437,0.007048315438726423,0.02180211032950745,0.00016197704553882683,0.008908737504627673,0.00016197704553882683,1
H139,immune,seed43,dual_axis_disjoint,11,220,56,0.878266550522648,0.8754355400696864,-0.0028310104529616,0.0103767421602788,-0.0132077526132404,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.1156479138846157,0.2187654842527742,0.004268292682926881,0.0030596689895470703,0.009130008710801423,-0.011296820557491188,-0.038715429006968574,-0.010017421602787362,-0.0070993031358884805,-0.0058906794425086706,-0.011961019163763024,0.009130008710801423,-0.011961019163763024,0
H139,immune,seed43,source_disjoint,11,220,56,0.8652003484320557,0.9070121951219512,0.0418118466898953,0.0095682709059233,0.0322435757839719,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1058387462315421,0.2638228974199407,0.011318597560975554,0.008130988675958144,0.0018347125435539595,-0.0047501088850174,-0.01491044207317076,-0.0111062717770034,0.030493249128919746,0.03368085801393716,0.03997713414634134,0.011318597560975554,0.030493249128919746,1
H139,immune,seed43,target_disjoint,11,220,56,0.849520905923345,0.9540505226480837,0.1045296167247386,0.0519000435540069,0.0526295731707316,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1168922721434371,0.2245489205424015,0.04189895470383266,0.07127068815331009,0.018309015679442465,0.008030270034843238,0.021001197735191587,-0.0005308144599302997,0.06263066202090593,0.03325892857142851,0.08622060104529614,0.07127068815331009,0.03325892857142851,1
H139,lung,seed43,dual_axis_disjoint,11,189,160,0.6872844827586206,0.7114224137931034,0.0241379310344828,-0.0307004310344826,0.0548383620689654,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1233703034011512,0.2754168786767678,-0.007823275862068933,-0.03578124999999991,-0.04328663793103441,-0.06629849137931029,-0.08166756465517236,-0.05827047413793093,0.031961206896551735,0.05991918103448271,0.06742456896551721,-0.007823275862068933,0.031961206896551735,1
H139,lung,seed43,source_disjoint,11,220,111,0.7647739482601867,0.8136209604099511,0.0488470121497643,0.0328498222993635,0.0159971898504008,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111237773354876,0.2486009683058895,0.032568807339449564,0.01718943714356554,0.027708901562112462,-0.00040292586164138774,-0.03048289114802874,0.0005578973468882124,0.016278204810314736,0.03165757500619876,0.02113811058765184,0.032568807339449564,0.016278204810314736,1
H139,lung,seed43,target_disjoint,11,220,145,0.8175632183908046,0.8578390804597702,0.0402758620689656,0.0109011494252874,0.0293747126436781,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1301100096191307,0.2321207340553686,0.012579310344827498,-0.007227586206896379,0.0070804597701149665,-0.006586206896551701,-0.07906896551724131,-0.003080459770114894,0.027696551724138103,0.047503448275861976,0.03319540229885063,0.012579310344827498,0.027696551724138103,1
H139,external_lung,seed44,source_disjoint,11,220,102,0.847374543037554,0.8333333333333334,-0.0140412097042206,0.0416583582585575,-0.0556995679627781,0.4444444444444444,0.6666666666666666,0.7777777777777778,0.4444444444444444,0.1122976428730687,0.2757578653421741,0.001404120970422127,0.05865112994350278,0.009417580591558731,-0.015432868062479163,0.0029339066134928616,-0.010925556663343251,-0.015445330674642726,-0.07269233964772338,-0.023458790295779332,0.05865112994350278,-0.07269233964772338,0
H139,external_lung,seed44,target_disjoint,11,220,145,0.8164597701149425,0.8403678160919541,0.0239080459770115,0.0067816091954022,0.0171264367816093,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1081997570150987,0.2899507057574231,-0.00450574712643665,0.01876091954022985,-0.010809195402298716,-0.027632183908045886,-0.011132183908045962,-0.02698850574712635,0.02841379310344815,0.0051471264367816474,0.03471724137931022,0.01876091954022985,0.0051471264367816474,1
H139,immune,seed44,dual_axis_disjoint,11,220,53,0.8258953790532143,0.8937973110383007,0.0679019319850864,0.060374533950966,0.0075273980341204,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1084481411196272,0.2475668456746353,0.020726471585131585,0.08683482092418925,0.029166195910066677,-0.004321545588069088,0.038321941023613096,0.0016382329680262498,0.047175460399954815,-0.018932888939102846,0.03873573607501972,0.08683482092418925,-0.018932888939102846,0
