domain,split_regime,layer,null_family,n_seed_runs,mean_h1_sum_observed,mean_h1_sum_null_mean,mean_h1_sum_delta,mean_h1_sum_z,delta_positive_fraction,mean_n_null_draws,mean_rewire_attempts,fisher_stat,fisher_p
immune,source_disjoint,7,feature_shuffle,3,21.942900975545246,15.153998384873072,6.788902590672175,2.4623136699667594,1.0,20.0,0.0,15.494545904100757,0.01674004623640472
immune,source_disjoint,8,degree_preserving_geodesic_rewire,3,19.144360701243084,169.70026754339537,-150.55590684215227,-9.316867599049962,0.0,8.0,8.0,-0.0,1.0
immune,source_disjoint,8,feature_shuffle,3,19.144360701243084,13.533998018503189,5.610362682739894,1.958456733660934,1.0,20.0,0.0,12.721957181860976,0.047670019061558766
immune,source_disjoint,9,degree_preserving_geodesic_rewire,3,15.756287733713785,142.53439870568002,-126.77811097196623,-13.307711348166999,0.0,8.0,8.0,-0.0,1.0
immune,source_disjoint,9,feature_shuffle,3,15.756287733713785,9.654879277944564,6.101408455769222,4.016713467815822,1.0,20.0,0.0,18.26713462634054,0.005598163615730096
immune,source_disjoint,10,degree_preserving_geodesic_rewire,3,15.26186998685201,113.91863938172658,-98.65676939487457,-9.328697021143403,0.0,8.0,8.0,-0.0,1.0
immune,source_disjoint,10,feature_shuffle,3,15.26186998685201,9.661324175198873,5.600545811653137,3.6079137255118074,1.0,20.0,0.0,18.26713462634054,0.005598163615730096
immune,source_disjoint,11,degree_preserving_geodesic_rewire,3,9.26724660396576,79.79474071164925,-70.5274941076835,-8.942313048995686,0.0,8.0,8.0,-0.0,1.0
immune,source_disjoint,11,feature_shuffle,3,9.26724660396576,6.4592895428339645,2.807957061131795,2.486752086256727,1.0,20.0,0.0,16.069910049004317,0.013383610672947337
immune,target_disjoint,0,degree_preserving_geodesic_rewire,3,3.509626547495524,90.39514316121738,-86.88551661372185,-4.496034121950266,0.0,8.0,8.0,-0.0,1.0
immune,target_disjoint,0,feature_shuffle,3,3.509626547495524,4.009393995006879,-0.4997674475113551,-0.4727871151700871,0.3333333333333333,20.0,0.0,4.314438485445041,0.634206009838419
immune,target_disjoint,1,degree_preserving_geodesic_rewire,3,4.367624998092651,141.18647780021033,-136.81885280211768,-6.257627997075431,0.0,8.0,8.0,-0.0,1.0
immune,target_disjoint,1,feature_shuffle,3,4.367624998092651,3.64778079589208,0.7198442022005717,0.5465126542274537,1.0,20.0,0.0,6.99755542000204,0.32107333157977347
immune,target_disjoint,2,degree_preserving_geodesic_rewire,3,4.826985200246175,156.055381556352,-151.2283963561058,-4.944784278484515,0.0,8.0,8.0,-0.0,1.0
immune,target_disjoint,2,feature_shuffle,3,4.826985200246175,3.8234218329191205,1.0035633673270543,0.8310767049536155,1.0,20.0,0.0,8.594570812437583,0.19769546037373179
immune,target_disjoint,3,degree_preserving_geodesic_rewire,3,3.62430731455485,148.17202872037888,-144.54772140582403,-3.921885772312925,0.0,8.0,8.0,-0.0,1.0
immune,target_disjoint,3,feature_shuffle,3,3.62430731455485,3.8697384476661685,-0.24543113311131806,0.02923839549265649,0.6666666666666666,20.0,0.0,8.116786995872884,0.22967148066053916
immune,target_disjoint,4,degree_preserving_geodesic_rewire,3,2.4892922242482505,123.40469070275624,-120.915398478508,-5.404685714071905,0.0,8.0,8.0,-0.0,1.0
immune,target_disjoint,4,feature_shuffle,3,2.4892922242482505,3.3428579380114876,-0.8535657137632371,-1.1257386450615654,0.3333333333333333,20.0,0.0,4.8003308426658196,0.5696655280012699
immune,target_disjoint,5,degree_preserving_geodesic_rewire,3,3.671769460042318,158.37926751375198,-154.70749805370966,-9.03250130340499,0.0,8.0,8.0,-0.0,1.0
immune,target_disjoint,5,feature_shuffle,3,3.671769460042318,3.452948703120152,0.21882075692216554,0.1270268026216909,0.6666666666666666,20.0,0.0,6.899975091663174,0.33019665330248
immune,target_disjoint,6,degree_preserving_geodesic_rewire,3,4.889081001281738,114.08940172195435,-109.20032072067261,-4.3340011026111505,0.0,8.0,8.0,-0.0,1.0
immune,target_disjoint,6,feature_shuffle,3,4.889081001281738,3.212574727336566,1.6765062739451724,2.014511801810414,0.6666666666666666,20.0,0.0,9.828119215988325,0.13207941211476887
immune,target_disjoint,7,degree_preserving_geodesic_rewire,3,5.167193571726481,156.73605092366537,-151.56885735193887,-4.584324222613881,0.0,8.0,8.0,-0.0,1.0
immune,target_disjoint,7,feature_shuffle,3,5.167193571726481,3.573337249457836,1.593856322268645,1.7103880867196313,1.0,20.0,0.0,14.108251542980867,0.02845003431291927
immune,target_disjoint,8,degree_preserving_geodesic_rewire,3,4.678797721862793,154.5752080877622,-149.8964103658994,-6.146162221159552,0.0,8.0,8.0,-0.0,1.0
immune,target_disjoint,8,feature_shuffle,3,4.678797721862793,3.2707276528080307,1.4080700690547625,1.5229273372734464,0.6666666666666666,20.0,0.0,11.464739863016227,0.07503207789872782
immune,target_disjoint,9,degree_preserving_geodesic_rewire,3,5.588599840799968,161.02501412232718,-155.4364142815272,-4.869894633238215,0.0,8.0,8.0,-0.0,1.0
immune,target_disjoint,9,feature_shuffle,3,5.588599840799968,2.98766605903705,2.6009337817629175,4.258959253049285,1.0,20.0,0.0,18.26713462634054,0.005598163615730096
immune,target_disjoint,10,degree_preserving_geodesic_rewire,3,4.383628845214844,106.64377342661221,-102.26014458139737,-5.030657582110842,0.0,8.0,8.0,-0.0,1.0
immune,target_disjoint,10,feature_shuffle,3,4.383628845214844,2.596754843990008,1.7868740012248356,3.478774063356388,1.0,20.0,0.0,15.048258801472336,0.019884672832441094
immune,target_disjoint,11,degree_preserving_geodesic_rewire,3,3.1709539890289307,96.13065413633983,-92.9597001473109,-5.924458612629311,0.0,8.0,8.0,-0.0,1.0
immune,target_disjoint,11,feature_shuffle,3,3.1709539890289307,2.082071986297766,1.0888820027311643,1.7771933697721976,1.0,20.0,0.0,13.297321326764536,0.03855005503308801
