hypothesis_id,null_kind,domain,perm_idx,null_value
H86,depth_order_permutation,lung,17,0.5504873318212289
H86,depth_order_permutation,lung,18,0.6179819420163992
H86,depth_order_permutation,lung,19,0.60287662253271
H86,depth_order_permutation,lung,20,0.601892659509202
H86,depth_order_permutation,lung,21,0.589057487389057
H86,depth_order_permutation,lung,22,0.5620418354629513
H86,depth_order_permutation,lung,23,0.6033939061171851
H86,random_transport_fixed_marginals,external_lung,0,0.5787477710922544
H86,random_transport_fixed_marginals,external_lung,1,0.5906184202182931
H86,random_transport_fixed_marginals,external_lung,2,0.5879057524668059
H86,random_transport_fixed_marginals,external_lung,3,0.6342318964553608
H86,random_transport_fixed_marginals,external_lung,4,0.5509132063456186
H86,random_transport_fixed_marginals,external_lung,5,0.6188087372234847
H86,random_transport_fixed_marginals,external_lung,6,0.6354054484969343
H86,random_transport_fixed_marginals,external_lung,7,0.4973246869039477
H86,random_transport_fixed_marginals,external_lung,8,0.5268916833948836
H86,random_transport_fixed_marginals,external_lung,9,0.6562908189743022
H86,random_transport_fixed_marginals,external_lung,10,0.5234986079364228
H86,random_transport_fixed_marginals,external_lung,11,0.5593938048483822
H86,random_transport_fixed_marginals,external_lung,12,0.6086064932572035
H86,random_transport_fixed_marginals,external_lung,13,0.5433578810239681
H86,random_transport_fixed_marginals,external_lung,14,0.565644390752007
H86,random_transport_fixed_marginals,external_lung,15,0.5728817490883928
H86,random_transport_fixed_marginals,external_lung,16,0.49559023547816317
H86,random_transport_fixed_marginals,external_lung,17,0.5111346819369567
H86,random_transport_fixed_marginals,external_lung,18,0.6153917022165996
H86,random_transport_fixed_marginals,external_lung,19,0.6447033214084901
H86,random_transport_fixed_marginals,external_lung,20,0.5929457045671176
H86,random_transport_fixed_marginals,external_lung,21,0.4879322693728869
H86,random_transport_fixed_marginals,external_lung,22,0.6654460113770058
H86,random_transport_fixed_marginals,external_lung,23,0.629753081077606
H86,random_transport_fixed_marginals,immune,0,0.5395308244224031
H86,random_transport_fixed_marginals,immune,1,0.618396309351259
H86,random_transport_fixed_marginals,immune,2,0.5713161842511671
H86,random_transport_fixed_marginals,immune,3,0.5942873076218969
H86,random_transport_fixed_marginals,immune,4,0.5166573309746321
H86,random_transport_fixed_marginals,immune,5,0.5622945645732522
H86,random_transport_fixed_marginals,immune,6,0.6220181944858469
H86,random_transport_fixed_marginals,immune,7,0.6070169490309232
H86,random_transport_fixed_marginals,immune,8,0.5196491081877868
H86,random_transport_fixed_marginals,immune,9,0.5351931285471274
H86,random_transport_fixed_marginals,immune,10,0.6707099254213511
H86,random_transport_fixed_marginals,immune,11,0.4593800435114912
H86,random_transport_fixed_marginals,immune,12,0.573920895362175
H86,random_transport_fixed_marginals,immune,13,0.5311063830915916
H86,random_transport_fixed_marginals,immune,14,0.5270157431103315
H86,random_transport_fixed_marginals,immune,15,0.6318779547689963
H86,random_transport_fixed_marginals,immune,16,0.6510838915448109
H86,random_transport_fixed_marginals,immune,17,0.63161602119737
H86,random_transport_fixed_marginals,immune,18,0.6295185792224824
H86,random_transport_fixed_marginals,immune,19,0.6534444896633174
H86,random_transport_fixed_marginals,immune,20,0.6016021164978964
H86,random_transport_fixed_marginals,immune,21,0.568573058850047
H86,random_transport_fixed_marginals,immune,22,0.47363351843277224
H86,random_transport_fixed_marginals,immune,23,0.6622623960764535
H86,random_transport_fixed_marginals,lung,0,0.5306619730833606
H86,random_transport_fixed_marginals,lung,1,0.5087175694805732
H86,random_transport_fixed_marginals,lung,2,0.6191343023364742
H86,random_transport_fixed_marginals,lung,3,0.47106274514378976
H86,random_transport_fixed_marginals,lung,4,0.6210868722227982
H86,random_transport_fixed_marginals,lung,5,0.6186212222745211
H86,random_transport_fixed_marginals,lung,6,0.6602927535724847
H86,random_transport_fixed_marginals,lung,7,0.616610741857619
H86,random_transport_fixed_marginals,lung,8,0.595328570295816
H86,random_transport_fixed_marginals,lung,9,0.680247678654808
H86,random_transport_fixed_marginals,lung,10,0.5155942476983868
H86,random_transport_fixed_marginals,lung,11,0.6495923815301416
H86,random_transport_fixed_marginals,lung,12,0.5467294502527198
H86,random_transport_fixed_marginals,lung,13,0.5796349489308443
