hypothesis_id,null_kind,domain,split_regime,layer,perm_idx,null_value
H87,descriptor_shuffle_within_geodesic_bins,immune,target_disjoint,0,4,-0.006326477479822956
H87,descriptor_shuffle_within_geodesic_bins,immune,target_disjoint,0,5,-0.002455957649917573
H87,descriptor_shuffle_within_geodesic_bins,immune,target_disjoint,0,6,-0.00571465764123924
H87,descriptor_shuffle_within_geodesic_bins,immune,target_disjoint,0,7,-0.004608174954438771
H87,descriptor_shuffle_within_geodesic_bins,immune,target_disjoint,3,0,-0.008513407966675213
H87,descriptor_shuffle_within_geodesic_bins,immune,target_disjoint,3,1,0.0024342619109608554
H87,descriptor_shuffle_within_geodesic_bins,immune,target_disjoint,3,2,-0.007519743122450739
H87,descriptor_shuffle_within_geodesic_bins,immune,target_disjoint,3,3,-0.009238045647834592
H87,descriptor_shuffle_within_geodesic_bins,immune,target_disjoint,3,4,-0.0073027857328819
H87,descriptor_shuffle_within_geodesic_bins,immune,target_disjoint,3,5,-0.007363533801961308
H87,descriptor_shuffle_within_geodesic_bins,immune,target_disjoint,3,6,-0.013134600364488214
H87,descriptor_shuffle_within_geodesic_bins,immune,target_disjoint,3,7,-0.005115855246029644
H87,descriptor_shuffle_within_geodesic_bins,immune,target_disjoint,7,0,0.004890219560878317
H87,descriptor_shuffle_within_geodesic_bins,immune,target_disjoint,7,1,0.006647574416384638
H87,descriptor_shuffle_within_geodesic_bins,immune,target_disjoint,7,2,0.006886227544910195
H87,descriptor_shuffle_within_geodesic_bins,immune,target_disjoint,7,3,0.00927709797795706
H87,descriptor_shuffle_within_geodesic_bins,immune,target_disjoint,7,4,0.005098498654864225
H87,descriptor_shuffle_within_geodesic_bins,immune,target_disjoint,7,5,-0.0027466805519394955
H87,descriptor_shuffle_within_geodesic_bins,immune,target_disjoint,7,6,0.00482947149179902
H87,descriptor_shuffle_within_geodesic_bins,immune,target_disjoint,7,7,0.00046862796146840413
H87,descriptor_shuffle_within_geodesic_bins,immune,target_disjoint,11,0,0.00931615030807953
H87,descriptor_shuffle_within_geodesic_bins,immune,target_disjoint,11,1,0.0048034366050507815
H87,descriptor_shuffle_within_geodesic_bins,immune,target_disjoint,11,2,0.011004078798923955
H87,descriptor_shuffle_within_geodesic_bins,immune,target_disjoint,11,3,0.004434609042784032
H87,descriptor_shuffle_within_geodesic_bins,immune,target_disjoint,11,4,0.01306517399982643
H87,descriptor_shuffle_within_geodesic_bins,immune,target_disjoint,11,5,0.01285689490584041
H87,descriptor_shuffle_within_geodesic_bins,immune,target_disjoint,11,6,0.009090514622928092
H87,descriptor_shuffle_within_geodesic_bins,immune,target_disjoint,11,7,0.00499869825566257
H87,descriptor_shuffle_within_geodesic_bins,lung,source_disjoint,0,0,0.003251663641863245
H87,descriptor_shuffle_within_geodesic_bins,lung,source_disjoint,0,1,-0.0029827922296162823
H87,descriptor_shuffle_within_geodesic_bins,lung,source_disjoint,0,2,-0.0008486253949049338
H87,descriptor_shuffle_within_geodesic_bins,lung,source_disjoint,0,3,-8.40223163267595e-06
H87,descriptor_shuffle_within_geodesic_bins,lung,source_disjoint,0,4,-0.00883914767762306
H87,descriptor_shuffle_within_geodesic_bins,lung,source_disjoint,0,5,-0.005637897425556093
H87,descriptor_shuffle_within_geodesic_bins,lung,source_disjoint,0,6,-0.004436378302077104
H87,descriptor_shuffle_within_geodesic_bins,lung,source_disjoint,0,7,0.0011679101969482852
H87,descriptor_shuffle_within_geodesic_bins,lung,source_disjoint,3,0,0.033373664045170504
H87,descriptor_shuffle_within_geodesic_bins,lung,source_disjoint,3,1,0.019694830947099562
H87,descriptor_shuffle_within_geodesic_bins,lung,source_disjoint,3,2,0.025357935067553905
H87,descriptor_shuffle_within_geodesic_bins,lung,source_disjoint,3,3,0.024366471734892925
H87,descriptor_shuffle_within_geodesic_bins,lung,source_disjoint,3,4,0.025366337299186692
H87,descriptor_shuffle_within_geodesic_bins,lung,source_disjoint,3,5,0.018963836795052758
H87,descriptor_shuffle_within_geodesic_bins,lung,source_disjoint,3,6,0.02430765611346386
H87,descriptor_shuffle_within_geodesic_bins,lung,source_disjoint,3,7,0.020425825099146366
H87,descriptor_shuffle_within_geodesic_bins,lung,source_disjoint,7,0,0.008124957988841941
H87,descriptor_shuffle_within_geodesic_bins,lung,source_disjoint,7,1,0.022820461114472
H87,descriptor_shuffle_within_geodesic_bins,lung,source_disjoint,7,2,0.015283659339920819
H87,descriptor_shuffle_within_geodesic_bins,lung,source_disjoint,7,3,0.03069335215433222
H87,descriptor_shuffle_within_geodesic_bins,lung,source_disjoint,7,4,0.016031457955232975
H87,descriptor_shuffle_within_geodesic_bins,lung,source_disjoint,7,5,0.019467970693016312
H87,descriptor_shuffle_within_geodesic_bins,lung,source_disjoint,7,6,0.020240976003226385
H87,descriptor_shuffle_within_geodesic_bins,lung,source_disjoint,7,7,0.013678833098071053
H87,descriptor_shuffle_within_geodesic_bins,lung,source_disjoint,11,0,0.009746588693956948
H87,descriptor_shuffle_within_geodesic_bins,lung,source_disjoint,11,1,0.02240875176446855
H87,descriptor_shuffle_within_geodesic_bins,lung,source_disjoint,11,2,0.01761107750218449
H87,descriptor_shuffle_within_geodesic_bins,lung,source_disjoint,11,3,0.027945822410432086
H87,descriptor_shuffle_within_geodesic_bins,lung,source_disjoint,11,4,0.02402198023795099
H87,descriptor_shuffle_within_geodesic_bins,lung,source_disjoint,11,5,0.021055992471600393
H87,descriptor_shuffle_within_geodesic_bins,lung,source_disjoint,11,6,0.028996101364522353
H87,descriptor_shuffle_within_geodesic_bins,lung,source_disjoint,11,7,0.028181084896148234
H87,descriptor_shuffle_within_geodesic_bins,lung,target_disjoint,0,0,0.0037780692608661015
H87,descriptor_shuffle_within_geodesic_bins,lung,target_disjoint,0,1,0.004613280417941845
H87,descriptor_shuffle_within_geodesic_bins,lung,target_disjoint,0,2,0.004686151190035792
H87,descriptor_shuffle_within_geodesic_bins,lung,target_disjoint,0,3,0.006844247132815506
H87,descriptor_shuffle_within_geodesic_bins,lung,target_disjoint,0,4,-0.00019619054025277194
H87,descriptor_shuffle_within_geodesic_bins,lung,target_disjoint,0,5,0.002107646946714614
H87,descriptor_shuffle_within_geodesic_bins,lung,target_disjoint,0,6,0.0032679738562092497
H87,descriptor_shuffle_within_geodesic_bins,lung,target_disjoint,0,7,-0.0012444085696029505
H87,descriptor_shuffle_within_geodesic_bins,lung,target_disjoint,3,0,0.006009035975739652
H87,descriptor_shuffle_within_geodesic_bins,lung,target_disjoint,3,1,0.00850906400295981
H87,descriptor_shuffle_within_geodesic_bins,lung,target_disjoint,3,2,0.007595376629782824
H87,descriptor_shuffle_within_geodesic_bins,lung,target_disjoint,3,3,0.010997881142165267
H87,descriptor_shuffle_within_geodesic_bins,lung,target_disjoint,3,4,0.013368983957219305
H87,descriptor_shuffle_within_geodesic_bins,lung,target_disjoint,3,5,0.002427157255126322
H87,descriptor_shuffle_within_geodesic_bins,lung,target_disjoint,3,6,0.010375676857363958
H87,descriptor_shuffle_within_geodesic_bins,lung,target_disjoint,3,7,0.008587540219060719
H87,descriptor_shuffle_within_geodesic_bins,lung,target_disjoint,7,0,0.0089631049675446
H87,descriptor_shuffle_within_geodesic_bins,lung,target_disjoint,7,1,0.01463581430285088
H87,descriptor_shuffle_within_geodesic_bins,lung,target_disjoint,7,2,0.011294969674548017
H87,descriptor_shuffle_within_geodesic_bins,lung,target_disjoint,7,3,0.004529198757833752
H87,descriptor_shuffle_within_geodesic_bins,lung,target_disjoint,7,4,0.009316247939999522
H87,descriptor_shuffle_within_geodesic_bins,lung,target_disjoint,7,5,0.008413771454837016
H87,descriptor_shuffle_within_geodesic_bins,lung,target_disjoint,7,6,0.008391349678808169
H87,descriptor_shuffle_within_geodesic_bins,lung,target_disjoint,7,7,0.004557225977869672
H87,descriptor_shuffle_within_geodesic_bins,lung,target_disjoint,11,0,0.014809583067074805
H87,descriptor_shuffle_within_geodesic_bins,lung,target_disjoint,11,1,0.016311842061009774
H87,descriptor_shuffle_within_geodesic_bins,lung,target_disjoint,11,2,0.015370127467796646
H87,descriptor_shuffle_within_geodesic_bins,lung,target_disjoint,11,3,0.00987118689671429
H87,descriptor_shuffle_within_geodesic_bins,lung,target_disjoint,11,4,0.01180506507920509
H87,descriptor_shuffle_within_geodesic_bins,lung,target_disjoint,11,5,0.01048218029350112
H87,descriptor_shuffle_within_geodesic_bins,lung,target_disjoint,11,6,0.011283758786533538
H87,descriptor_shuffle_within_geodesic_bins,lung,target_disjoint,11,7,0.012578616352201366
H87,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,0,0,0.0037193056218113307
H87,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,0,1,-8.085447003924884e-06
H87,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,0,2,0.0025064885712205998
H87,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,0,3,-0.003339289612626195
H87,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,0,4,0.0011885607095788453
H87,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,0,5,-0.00033958877416540023
H87,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,0,6,0.0021103016680277253
H87,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,0,7,-0.0034444004236773296
H87,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,3,0,-0.0009985527049862775
H87,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,3,1,-0.0028258637278761878
H87,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,3,2,-0.002381164142659653
H87,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,3,3,-0.0039173990734078235
H87,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,3,4,-0.004604662068742549
H87,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,3,5,-0.002025404474486292
H87,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,3,6,7.681174653750844e-05
H87,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,3,7,-0.0033999304651557427
H87,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,7,0,0.0013543123731595275
H87,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,7,1,-0.0012330306681005432
H87,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,7,2,-0.00028703336863977746
H87,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,7,3,0.003812288262356467
H87,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,7,4,0.006504742114667783
H87,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,7,5,0.0017909265113722483
H87,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,7,6,0.0019768917924627427
H87,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,7,7,-0.0034807849351952136
H87,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,11,0,0.006759433695291861
H87,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,11,1,0.0018596528109056099
H87,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,11,2,-0.0026035139352678094
H87,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,11,3,-0.002692453852311205
H87,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,11,4,0.0015766621657677948
H87,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,11,5,-0.0015847476127718307
H87,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,11,6,-0.0014715513547166603
H87,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,11,7,-0.0029673590504450953
H87,endpoint_swap_within_geodesic_bins,external_lung,target_disjoint,0,0,-0.006730305492433475
H87,endpoint_swap_within_geodesic_bins,external_lung,target_disjoint,0,1,-0.01202243724826535
H87,endpoint_swap_within_geodesic_bins,external_lung,target_disjoint,0,2,-0.00986734911124354
H87,endpoint_swap_within_geodesic_bins,external_lung,target_disjoint,0,3,-0.012439551081237288
H87,endpoint_swap_within_geodesic_bins,external_lung,target_disjoint,0,4,0.0006387055567382838
H87,endpoint_swap_within_geodesic_bins,external_lung,target_disjoint,0,5,-0.008789805042732635
H87,endpoint_swap_within_geodesic_bins,external_lung,target_disjoint,0,6,-0.003962581413234023
H87,endpoint_swap_within_geodesic_bins,external_lung,target_disjoint,0,7,-0.003628021359704192
H87,endpoint_swap_within_geodesic_bins,external_lung,target_disjoint,3,0,-0.00636967582434278
H87,endpoint_swap_within_geodesic_bins,external_lung,target_disjoint,3,1,-0.003997340899314805
H87,endpoint_swap_within_geodesic_bins,external_lung,target_disjoint,3,2,-0.007299492077009639
H87,endpoint_swap_within_geodesic_bins,external_lung,target_disjoint,3,3,-0.00688237824403759
H87,endpoint_swap_within_geodesic_bins,external_lung,target_disjoint,3,4,-0.004670805942134093
H87,endpoint_swap_within_geodesic_bins,external_lung,target_disjoint,3,5,-0.007612327451738565
H87,endpoint_swap_within_geodesic_bins,external_lung,target_disjoint,3,6,-0.0070040364453209936
H87,endpoint_swap_within_geodesic_bins,external_lung,target_disjoint,3,7,-0.005500688672317899
H87,endpoint_swap_within_geodesic_bins,external_lung,target_disjoint,7,0,-6.082910064175717e-05
H87,endpoint_swap_within_geodesic_bins,external_lung,target_disjoint,7,1,0.006100289807215109
H87,endpoint_swap_within_geodesic_bins,external_lung,target_disjoint,7,2,0.004762049593096673
H87,endpoint_swap_within_geodesic_bins,external_lung,target_disjoint,7,3,0.007547153415336738
H87,endpoint_swap_within_geodesic_bins,external_lung,target_disjoint,7,4,0.0012643763061964686
H87,endpoint_swap_within_geodesic_bins,external_lung,target_disjoint,7,5,0.0011383731691527732
H87,endpoint_swap_within_geodesic_bins,external_lung,target_disjoint,7,6,0.003919132055632546
H87,endpoint_swap_within_geodesic_bins,external_lung,target_disjoint,7,7,0.0004866328051340574
H87,endpoint_swap_within_geodesic_bins,external_lung,target_disjoint,11,0,0.005352960856473632
H87,endpoint_swap_within_geodesic_bins,external_lung,target_disjoint,11,1,0.007929507762227561
H87,endpoint_swap_within_geodesic_bins,external_lung,target_disjoint,11,2,0.0041276889721183485
H87,endpoint_swap_within_geodesic_bins,external_lung,target_disjoint,11,3,0.006417470117704105
H87,endpoint_swap_within_geodesic_bins,external_lung,target_disjoint,11,4,0.0012078921413146704
H87,endpoint_swap_within_geodesic_bins,external_lung,target_disjoint,11,5,0.0055267582868786524
H87,endpoint_swap_within_geodesic_bins,external_lung,target_disjoint,11,6,9.124365096258025e-05
H87,endpoint_swap_within_geodesic_bins,external_lung,target_disjoint,11,7,-0.001051474453950374
H87,endpoint_swap_within_geodesic_bins,immune,source_disjoint,0,0,-0.014019401589527636
H87,endpoint_swap_within_geodesic_bins,immune,source_disjoint,0,1,-0.014147966339410845
H87,endpoint_swap_within_geodesic_bins,immune,source_disjoint,0,2,-0.012996727442730283
H87,endpoint_swap_within_geodesic_bins,immune,source_disjoint,0,3,-0.00790673211781201
H87,endpoint_swap_within_geodesic_bins,immune,source_disjoint,0,4,-0.014235624123422053
H87,endpoint_swap_within_geodesic_bins,immune,source_disjoint,0,5,-0.018396446937821387
H87,endpoint_swap_within_geodesic_bins,immune,source_disjoint,0,6,-0.008666432912575739
H87,endpoint_swap_within_geodesic_bins,immune,source_disjoint,0,7,-0.015947872837774657
H87,endpoint_swap_within_geodesic_bins,immune,source_disjoint,3,0,0.0009467040673212246
H87,endpoint_swap_within_geodesic_bins,immune,source_disjoint,3,1,0.013832398316970473
H87,endpoint_swap_within_geodesic_bins,immune,source_disjoint,3,2,0.010600748013090189
H87,endpoint_swap_within_geodesic_bins,immune,source_disjoint,3,3,0.006486676016830173
H87,endpoint_swap_within_geodesic_bins,immune,source_disjoint,3,4,0.002477793361383651
H87,endpoint_swap_within_geodesic_bins,immune,source_disjoint,3,5,0.0053237494156146425
H87,endpoint_swap_within_geodesic_bins,immune,source_disjoint,3,6,0.0032316503038801736
H87,endpoint_swap_within_geodesic_bins,immune,source_disjoint,3,7,0.005434782608695676
H87,endpoint_swap_within_geodesic_bins,immune,source_disjoint,7,0,-0.008280738662926668
H87,endpoint_swap_within_geodesic_bins,immune,source_disjoint,7,1,-0.007772323515661483
H87,endpoint_swap_within_geodesic_bins,immune,source_disjoint,7,2,-0.010741000467508144
H87,endpoint_swap_within_geodesic_bins,immune,source_disjoint,7,3,-0.0056977559607293005
