domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,n_finite_dual_cycle,auc_h70_baseline,auc_h85_dual_cycle_augmented,delta_auc_local_dual_filtration_plus_h70_minus_h70,dual_cycle_hotspot_gap,q95_null_dual_cycle_hotspot_gap,null_gap_q95_local_dual_filtration_hotspot_gap,q95_null_delta_feature_shuffle,q95_null_delta_label_shuffle,null_gap_q95_feature_shuffle,null_gap_q95_label_shuffle,p_feature_shuffle_upper,p_label_shuffle_upper,p_gap_upper,p_best_upper
immune,seed42_main,target_disjoint,7,240,60,240,0.9042592592592592,0.890462962962963,-0.013796296296296195,0.7546329307085465,0.3330164956285647,0.4216164350799818,0.020162037037037034,0.009212962962963006,-0.03395833333333323,-0.0230092592592592,1.0,0.35294117647058826,0.058823529411764705,0.058823529411764705
immune,seed42_main,target_disjoint,11,240,60,240,0.9065740740740741,0.9133333333333333,0.006759259259259243,0.5993077555927151,0.3213735529107088,0.2779342026820063,0.020601851851851788,0.003865740740740753,-0.013842592592592545,0.0028935185185184897,1.0,0.058823529411764705,0.058823529411764705,0.058823529411764705
immune,seed43,source_disjoint,7,240,61,240,0.9253594651524863,0.9211466251488232,-0.004212840003663176,0.3575476239643658,0.31130613801116025,0.04624148595320554,0.0069832402234638324,0.03516805568275491,-0.011196080227127009,-0.03938089568641809,1.0,0.6470588235294118,0.11764705882352941,0.11764705882352941
immune,seed43,source_disjoint,11,240,61,240,0.8625331990108985,0.8820404798974266,0.01950728088652809,0.3088746877292716,0.4673900413812101,-0.15851535365193847,0.024864914369447655,0.0122950819672131,-0.005357633482919566,0.007212198919314988,0.4117647058823529,0.058823529411764705,0.17647058823529413,0.058823529411764705
immune,seed43,target_disjoint,7,240,61,240,0.9098818573129408,0.8968770033885887,-0.013004853924352133,0.46879353602289475,0.33185803199699426,0.1369355040259005,0.019118051103580835,-0.012237842293250284,-0.03212290502793297,-0.0007670116311018493,1.0,0.11764705882352941,0.058823529411764705,0.058823529411764705
immune,seed43,target_disjoint,11,240,61,240,0.8611594468357908,0.9256342155875079,0.0644747687517171,-0.1299416729731493,0.21383731456259464,-0.34377898753574393,0.05330158439417526,0.033931678725157954,0.011173184357541832,0.03054309002655914,0.058823529411764705,0.058823529411764705,0.7647058823529411,0.058823529411764705
immune,seed44,source_disjoint,7,240,61,240,0.8918399120798608,0.8891839912079861,-0.0026559208718747174,0.5963735608477218,0.44381193784362793,0.15256162300409382,0.01410385566443817,-0.022460848063009464,-0.016759776536312887,0.019804927191134747,0.47058823529411764,0.058823529411764705,0.058823529411764705,0.058823529411764705
immune,seed44,source_disjoint,11,240,61,240,0.8857038190310468,0.8960527520835241,0.010348933052477305,0.6326347493982583,0.3911243430156588,0.24151040638259946,0.02383460023811701,0.009478890008242452,-0.013485667185639705,0.0008700430442348528,0.47058823529411764,0.11764705882352941,0.058823529411764705,0.058823529411764705
immune,seed44,target_disjoint,7,240,59,240,0.9087929581421481,0.8917501638730216,-0.01704279426912647,0.2467305463263228,0.3024137982425842,-0.05568325191626139,0.0015684989231201374,0.005033242812997413,-0.01861129319224661,-0.022076037082123884,0.9411764705882353,0.47058823529411764,0.23529411764705882,0.23529411764705882
immune,seed44,target_disjoint,11,240,59,240,0.8893154789774323,0.8827605581046915,-0.006554920872740899,1.0782518097075957,0.133153838888032,0.9450979708195637,0.019407247869650784,0.022907107407060506,-0.025962168742391684,-0.029462028279801405,1.0,0.29411764705882354,0.058823529411764705,0.058823529411764705
lung,seed42_main,source_disjoint,7,240,119,240,0.7937356760886173,0.7944996180290298,0.0007639419404125158,1.1431172535604814,0.33990654961696326,0.8032107039435181,0.021859156885894848,0.00753524550315994,-0.021095214945482332,-0.006771303562747424,0.9411764705882353,0.17647058823529413,0.058823529411764705,0.058823529411764705
lung,seed42_main,source_disjoint,11,240,119,240,0.8209597888742274,0.8385999027710258,0.017640113896798426,-0.11921288031819641,0.29431816332688565,-0.4135310436450821,0.023473852350857666,0.015921244530870196,-0.00583373845405924,0.00171886936592823,0.4117647058823529,0.11764705882352941,0.47058823529411764,0.11764705882352941
lung,seed42_main,target_disjoint,7,240,153,240,0.8489970700924049,0.8567350311772218,0.007737961084816947,0.7862483241399512,0.3445932140913771,0.44165511004857405,0.034877169258507895,0.01209525955976265,-0.02713920817369095,-0.004357298474945703,1.0,0.17647058823529413,0.058823529411764705,0.058823529411764705
lung,seed42_main,target_disjoint,11,240,153,240,0.8350236646382692,0.8432123807377357,0.008188716099466586,-0.19818094591907154,0.30243593240935485,-0.5006168783284264,0.022162121553602226,0.015325670498084254,-0.01397340545413564,-0.0071369543986176676,0.4117647058823529,0.35294117647058826,0.9411764705882353,0.35294117647058826
lung,seed43,source_disjoint,7,240,121,240,0.7799152718938815,0.7746371275783042,-0.005278144315577382,0.2367272555233519,0.2803715479073018,-0.0436442923839499,0.026199736092784143,0.01838669352038333,-0.031477880408361525,-0.02366483783596071,1.0,0.4117647058823529,0.17647058823529413,0.17647058823529413
lung,seed43,source_disjoint,11,240,121,240,0.8058198486005973,0.8179040211125774,0.012084172511980129,0.5955222866891834,0.28402461141491253,0.31149767527427086,0.034151677199805525,0.007205361483436298,-0.022067504687825396,0.004878811028543831,0.8823529411764706,0.11764705882352941,0.058823529411764705,0.058823529411764705
lung,seed43,target_disjoint,7,240,158,240,0.8975764124729855,0.9095399814757642,0.011963569002778729,0.32058145480843314,0.28401706883913347,0.03656438596929967,0.02186245754862612,0.006599259030564936,-0.00989888854584739,0.005364309972213793,0.6470588235294118,0.058823529411764705,0.11764705882352941,0.058823529411764705
lung,seed43,target_disjoint,11,240,158,240,0.8664711330657611,0.8662395801173202,-0.00023155294844090513,-0.3450105094552805,0.14567756422025535,-0.49068807367553585,0.01343007100957086,0.015456159308428544,-0.013661623958011765,-0.01568771225686945,0.8823529411764706,0.7058823529411765,1.0,0.7058823529411765
lung,seed44,source_disjoint,7,240,118,240,0.8287718810780771,0.8366907474298416,0.00791886635176453,0.4518842014863581,0.296775178561616,0.1551090229247421,0.04023687135315379,0.013858016115587748,-0.03231800500138926,-0.005939149763823218,1.0,0.17647058823529413,0.058823529411764705,0.058823529411764705
lung,seed44,source_disjoint,11,240,118,240,0.8346762989719365,0.8494026118366212,0.014726312864684732,0.6496760113665129,0.35332091598820625,0.2963550953783066,0.02057863295359838,-0.0021881078077243543,-0.005852320088913648,0.016914420672409086,0.47058823529411764,0.058823529411764705,0.058823529411764705,0.058823529411764705
lung,seed44,target_disjoint,7,240,153,240,0.8532041168958006,0.8529036135527007,-0.00030050334309983384,-0.15861546294791118,0.2262286573373497,-0.3848441202852609,0.02952445345954463,0.018631207272180844,-0.029824956802644464,-0.018931710615280678,1.0,0.7647058823529411,0.7647058823529411,0.7647058823529411
lung,seed44,target_disjoint,11,240,153,240,0.8511005934941028,0.8846818420854933,0.033581248591390445,-0.5462477656057895,0.3221417199290045,-0.868389485534794,0.029993989933137788,0.012226729772368772,0.0035872586582526567,0.021354518819021673,0.058823529411764705,0.058823529411764705,1.0,0.058823529411764705
