domain,null_idx,procrustes_top1_null,random_top1_null,jaccard_null,transfer_auc_null
external_lung,99,0.0,0.0016666666666666668,0.011081871345029238,0.5092177601930807
external_lung,100,0.0016666666666666668,0.0016666666666666668,0.008401559454191031,0.5023996322139346
external_lung,101,0.0033333333333333335,0.0033333333333333335,0.009376218323586745,0.5128368043394853
external_lung,102,0.0033333333333333335,0.0016666666666666668,0.008957115009746589,0.505552440867637
external_lung,103,0.0033333333333333335,0.0,0.011062378167641324,0.4961509734393246
external_lung,104,0.005,0.0,0.0077680311890838205,0.4874779481643675
external_lung,105,0.0,0.0,0.009005847953216373,0.506140489817835
external_lung,106,0.0033333333333333335,0.0016666666666666668,0.008752436647173489,0.525974948928924
external_lung,107,0.0033333333333333335,0.0016666666666666668,0.008011695906432748,0.509023543789209
external_lung,108,0.0,0.0,0.007612085769980507,0.46870508927103294
external_lung,109,0.0033333333333333335,0.0,0.009200779727095517,0.5142017189051699
external_lung,110,0.0033333333333333335,0.0033333333333333335,0.007690058479532164,0.4729368585923427
external_lung,111,0.0,0.006666666666666667,0.007514619883040936,0.511514274818592
external_lung,112,0.0033333333333333335,0.0016666666666666668,0.00810916179337232,0.5349267284505143
external_lung,113,0.0033333333333333335,0.0016666666666666668,0.0066294002981309485,0.5053971838679501
external_lung,114,0.0033333333333333335,0.0,0.009748308680197226,0.48368100295325056
external_lung,115,0.0,0.0,0.009475404196766426,0.5062706641608783
external_lung,116,0.0,0.0016666666666666668,0.009103313840155945,0.4867495060110122
external_lung,117,0.0016666666666666668,0.0,0.008157894736842107,0.4972481654823627
external_lung,118,0.006666666666666667,0.0016666666666666668,0.008434239192753124,0.47718401426552876
external_lung,119,0.0,0.0,0.008927875243664717,0.49593382266190156
external_lung,120,0.0016666666666666668,0.0033333333333333335,0.00820662768031189,0.501891592293493
external_lung,121,0.0,0.0016666666666666668,0.009532163742690057,0.49344558828584195
external_lung,122,0.0,0.0033333333333333335,0.0098635477582846,0.5074928630551977
external_lung,123,0.0,0.0033333333333333335,0.008723196881091617,0.5063128169588487
external_lung,124,0.0,0.008333333333333333,0.010224171539961014,0.5126190148833053
external_lung,125,0.0016666666666666668,0.0033333333333333335,0.00810916179337232,0.5142839342797236
external_lung,126,0.0,0.0016666666666666668,0.008265107212475633,0.4901107561863585
external_lung,127,0.005,0.0016666666666666668,0.008460038986354775,0.48111630131145133
external_lung,128,0.0016666666666666668,0.0033333333333333335,0.007914230019493177,0.5020092833699199
external_lung,129,0.0,0.0016666666666666668,0.007309941520467837,0.48154903520025716
external_lung,130,0.0033333333333333335,0.0,0.008908382066276801,0.4851492673541792
external_lung,131,0.0016666666666666668,0.0016666666666666668,0.009181286549707603,0.4753582058840196
external_lung,132,0.0,0.0033333333333333335,0.008050682261208576,0.5176153988003058
external_lung,133,0.0,0.0,0.0076608187134502926,0.47483686983308887
external_lung,134,0.0016666666666666668,0.0033333333333333335,0.008635477582846003,0.48326243612051195
external_lung,135,0.0016666666666666668,0.0033333333333333335,0.007175209264992546,0.5112050962384376
external_lung,136,0.0016666666666666668,0.0,0.008898635477582845,0.5050824894258023
external_lung,137,0.0016666666666666668,0.0,0.0080718954248366,0.4970447172673653
external_lung,138,0.0016666666666666668,0.0016666666666666668,0.010155945419103314,0.48619687470098216
external_lung,139,0.0033333333333333335,0.0016666666666666668,0.008469785575048731,0.5082405816946772
external_lung,140,0.0,0.0016666666666666668,0.008810916179337231,0.515844342606794
external_lung,141,0.0,0.0016666666666666668,0.009346978557504873,0.5133993061393982
external_lung,142,0.0,0.0033333333333333335,0.0096588693957115,0.48903562759129393
external_lung,143,0.0016666666666666668,0.0,0.009736842105263157,0.49061293187457555
external_lung,144,0.006666666666666667,0.0016666666666666668,0.008440545808966861,0.5191846325065657
external_lung,145,0.0,0.0,0.01131578947368421,0.518272308932863
external_lung,146,0.0016666666666666668,0.0016666666666666668,0.009738562091503268,0.5103143716190669
external_lung,147,0.0016666666666666668,0.0,0.009541910331384015,0.49309007646494324
external_lung,148,0.0,0.0033333333333333335,0.008031189083820663,0.4750361956670175
external_lung,149,0.0016666666666666668,0.0033333333333333335,0.008011695906432748,0.4941081304038029
external_lung,150,0.0,0.0016666666666666668,0.009278752436647175,0.5154064992879313
external_lung,151,0.0,0.0016666666666666668,0.008567251461988303,0.4851751048129902
external_lung,152,0.0,0.0033333333333333335,0.009922027290448342,0.5028183732317888
external_lung,153,0.0033333333333333335,0.0033333333333333335,0.008450292397660819,0.523374539338431
external_lung,154,0.0033333333333333335,0.0016666666666666668,0.01016569200779727,0.5105490570314584
external_lung,155,0.008333333333333333,0.005,0.00820662768031189,0.5182734121052617
external_lung,156,0.0033333333333333335,0.0,0.008723196881091617,0.49301343501408806
external_lung,157,0.0016666666666666668,0.0016666666666666668,0.009191033138401559,0.5328199594775748
external_lung,158,0.0016666666666666668,0.0016666666666666668,0.009561403508771929,0.5071871101156495
external_lung,159,0.0016666666666666668,0.0033333333333333335,0.00919103313840156,0.48078343355557807
external_lung,160,0.0,0.0,0.010557275541795665,0.519575503905927
external_lung,161,0.0016666666666666668,0.0016666666666666668,0.010799220272904482,0.4878705033531796
external_lung,162,0.0033333333333333335,0.0016666666666666668,0.008851622520353172,0.48907011624417873
external_lung,163,0.0,0.0033333333333333335,0.009424951267056529,0.5220952657879067
external_lung,164,0.0016666666666666668,0.0016666666666666668,0.008898635477582845,0.5115296611704683
external_lung,165,0.0,0.0016666666666666668,0.009748308680197226,0.5196963303144343
external_lung,166,0.0016666666666666668,0.0,0.008304093567251461,0.4813469804661844
external_lung,167,0.0033333333333333335,0.0016666666666666668,0.008898635477582845,0.491430614868813
external_lung,168,0.0,0.0016666666666666668,0.008499025341130605,0.4852084902934764
external_lung,169,0.0,0.0,0.009746588693957114,0.49316625342215686
external_lung,170,0.0016666666666666668,0.0016666666666666668,0.00871345029239766,0.49795024762156037
external_lung,171,0.0016666666666666668,0.0016666666666666668,0.009259259259259259,0.5063795298581157
external_lung,172,0.0033333333333333335,0.0,0.0077582846003898635,0.4877955456917751
external_lung,173,0.0033333333333333335,0.0,0.009444444444444443,0.4977905779322787
external_lung,174,0.0,0.0016666666666666668,0.006695906432748539,0.5030005128009802
external_lung,175,0.0016666666666666668,0.0,0.01,0.4915811108086741
external_lung,176,0.0,0.0033333333333333335,0.00975633528265107,0.5125900420924138
external_lung,177,0.0016666666666666668,0.0,0.00939743148721477,0.4960093609403581
external_lung,178,0.0,0.0016666666666666668,0.009298245614035087,0.5105865068313079
external_lung,179,0.0033333333333333335,0.0,0.007340901272789817,0.48863639530638464
external_lung,180,0.0,0.0016666666666666668,0.010019493177387912,0.507792461453995
external_lung,181,0.0,0.0,0.008596491228070175,0.4917586635031553
external_lung,182,0.0,0.0016666666666666668,0.009307992202729045,0.5152248822740866
external_lung,183,0.0,0.0016666666666666668,0.008567251461988303,0.5291562078181712
external_lung,184,0.0016666666666666668,0.0016666666666666668,0.01043859649122807,0.5073348771553666
external_lung,185,0.0016666666666666668,0.0016666666666666668,0.008333333333333333,0.4853721081787111
external_lung,186,0.0016666666666666668,0.0,0.008888888888888889,0.5056869698385699
external_lung,187,0.0033333333333333335,0.0,0.010077972709551656,0.5045244003154841
external_lung,188,0.0033333333333333335,0.0033333333333333335,0.00871345029239766,0.4933283617030566
external_lung,189,0.0016666666666666668,0.0016666666666666668,0.008918128654970759,0.4966141316616517
external_lung,190,0.0033333333333333335,0.0016666666666666668,0.008401559454191031,0.4953397933560687
external_lung,191,0.0,0.0016666666666666668,0.010653021442495124,0.5008768478718295
external_lung,192,0.0016666666666666668,0.0016666666666666668,0.008323586744639375,0.493610483528591
external_lung,193,0.0016666666666666668,0.0,0.00817910790047013,0.49906056160997214
external_lung,194,0.005,0.0033333333333333335,0.00847953216374269,0.5092453975647527
external_lung,195,0.0033333333333333335,0.0033333333333333335,0.008391812865497075,0.4583040895878176
external_lung,196,0.0033333333333333335,0.0033333333333333335,0.009288499025341129,0.4942474784962668
external_lung,197,0.0033333333333333335,0.0,0.009914000687994496,0.5224742925994086
external_lung,198,0.0033333333333333335,0.0016666666666666668,0.008460038986354777,0.5000794284127045
external_lung,199,0.0033333333333333335,0.0,0.010146198830409356,0.470294818759226
external_lung,200,0.0016666666666666668,0.0016666666666666668,0.009912280701754386,0.5119802200027683
external_lung,201,0.0,0.0,0.009532163742690057,0.5039128944363881
external_lung,202,0.0,0.0,0.00820662768031189,0.5064607581836812
external_lung,203,0.0,0.0016666666666666668,0.008216374269005847,0.4738780388335264
external_lung,204,0.0016666666666666668,0.0,0.009465657608072468,0.5042945340246238
external_lung,205,0.0033333333333333335,0.0016666666666666668,0.007241715399610137,0.4975732529697401
external_lung,206,0.0033333333333333335,0.0016666666666666668,0.008763903222107556,0.4724893770304178
external_lung,207,0.0016666666666666668,0.0016666666666666668,0.007680311890838206,0.5109072977525011
external_lung,208,0.0016666666666666668,0.0,0.009074074074074075,0.47964228880170856
external_lung,209,0.0016666666666666668,0.0016666666666666668,0.010547528953101707,0.5021457283771242
external_lung,210,0.0016666666666666668,0.0016666666666666668,0.007134502923976607,0.49003504372278656
external_lung,211,0.0,0.0033333333333333335,0.0069510377250315315,0.4930252215402423
external_lung,212,0.0033333333333333335,0.0033333333333333335,0.0097953216374269,0.4936201217716531
external_lung,213,0.0033333333333333335,0.0,0.008489278752436645,0.49219801642635314
external_lung,214,0.0016666666666666668,0.0,0.010089439284485724,0.49259695840273643
external_lung,215,0.0016666666666666668,0.0,0.006881091617933723,0.5142346979537197
external_lung,216,0.0016666666666666668,0.0,0.006539961013645224,0.47965494625344063
external_lung,217,0.0,0.0016666666666666668,0.009005847953216375,0.47453552958313555
external_lung,218,0.0,0.0,0.006210296984290792,0.5453324311318503
external_lung,219,0.005,0.0033333333333333335,0.008752436647173489,0.5116102508172766
external_lung,220,0.0016666666666666668,0.0033333333333333335,0.00831384015594542,0.5058825797233661
external_lung,221,0.0,0.0,0.008187134502923975,0.47603073461527384
external_lung,222,0.0,0.0016666666666666668,0.008450292397660819,0.5150799021962188
external_lung,223,0.0033333333333333335,0.0016666666666666668,0.00719470244238046,0.48367653220195067
external_lung,224,0.0,0.0,0.007855750487329434,0.5146014737454259
external_lung,225,0.0033333333333333335,0.0016666666666666668,0.009933493865382411,0.5016786219588439
external_lung,226,0.0,0.008333333333333333,0.007446393762183234,0.5026829152735728
