domain,seed_tag,split_regime,layer,n_edges,n_positive,n_unique_genes,pca_dim,mean_gene_reconstruction_error,std_gene_reconstruction_error,mean_edge_reconstruction_error,mean_edge_absdiff_reconstruction_error,positive_edge_recon_mean,negative_edge_recon_mean,delta_edge_recon_pos_minus_neg,auc_edge_recon_mean,auc_edge_recon_absdiff,p_auc_edge_recon_upper,p_auc_edge_recon_two_sided,p_delta_pos_minus_neg_upper,p_delta_pos_minus_neg_two_sided
immune,seed42_main,source_disjoint,11,1527,364,340,32,0.07005597352732294,0.05693217791178339,0.0664209820530613,0.054770223432724696,0.06516074487998946,0.06681541569966332,-0.0016546708196738535,0.4809322234085778,0.47714323509680345,0.8079800498753117,0.8079800498753117,0.7556109725685786,0.40399002493765584
immune,seed43,source_disjoint,11,1527,364,340,32,0.06259174013406442,0.05311882869027466,0.05604089718160121,0.0485186071544211,0.053755173393127374,0.05675629138538838,-0.003001117992261007,0.47973576294728487,0.4464710912475315,0.85785536159601,0.85785536159601,0.9451371571072319,0.11471321695760599
immune,seed44,source_disjoint,11,1527,364,340,32,0.05521227301078341,0.046553477071937716,0.05262820314858064,0.0462299188562879,0.05082959412772548,0.05319113838812602,-0.0023615442604005416,0.4859082233329869,0.47068612814528554,0.800498753117207,0.800498753117207,0.912718204488778,0.18952618453865336
immune,seed42_main,target_disjoint,0,1465,357,227,32,0.20353149133118606,0.15297748081581886,0.2162108530752611,0.1712752483363086,0.22039557102400933,0.2148625278878034,0.005533043136205923,0.5132067267340149,0.4427438845574331,0.22443890274314215,0.22443890274314215,0.18952618453865336,0.3740648379052369
immune,seed43,target_disjoint,0,1465,357,227,32,0.19081975544140717,0.15218752906333338,0.194643057280141,0.16486823539983408,0.19179799969024575,0.19555974099818488,-0.0037617413079391315,0.49074214523354465,0.43484614062231386,0.6658354114713217,0.6658354114713217,0.6957605985037406,0.5411471321695761
immune,seed44,target_disjoint,0,1465,357,227,32,0.19778143100045964,0.1606750126000484,0.20265982491591664,0.17453394230007502,0.20505329138497078,0.20188864483518348,0.003164646549787292,0.509696477869126,0.4116875992274166,0.26184538653366585,0.26184538653366585,0.28428927680798005,0.6059850374064838
immune,seed42_main,target_disjoint,1,1465,357,227,32,0.19350200131284784,0.15096331885067535,0.2016326768279209,0.1670580157669899,0.19765514381810467,0.20291424657927865,-0.005259102761173973,0.48065254982859573,0.4425745027252778,0.8653366583541147,0.8653366583541147,0.8154613466334164,0.4114713216957606
immune,seed43,target_disjoint,1,1465,357,227,32,0.17882633828683853,0.14554633822262697,0.18183835146938027,0.15820017080491092,0.17309974204769116,0.18465395035344434,-0.011554208305753183,0.46451577020699975,0.4286801363144536,0.9850374064837906,0.9850374064837906,0.972568578553616,0.057356608478802994
immune,seed44,target_disjoint,1,1465,357,227,32,0.18652462256660218,0.15429613644904575,0.18865383680360123,0.1665049360844208,0.18853498670136978,0.1886921305639773,-0.00015714386260751168,0.5001049156124544,0.40751119942561864,0.5087281795511222,0.5087281795511222,0.513715710723192,0.9850374064837906
immune,seed42_main,target_disjoint,2,1465,357,227,32,0.18299162606873332,0.14239069880903893,0.19032636673308131,0.1569538402598997,0.19245156268806182,0.18964162399307405,0.0028099386949877736,0.5038679731820526,0.45161241391863605,0.42144638403990026,0.42144638403990026,0.341645885286783,0.655860349127182
immune,seed43,target_disjoint,2,1465,357,227,32,0.1668650328711906,0.136790181181416,0.17053315729232138,0.14933001600117066,0.1659723103339344,0.17200267206140452,-0.006030361727470124,0.4806171566099363,0.4423419187169452,0.8403990024937655,0.8403990024937655,0.8229426433915212,0.3092269326683292
immune,seed44,target_disjoint,2,1465,357,227,32,0.1749044957059858,0.14174930843106004,0.17840692412237202,0.1526646254362774,0.18407784609233996,0.1765797407800629,0.00749810531227707,0.5253048872978794,0.41307551901627076,0.08229426433915212,0.08229426433915212,0.10224438902743142,0.18453865336658354
immune,seed42_main,target_disjoint,3,1465,357,227,32,0.17287919944469352,0.13624772431063323,0.18154609701260338,0.14949375106607574,0.18395625576971134,0.18076953864050269,0.0031867171292086494,0.507647463317457,0.4552376907441677,0.32917705735660846,0.32917705735660846,0.29925187032418954,0.600997506234414
immune,seed43,target_disjoint,3,1465,357,227,32,0.1587250977761125,0.13034657989337003,0.16302134755974218,0.14324359679512938,0.15755994397030715,0.1647810236260132,-0.007221079655706064,0.47492643266692947,0.43481580357774885,0.9102244389027432,0.9102244389027432,0.885286783042394,0.17955112219451372
immune,seed44,target_disjoint,3,1465,357,227,32,0.16525168363626974,0.1374087742113793,0.170026391655989,0.14918641839423505,0.1763306700558817,0.1679951395000669,0.008335530555814818,0.5230220246943542,0.4228137103216738,0.09975062344139651,0.09975062344139651,0.0798004987531172,0.1546134663341646
immune,seed42_main,target_disjoint,4,1465,357,227,32,0.15776473684079972,0.12951671603034812,0.16430821322228606,0.14091222461366112,0.16461096064015257,0.16421066734847892,0.00040029329167365346,0.4944837140632426,0.46330987268553636,0.6508728179551122,0.6508728179551122,0.4713216957605985,0.940149625935162
