domain,split_regime,layer,n_seed_runs,mean_h1_observed_euclidean,mean_h1_observed_geodesic,mean_h1_rewire_null,mean_h1_delta_euclidean_vs_rewire,mean_h1_delta_geodesic_vs_rewire,mean_h1_delta_shift_geodesic_minus_euclidean,frac_seeds_geo_delta_positive,frac_seeds_euclid_delta_positive,fisher_stat_euclidean_vs_rewire,fisher_p_euclidean_vs_rewire,fisher_stat_geodesic_vs_rewire,fisher_p_geodesic_vs_rewire,mean_distortion_observed,mean_distortion_rewire_null,mean_distortion_delta_observed_minus_null,fisher_stat_distortion_lower,fisher_p_distortion_lower,mean_knn_k,bridged_runs
immune,target_disjoint,2,3,2.105942726135254,2.105943259995326,75.12578704622057,-73.01984432008531,-73.01984378622524,5.33860072001365e-07,0.0,0.0,-0.0,1.0,-0.0,1.0,1.4199826559987818,1.4850934457091534,-0.06511078971037161,7.783640596221254,0.25438679417354215,29.333333333333332,1
immune,target_disjoint,3,3,2.158295154571533,2.158295628655663,61.964561515384254,-59.80626636081272,-59.80626588672859,4.7408412958323726e-07,0.0,0.0,0.6729444732424258,0.9950564425926097,0.6729444732424258,0.9950564425926097,1.4272209379262952,1.3321928732256743,0.09502806470062104,4.200121657765144,0.6496149271084957,28.333333333333332,2
immune,target_disjoint,4,3,3.1443139712015786,3.14431410470277,83.79158505772466,-80.64727108652308,-80.64727095302189,1.3350119113889983e-07,0.0,0.0,0.3083013596545167,0.9994559107481668,0.3083013596545167,0.9994559107481668,1.41679375479099,1.3908827666336958,0.02591098815729409,3.891820298110627,0.6913133290219355,29.666666666666668,2
immune,target_disjoint,5,3,3.308087189992269,3.308087432061941,115.48076369357675,-112.17267650358447,-112.17267626151481,2.420696697906048e-07,0.0,0.0,-0.0,1.0,-0.0,1.0,1.427077281911175,1.3432765614000226,0.08380072051115268,-0.0,1.0,30.0,3
immune,target_disjoint,6,3,2.8928209940592446,2.892822708031055,113.83334273762175,-110.9405217435625,-110.94052002959067,1.7139718077411696e-06,0.0,0.0,-0.0,1.0,-0.0,1.0,1.4123084074655718,1.2970702545080075,0.11523815295756427,-0.0,1.0,30.0,3
immune,target_disjoint,7,3,5.2518259684244795,5.270261243959102,129.70064330101013,-124.44881733258565,-124.43038205705102,0.018435275534623468,0.0,0.0,-0.0,1.0,-0.0,1.0,1.4759199637589748,1.282151711773689,0.1937682519852859,-0.0,1.0,29.333333333333332,2
immune,target_disjoint,8,3,4.1151933670043945,4.115194743801422,118.90718751483494,-114.79199414783055,-114.7919927710335,1.3767970325299454e-06,0.0,0.0,-0.0,1.0,-0.0,1.0,1.4301683576667814,1.3807005999220798,0.049467757744701656,1.1192315758708455,0.9806861159935513,30.0,3
immune,target_disjoint,9,3,2.828329086303711,2.828329844946971,73.91840285725063,-71.09007377094692,-71.09007301230366,7.58643260212466e-07,0.0,0.0,1.1192315758708455,0.9806861159935513,1.1192315758708455,0.9806861159935513,1.3124448859968314,1.4418023881076882,-0.12935750211085706,8.091941955875772,0.2314445169987586,29.333333333333332,2
immune,target_disjoint,10,3,5.379312356313069,5.379314053144594,86.75799873140124,-81.37868637508817,-81.37868467825665,1.6968315226980242e-06,0.0,0.0,0.6729444732424258,0.9950564425926097,0.6729444732424258,0.9950564425926097,1.421206637117819,1.5013549685440495,-0.08014833142623057,11.67546089433188,0.06961305782521882,29.666666666666668,2
immune,target_disjoint,11,3,2.1293907960255942,2.1293911416723055,54.43010522259606,-52.300714426570465,-52.30071408092376,3.4564671125281166e-07,0.0,0.0,-0.0,1.0,-0.0,1.0,1.3537394971808168,1.3880921557258088,-0.03435265854499211,8.45658506946368,0.206523635777935,30.0,3
