domain,seed_tag,split_regime,layer,n_genes_pool,n_points,pca_dim,knn_k,used_component_bridging,n_null_draws,rewire_attempts,h1_observed_euclidean,h1_observed_geodesic,h1_rewire_null_mean,h1_rewire_null_std,h1_delta_euclidean_vs_rewire,h1_z_euclidean_vs_rewire,h1_delta_geodesic_vs_rewire,h1_z_geodesic_vs_rewire,h1_delta_shift_geodesic_minus_euclidean,h1_p_perm_euclidean_vs_rewire,h1_p_perm_geodesic_vs_rewire,distortion_observed,distortion_rewire_null_mean,distortion_rewire_null_std,distortion_delta_observed_minus_null,distortion_z_observed_minus_null,distortion_p_lower
immune,seed43,source_disjoint,3,2470,160,14,30,True,6,6,19.83331298828125,19.975961208343506,164.54915850779764,10.728539137982875,-144.7158455195164,-13.488867742830108,-144.57319729945414,-13.475571597081435,0.14264822006225586,1.0,1.0,1.338130987515727,1.2791852631777714,0.004231007356518063,0.05894572433795564,13.931838316307516,1.0
immune,seed44,source_disjoint,3,2470,160,14,30,True,6,6,19.83386754989624,19.83386754989624,145.78647669156393,20.154646202992737,-125.9526091416677,-6.249308862425769,-125.9526091416677,-6.249308862425769,0.0,1.0,1.0,1.3544416883861847,1.1916574368764956,0.0036791879601768738,0.16278425150968912,44.244602077155456,1.0
immune,seed42_main,source_disjoint,4,2470,160,14,30,True,6,6,23.76775097846985,24.43056035041809,150.17552626132965,5.4890028452365875,-126.4077752828598,-23.02927850903347,-125.74496591091156,-22.90852627214901,0.6628093719482422,1.0,1.0,1.2803958504341506,1.2038212823658183,0.005752952772244306,0.0765745680683323,13.310478599319511,1.0
immune,seed43,source_disjoint,4,2470,160,14,30,True,6,6,23.866968154907227,24.03731632232666,131.7668014588495,22.006558860232435,-107.89983330394227,-4.903076123092675,-107.72948513652284,-4.895335332335992,0.1703481674194336,1.0,1.0,1.3081249461184168,1.2701338629959746,0.006665416010701561,0.03799108312244215,5.699730873769208,1.0
immune,seed44,source_disjoint,4,2470,160,14,30,True,6,6,22.692564249038696,22.692564249038696,115.12515029281936,16.579690864977014,-92.43258604378066,-5.5750488227413495,-92.43258604378066,-5.5750488227413495,0.0,1.0,1.0,1.364807521818756,1.2720240386287882,0.003974771967810218,0.09278348318996787,23.343090018317238,1.0
immune,seed42_main,source_disjoint,5,2470,160,14,30,True,6,6,12.632381677627563,12.68217921257019,135.49147277894988,6.780709327132861,-122.85909110132232,-18.118914284024154,-122.8092935663797,-18.11157028319285,0.04979753494262695,1.0,1.0,1.413760818573162,1.2734430270186001,0.0022287540971743197,0.14031779155456192,62.957922892677125,1.0
immune,seed43,source_disjoint,5,2470,160,14,30,True,6,6,15.10011100769043,15.797006607055664,122.55799194176991,15.713725085323777,-107.45788093407948,-6.838472758289756,-106.76098533471425,-6.794123274285369,0.6968955993652344,1.0,1.0,1.373164404980276,1.1811254876690647,0.002935040756360957,0.19203891731121137,65.42970535087477,1.0
immune,seed44,source_disjoint,5,2470,160,14,30,True,6,6,22.41533851623535,22.4778413772583,125.42896115779877,12.481303785055722,-103.01362264156342,-8.253434449424393,-102.95111978054047,-8.248426730511826,0.06250286102294922,1.0,1.0,1.335781972765221,1.2695595262604378,0.0033583416034451445,0.06622244650478315,19.71878820131367,1.0
immune,seed42_main,source_disjoint,6,2470,160,14,30,True,6,6,19.960877656936646,19.960877656936646,124.11469050248463,6.197222761129848,-104.15381284554799,-16.80653041585238,-104.15381284554799,-16.80653041585238,0.0,1.0,1.0,1.336638431367336,1.1941900261997975,0.005878729905197292,0.14244840516753854,24.23114911444614,1.0
immune,seed43,source_disjoint,6,2470,160,14,30,True,6,6,18.31896471977234,19.616032361984253,171.99346375465393,13.46557872722889,-153.6744990348816,-11.412394679533703,-152.37743139266968,-11.316069993577743,1.297067642211914,1.0,1.0,1.3264054898097979,1.1895934388212681,0.004209180690785752,0.13681205098852978,32.50324196934114,1.0
