domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,n_nodes_graph,n_knn_edges,auc_directed_signed,auc_distance_only,delta_auc_directed_minus_distance,null_degree_mean_delta,null_sign_mean_delta,null_label_mean_delta,p_degree_upper,p_sign_upper,p_label_upper,p_best_upper
external_lung,seed43,source_disjoint,7,825,386,180,1336,0.5353016157777332,0.5293737533489914,0.00592786242874177,-0.030427874231354728,-0.026078611304542768,0.0008236010952825321,0.058823529411764705,0.058823529411764705,0.4117647058823529,0.058823529411764705
external_lung,seed43,source_disjoint,11,825,386,180,1352,0.5304005806885644,0.5221239982532132,0.008276582435351232,-0.0233730466675321,-0.015629610395741542,-0.0025427254594167295,0.058823529411764705,0.058823529411764705,0.23529411764705882,0.058823529411764705
external_lung,seed43,target_disjoint,0,1125,735,180,1380,0.5117931275074132,0.5140380254665969,-0.0022448979591837004,-0.013635531135531176,-0.010339045874760196,-0.010007849293563565,0.23529411764705882,0.23529411764705882,0.29411764705882354,0.23529411764705882
external_lung,seed43,target_disjoint,3,1125,735,180,1370,0.5179661608233037,0.49997383568812137,0.01799232513518234,-0.002697867608581841,0.011010378510378501,-0.0051817329495900885,0.17647058823529413,0.17647058823529413,0.058823529411764705,0.058823529411764705
external_lung,seed43,target_disjoint,7,1125,735,180,1299,0.5251944880516308,0.509333682190825,0.01586080586080585,-0.006977258852258802,0.002110151753009,-0.004151513169370295,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.058823529411764705
external_lung,seed43,target_disjoint,11,1125,735,180,1332,0.5375248560962846,0.5145717774289202,0.0229530786673644,-0.01319357230071512,0.0010084161869876387,0.0007187554508982959,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
external_lung,seed44,source_disjoint,0,810,362,180,1367,0.5071989690213101,0.5119191495659038,-0.004720180544593666,-0.009928449647296854,-0.02233722930643263,-0.014654603640489355,0.35294117647058826,0.11764705882352941,0.23529411764705882,0.11764705882352941
external_lung,seed44,source_disjoint,3,810,362,180,1373,0.5174594267955802,0.5106211769928967,0.006838249802683549,-0.006565012702249479,-0.01562191692975539,-0.003774256055149975,0.23529411764705882,0.058823529411764705,0.23529411764705882,0.058823529411764705
external_lung,seed44,source_disjoint,7,810,362,180,1308,0.521553744080505,0.5251701854775058,-0.0036164413970007914,-0.02653637097967635,-0.01754941390834643,-0.005511373446132582,0.11764705882352941,0.058823529411764705,0.47058823529411764,0.058823529411764705
external_lung,seed44,source_disjoint,11,810,362,180,1321,0.5135932567087608,0.5169908001183898,-0.0033975434096290558,-0.014992585216061512,-0.014397359966949418,-0.008066275219514644,0.23529411764705882,0.23529411764705882,0.4117647058823529,0.23529411764705882
external_lung,seed44,target_disjoint,0,1118,723,180,1371,0.4992576640930021,0.4872752420470262,0.011982422045975882,0.014701074111035318,-0.0003176593658629871,-0.007150016632526193,0.6470588235294118,0.058823529411764705,0.11764705882352941,0.058823529411764705
external_lung,seed44,target_disjoint,3,1118,723,180,1348,0.5041913966069647,0.4887283996008193,0.01546299700614534,0.008954755151706194,0.008946438888597114,-0.005074014741670598,0.29411764705882354,0.11764705882352941,0.058823529411764705,0.058823529411764705
external_lung,seed44,target_disjoint,7,1118,723,180,1299,0.5047183850692438,0.49503825481030167,0.009680130258942155,0.002654857573051804,-0.0025722420645342067,-0.0009696106238072308,0.35294117647058826,0.11764705882352941,0.17647058823529413,0.11764705882352941
external_lung,seed44,target_disjoint,11,1118,723,180,1347,0.5123395836616069,0.5000630285204055,0.012276555141201406,0.0007748349878319294,0.002767674247596996,-0.0005034621916417369,0.29411764705882354,0.11764705882352941,0.17647058823529413,0.11764705882352941
immune,seed42_main,source_disjoint,0,1003,248,180,1293,0.5562166203802608,0.5464030121768854,0.009813608203375401,-0.04710531937620176,-0.04614181665242481,-0.009283372943815392,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.058823529411764705
immune,seed42_main,source_disjoint,3,1003,248,180,1303,0.5499599444563128,0.5444643238624226,0.005495620593890194,-0.046917559015167754,-0.03468793393505668,-0.005411503952146939,0.058823529411764705,0.058823529411764705,0.4117647058823529,0.058823529411764705
immune,seed42_main,source_disjoint,7,1003,248,180,1286,0.5459116641743217,0.5244552446058535,0.02145641956846822,-0.02758842261268962,-0.01421137310403765,0.0005324049348430192,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705
immune,seed42_main,source_disjoint,11,1003,248,180,1313,0.5394894253364667,0.5262337107455672,0.01325571459089947,-0.022926291123691555,-0.034012664227729195,-0.0012390514847254314,0.11764705882352941,0.058823529411764705,0.29411764705882354,0.058823529411764705
immune,seed42_main,target_disjoint,0,1189,292,180,1370,0.5523033399001237,0.5316274949985492,0.02067584490157448,-0.03580010327423225,-0.024048006291901493,-0.0056018157938944185,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
immune,seed42_main,target_disjoint,3,1189,292,180,1371,0.567214153723981,0.5459675325666988,0.021246621157282153,-0.04608350132099399,-0.01713080416456693,-0.0027068920755639082,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705
immune,seed42_main,target_disjoint,7,1189,292,180,1345,0.5434629892640614,0.5309211832439944,0.012541806020067048,-0.03593062777752322,-0.023007508857531136,-0.01563239718391592,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
immune,seed42_main,target_disjoint,11,1189,292,180,1367,0.5281188436340313,0.5203303248270491,0.00778851880698217,-0.021787689367908272,-0.02697239943647781,-0.0026092969716406712,0.23529411764705882,0.058823529411764705,0.23529411764705882,0.058823529411764705
immune,seed43,source_disjoint,0,970,243,180,1314,0.5708588766054761,0.5561725564782266,0.014686320127249464,-0.05925897623131303,-0.031528782526986675,0.003435074804286155,0.058823529411764705,0.058823529411764705,0.29411764705882354,0.058823529411764705
immune,seed43,source_disjoint,3,970,243,180,1307,0.5811780755231771,0.5456778802338944,0.03550019528928272,-0.046190160816479156,-0.009035844074244029,-0.0009012671161150489,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705
immune,seed43,source_disjoint,7,970,243,180,1302,0.5652973774630505,0.5320076304334289,0.03328974702962162,-0.022631268361437952,-0.00809123830387002,-0.004788832849355558,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
immune,seed43,source_disjoint,11,970,243,180,1290,0.5491761056486717,0.5295990626114423,0.019577043037229402,-0.019753404826192585,-0.024487931688374952,-0.0007236670798874585,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.058823529411764705
immune,seed43,target_disjoint,0,1162,289,180,1373,0.570849039029398,0.5160287280467069,0.054820310982691134,-0.01991737416616129,0.006782680729457757,0.013142496739953331,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
immune,seed43,target_disjoint,3,1162,289,180,1358,0.5503434444325539,0.5231889400191044,0.027154504413449465,-0.02595750246733012,-0.002382980178123363,-0.005793519146085831,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
immune,seed43,target_disjoint,7,1162,289,180,1356,0.5487798110956531,0.5238686944355264,0.024911116660126686,-0.028527018751709304,-0.007605000257632895,-0.005715238389675661,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705
immune,seed43,target_disjoint,11,1162,289,180,1378,0.5468911639853031,0.5248060817211462,0.022085082264156952,-0.03168190664177546,0.004400443723072321,0.009387002223569835,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
immune,seed44,source_disjoint,0,995,252,180,1316,0.5571444593988334,0.5493922108996133,0.007752248499220071,-0.04058881571919931,-0.03402640918413127,0.00861396179153583,0.058823529411764705,0.058823529411764705,0.5294117647058824,0.058823529411764705
immune,seed44,source_disjoint,3,995,252,180,1310,0.5712656754043025,0.5483026768356513,0.02296299856865125,-0.049783762203849696,-0.02163830005981755,0.0025557651840457593,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
immune,seed44,source_disjoint,7,995,252,180,1320,0.5501746459014292,0.5368598987374223,0.013314747164006824,-0.033328927129398264,-0.022987700014954426,-0.003973761723172882,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705
immune,seed44,source_disjoint,11,995,252,180,1344,0.5490877822640946,0.5416960413595675,0.0073917409045271,-0.0357379857506034,-0.033211094554465914,-0.004465287124270929,0.058823529411764705,0.058823529411764705,0.29411764705882354,0.058823529411764705
immune,seed44,target_disjoint,0,1183,289,180,1399,0.5503026714041321,0.5233776890148084,0.026924982389323726,-0.023228554647283253,-0.01274016317936567,-0.005658518342196734,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
immune,seed44,target_disjoint,3,1183,289,180,1388,0.573955164379214,0.5314824706037172,0.042472693775496784,-0.028710603368864364,-0.012728067934635386,0.0010329338999713646,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
immune,seed44,target_disjoint,7,1183,289,180,1378,0.5386467259623944,0.5159521763699558,0.02269454959243855,-0.013723264671048067,-0.009834280632900615,-0.016629268169960434,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
immune,seed44,target_disjoint,11,1183,289,180,1401,0.5437267287491389,0.516163117438053,0.027563611311085867,-0.019185235286376674,-0.015424218937476277,-0.0051623714033580195,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
lung,seed42_main,source_disjoint,0,734,353,179,1417,0.5304328106295493,0.5138297160447013,0.01660309458484799,-0.0013818098339691345,-0.006186660272281923,-0.0022389641096562697,0.23529411764705882,0.058823529411764705,0.17647058823529413,0.058823529411764705
lung,seed42_main,source_disjoint,3,734,353,179,1402,0.5288081907608575,0.5226145598655692,0.006193630895288349,-0.02124924717271527,-0.0164118671603726,-0.0008562248592863426,0.11764705882352941,0.058823529411764705,0.35294117647058826,0.058823529411764705
lung,seed42_main,source_disjoint,7,734,353,179,1384,0.513361290178671,0.5169190961611385,-0.0035578059824674657,-0.016206698489884246,-0.014145949975091669,0.0002337482248146762,0.29411764705882354,0.17647058823529413,0.6470588235294118,0.17647058823529413
lung,seed42_main,source_disjoint,11,734,353,179,1360,0.5143836482196099,0.5110972318261917,0.003286416393418201,-0.016392814124155178,-0.008317347371238671,-0.0028958291509595356,0.11764705882352941,0.17647058823529413,0.29411764705882354,0.11764705882352941
lung,seed42_main,target_disjoint,0,942,581,177,1357,0.5352792253302883,0.5100767136611344,0.025202511669153882,-0.010436830424189782,-0.0034661797168888987,-0.008630584864189668,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
lung,seed42_main,target_disjoint,3,942,581,177,1330,0.5436609914132191,0.5049584964313129,0.038702494981906255,-0.010081481446164511,0.0021770898393733487,0.006152528594790704,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
lung,seed42_main,target_disjoint,7,942,581,177,1319,0.5331957032721307,0.5093806170467385,0.02381508622539219,-0.007833917784314859,6.0640265851723274e-05,0.0025057690198864342,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705
lung,seed42_main,target_disjoint,11,942,581,177,1298,0.5333625757481846,0.506062238665783,0.027300337082401538,-0.009019457330707897,0.00281358914089282,0.007727536580830616,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
lung,seed43,source_disjoint,0,799,391,179,1375,0.5191471089714659,0.5239957875733414,-0.0048486786018755446,-0.031239617810039668,-0.014018307131036613,0.0003935437666115031,0.11764705882352941,0.11764705882352941,0.5882352941176471,0.11764705882352941
lung,seed43,source_disjoint,3,799,391,179,1382,0.5051934456647109,0.5168246326663659,-0.011631187001654997,-0.02024977590140929,-0.014191474223960814,-0.009712832543503316,0.35294117647058826,0.4117647058823529,0.5882352941176471,0.35294117647058826
lung,seed43,source_disjoint,7,799,391,179,1332,0.5118975979138459,0.5220525550373603,-0.01015495712351433,-0.021296809964394984,-0.01452840567173165,0.002280947545258521,0.17647058823529413,0.4117647058823529,0.8823529411764706,0.17647058823529413
lung,seed43,source_disjoint,11,799,391,179,1357,0.5050524045935509,0.5224349330525049,-0.01738252845895394,-0.017932000965347736,-0.014853583696905863,0.006846564552931159,0.5294117647058824,0.5882352941176471,0.9411764705882353,0.5294117647058824
lung,seed43,target_disjoint,0,922,593,180,1393,0.5537450601495665,0.49957713342593685,0.054167926723629634,-0.0026520461616529253,0.023575612387684054,0.005332763958441147,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
lung,seed43,target_disjoint,3,922,593,180,1364,0.550946452277585,0.4991722066459248,0.051774245631660165,-0.0048246833626349565,0.024523378114476392,0.0026100798577117813,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
lung,seed43,target_disjoint,7,922,593,180,1340,0.5321634879060159,0.49420544652147397,0.037958041384541896,0.0010602097930772492,0.007889184610732045,0.008812763650901851,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
lung,seed43,target_disjoint,11,922,593,180,1366,0.5244596277749017,0.4978062194703147,0.026653408304587012,0.00013134492073176712,0.008407356340692108,-0.008807798172191302,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
lung,seed44,source_disjoint,0,799,385,178,1393,0.5096461509504988,0.5175293305728089,-0.00788317962231011,-0.017314056716230743,-0.005013449714536801,-0.008195111048371916,0.29411764705882354,0.6470588235294118,0.4117647058823529,0.29411764705882354
lung,seed44,source_disjoint,3,799,385,178,1394,0.512497647280256,0.5105841018884496,0.0019135453918064371,-0.008326667294058496,0.0015596571303093873,0.009222661396574395,0.35294117647058826,0.5294117647058824,0.6470588235294118,0.35294117647058826
lung,seed44,source_disjoint,7,799,385,178,1336,0.5074941966246314,0.5189346884999059,-0.011440491875274517,-0.01759579490557754,-0.015307382834556765,0.006152362130623007,0.35294117647058826,0.35294117647058826,0.8235294117647058,0.35294117647058826
lung,seed44,source_disjoint,11,799,385,178,1349,0.5185613903005208,0.5227366836062488,-0.004175293305727967,-0.025017253278122834,-0.009268735491561594,0.00486013081121776,0.11764705882352941,0.4117647058823529,0.7058823529411765,0.11764705882352941
lung,seed44,target_disjoint,0,914,565,180,1404,0.556457134163349,0.51364961837868,0.042807515784669015,-0.010827554073585745,0.0028593072495372157,0.011303471359383328,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
lung,seed44,target_disjoint,3,914,565,180,1362,0.5386084134188706,0.5136521540685144,0.02495625935035617,-0.011986681289144773,-0.0011589687349443864,0.008014523163526618,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
lung,seed44,target_disjoint,7,914,565,180,1334,0.5332073940715572,0.5078733169358725,0.025334077135684696,-0.006857297715343526,-0.005422414230291446,0.011250855795319158,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705
lung,seed44,target_disjoint,11,914,565,180,1358,0.5086137383675229,0.5009863833455892,0.007627355021933679,-0.0035553541090854422,-0.0075756903415574554,0.0007733853994979362,0.23529411764705882,0.11764705882352941,0.29411764705882354,0.11764705882352941
