domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,n_nodes_graph,auc_rupture,auc_local_linearity_baseline,delta_auc_rupture_minus_baseline,null_layer_mean_delta,null_endpoint_mean_delta,null_label_mean_delta,p_layer_upper,p_endpoint_upper,p_label_upper,p_best_upper
external_lung,seed43,target_disjoint,11,1125,735,180,0.5140450026164313,0.4821367521367521,0.03190825047967916,0.019555969823827006,0.04088228240013958,0.04690487092272804,0.4117647058823529,0.7647058823529411,0.7647058823529411,0.4117647058823529
external_lung,seed44,source_disjoint,0,810,362,180,0.4842917571033938,0.4967288624704025,-0.012437105367008705,0.004822692630228928,-0.002164508003650329,-0.016971530929360736,0.6470588235294118,0.8235294117647058,0.47058823529411764,0.47058823529411764
external_lung,seed44,source_disjoint,3,810,362,180,0.4847727160615628,0.47552967146803476,0.009243044593528038,0.017382350039463267,0.013403069813042588,0.009669279054853975,0.4117647058823529,0.5882352941176471,0.47058823529411764,0.4117647058823529
external_lung,seed44,source_disjoint,7,810,362,180,0.5481544741515391,0.4728658987766377,0.07528857537490136,-0.0022344551598263325,0.06459802930149963,0.05623828433307024,0.058823529411764705,0.11764705882352941,0.23529411764705882,0.058823529411764705
external_lung,seed44,source_disjoint,11,810,362,180,0.5413316397000789,0.48651773382004737,0.054813905880031544,0.01313657692876874,0.048485711510951074,0.045120347647000805,0.23529411764705882,0.35294117647058826,0.47058823529411764,0.23529411764705882
external_lung,seed44,target_disjoint,0,1118,723,180,0.40845632648773567,0.5468161843234064,-0.13835985783567073,-0.02743371062905972,-0.13045568744857053,-0.09958123238265318,1.0,0.7647058823529411,0.9411764705882353,0.7647058823529411
external_lung,seed44,target_disjoint,3,1118,723,180,0.440564105257629,0.5028397850027138,-0.062275679745084744,-0.026556454295568792,-0.05509447712589949,-0.058154971374546935,0.8235294117647058,0.7058823529411765,0.5294117647058824,0.5294117647058824
external_lung,seed44,target_disjoint,7,1118,723,180,0.5608400301136264,0.5107148484689322,0.05012518164469415,-0.00599908958803862,0.04320342454960867,0.04735652257646583,0.17647058823529413,0.35294117647058826,0.5882352941176471,0.17647058823529413
external_lung,seed44,target_disjoint,11,1118,723,180,0.5702785510443475,0.5032109529562127,0.0670675980881349,-0.040592993329481575,0.063511082514838,0.05287392545126667,0.17647058823529413,0.47058823529411764,0.29411764705882354,0.17647058823529413
immune,seed42_main,source_disjoint,0,1003,248,180,0.44661664174321714,0.5981067079683828,-0.1514900662251657,-0.12826703028199107,-0.15051771790215765,-0.07489452040162359,0.7058823529411765,0.5882352941176471,1.0,0.5882352941176471
immune,seed42_main,source_disjoint,3,1003,248,180,0.39164441358684043,0.5415696432386241,-0.14992522965178368,-0.05127877323221519,-0.1412577106921597,-0.0943822099978637,1.0,0.6470588235294118,0.9411764705882353,0.6470588235294118
immune,seed42_main,source_disjoint,7,1003,248,180,0.48117656483657345,0.5615119632557146,-0.08033539841914117,-0.08128671758171331,-0.0768929582354198,-0.052286837748344396,0.5294117647058824,0.5882352941176471,0.8235294117647058,0.5294117647058824
immune,seed42_main,source_disjoint,11,1003,248,180,0.5424241615039521,0.5805303353984191,-0.03810617389446702,-0.08957287438581503,-0.0386375774407178,-0.018709944456312744,0.23529411764705882,0.47058823529411764,0.7058823529411765,0.23529411764705882
immune,seed42_main,target_disjoint,0,1189,292,180,0.5256906583589132,0.5925096592904813,-0.06681900093156812,-0.09270508811716383,-0.028780891594508397,0.031108499030253034,0.4117647058823529,1.0,1.0,0.4117647058823529
immune,seed42_main,target_disjoint,3,1189,292,180,0.476437821658191,0.5854809028573174,-0.10904308119912637,-0.08769552427421691,-0.08481503699546429,-0.06064998816450574,0.7647058823529411,0.9411764705882353,1.0,0.7647058823529411
immune,seed42_main,target_disjoint,7,1189,292,180,0.5059960141109634,0.6182766756769139,-0.11228066156595051,-0.13995591278386096,-0.14097696278309738,-0.11065566729280246,0.29411764705882354,0.058823529411764705,0.5882352941176471,0.058823529411764705
immune,seed42_main,target_disjoint,11,1189,292,180,0.547023182297155,0.5745693407247904,-0.027546158427635414,-0.07427643610360257,-0.04132782791954915,-0.0453763544005131,0.058823529411764705,0.17647058823529413,0.11764705882352941,0.058823529411764705
immune,seed43,source_disjoint,0,970,243,180,0.5329840768477478,0.5239894487181664,0.008994628129581406,-0.052334343743101225,0.012024265400965677,0.026048653919087967,0.058823529411764705,0.6470588235294118,0.7058823529411765,0.058823529411764705
immune,seed43,source_disjoint,3,970,243,180,0.4137274214455935,0.545284471388705,-0.13155704994311146,-0.06297796344411051,-0.12533061201963086,-0.10289622497325386,0.9411764705882353,0.7647058823529411,0.8235294117647058,0.7647058823529411
immune,seed43,source_disjoint,7,970,243,180,0.42634480728627144,0.5390974804852231,-0.11275267319895166,-0.05381351854682131,-0.12499150916161464,-0.12443535924737206,0.7647058823529411,0.35294117647058826,0.35294117647058826,0.35294117647058826
immune,seed43,source_disjoint,11,970,243,180,0.49840089210408633,0.5863688080561074,-0.08796791595202103,-0.10901068996552711,-0.10514948120977456,-0.0983630017377916,0.47058823529411764,0.17647058823529413,0.5294117647058824,0.17647058823529413
immune,seed43,target_disjoint,0,1162,289,180,0.45866776061546516,0.5290788237672267,-0.07041106315176154,-0.028989519296701856,-0.059335450877339,-0.09893783417955818,0.8235294117647058,0.8823529411764706,0.11764705882352941,0.11764705882352941
immune,seed43,target_disjoint,3,1162,289,180,0.46862626190561124,0.5278580403254894,-0.0592317784198782,-0.03449035263994425,-0.051081661692370536,-0.062903789977685,0.8823529411764706,0.7058823529411765,0.47058823529411764,0.47058823529411764
immune,seed43,target_disjoint,7,1162,289,180,0.5093639638996896,0.5669389647914957,-0.057575000891806116,-0.06839483822637607,-0.057515671014716795,-0.010359318580878872,0.47058823529411764,0.47058823529411764,0.9411764705882353,0.47058823529411764
immune,seed43,target_disjoint,11,1162,289,180,0.528733992080762,0.5704586261429982,-0.041724634062236254,-0.06740703912452396,-0.032494564937355676,0.002322411681470682,0.23529411764705882,0.8823529411764706,0.9411764705882353,0.23529411764705882
immune,seed44,source_disjoint,0,995,252,180,0.5515472451878912,0.5488981819735521,0.002649063214339109,-0.04921012118396036,0.01446169540045715,0.019456227701937643,0.23529411764705882,0.8823529411764706,0.6470588235294118,0.23529411764705882
immune,seed44,source_disjoint,3,995,252,180,0.48058332799248005,0.5493414727936935,-0.06875814480121345,-0.05981555363284835,-0.06450014954389112,-0.051352304044094056,0.5882352941176471,0.7647058823529411,0.5882352941176471,0.5882352941176471
immune,seed44,source_disjoint,7,995,252,180,0.4500817150547971,0.575565062274349,-0.1254833472195519,-0.10325071033348296,-0.12817647247324238,-0.08881505159264244,0.7647058823529411,0.5294117647058824,0.9411764705882353,0.5294117647058824
immune,seed44,source_disjoint,11,995,252,180,0.4906107799782093,0.5865992650985923,-0.095988485120383,-0.09821478641927847,-0.08288603687325098,-0.04070381096583986,0.5294117647058824,0.8235294117647058,1.0,0.5294117647058824
immune,seed44,target_disjoint,0,1183,289,180,0.4426201589992491,0.6031347003862737,-0.1605145413870246,-0.1026381905900931,-0.13069214312254704,-0.06404625608632715,0.9411764705882353,1.0,1.0,0.9411764705882353
immune,seed44,target_disjoint,3,1183,289,180,0.4708611040152342,0.5666554422795569,-0.09579433826432271,-0.0557285981901643,-0.10483214703173017,-0.0861667653638637,0.7058823529411765,0.23529411764705882,0.5882352941176471,0.23529411764705882
immune,seed44,target_disjoint,7,1183,289,180,0.5159792697181518,0.6089868635966033,-0.09300759387845148,-0.12269331587747612,-0.10092102869572622,-0.06143973084693805,0.35294117647058826,0.23529411764705882,0.8235294117647058,0.23529411764705882
immune,seed44,target_disjoint,11,1183,289,180,0.5447311178715466,0.5827721139778455,-0.03804099610629885,-0.08391571936709946,-0.03251818640997659,0.0037347696678355496,0.35294117647058826,0.7058823529411765,1.0,0.35294117647058826
lung,seed42_main,source_disjoint,0,734,353,179,0.4296394607897809,0.5675834430044686,-0.13794398221468773,-0.05956490300610437,-0.12096517104979437,-0.10486814369521091,0.9411764705882353,0.8823529411764706,0.8235294117647058,0.8235294117647058
lung,seed42_main,source_disjoint,3,734,353,179,0.4409151405649365,0.5626166417583072,-0.12170150119337064,-0.061899132296848194,-0.11523346010573045,-0.06118394637639135,0.8823529411764706,0.7058823529411765,1.0,0.7058823529411765
lung,seed42_main,source_disjoint,7,734,353,179,0.5394778910426565,0.5456343452819106,-0.006156454239254039,-0.03650887035012974,-0.008956321146825486,0.028319317734008462,0.35294117647058826,0.4117647058823529,1.0,0.35294117647058826
lung,seed42_main,source_disjoint,11,734,353,179,0.5450766954413985,0.5397678689597228,0.0053088264816756325,-0.012318020268712888,0.010359275203913942,0.03316297130705689,0.5294117647058824,0.6470588235294118,1.0,0.5294117647058824
lung,seed42_main,target_disjoint,0,942,581,177,0.46069676410430005,0.5730281633061728,-0.11233139920187274,-0.07891175902660896,-0.10967157112820092,-0.09559438784024105,0.6470588235294118,0.5882352941176471,0.5882352941176471,0.5882352941176471
lung,seed42_main,target_disjoint,3,942,581,177,0.438428824121178,0.5693569688329893,-0.13092814471181125,-0.09666713947201548,-0.11631950238627642,-0.09004855989053166,0.7647058823529411,0.8823529411764706,1.0,0.7647058823529411
lung,seed42_main,target_disjoint,7,942,581,177,0.5253360096499969,0.5327928254370867,-0.007456815787089788,-0.04353628403602543,0.003075668324266548,0.0650078549258371,0.35294117647058826,0.8235294117647058,1.0,0.35294117647058826
lung,seed42_main,target_disjoint,11,942,581,177,0.5551751922609314,0.557838000200247,-0.0026628079393156145,-0.07890848117440083,0.007242861433863636,0.039525235886164335,0.4117647058823529,0.8235294117647058,0.9411764705882353,0.4117647058823529
lung,seed43,source_disjoint,0,799,391,179,0.5616756932952209,0.5388458452434681,0.02282984805175281,-0.06905899748006608,0.017099858645504326,0.009906372235594985,0.058823529411764705,0.29411764705882354,0.4117647058823529,0.058823529411764705
lung,seed43,source_disjoint,3,799,391,179,0.4559074269093827,0.5671731608244321,-0.11126573391504946,-0.08841002833358413,-0.14046534934306212,-0.1358237268692643,0.47058823529411764,0.058823529411764705,0.17647058823529413,0.058823529411764705
lung,seed43,source_disjoint,7,799,391,179,0.4689709643448172,0.5761182989819968,-0.10714733463717963,-0.09157561681961784,-0.12165478003861388,-0.11312277468532173,0.4117647058823529,0.058823529411764705,0.35294117647058826,0.058823529411764705
lung,seed43,source_disjoint,11,799,391,179,0.508424853317286,0.5537648563261622,-0.045340003008876195,-0.06391021482122267,-0.047393325936512784,-0.0427283925078983,0.4117647058823529,0.4117647058823529,0.5882352941176471,0.4117647058823529
lung,seed43,target_disjoint,0,922,593,180,0.46916661968149176,0.5435603827839485,-0.07439376310245671,-0.04202588968564353,-0.09359062415106328,-0.09508379165235753,0.8235294117647058,0.11764705882352941,0.17647058823529413,0.11764705882352941
lung,seed43,target_disjoint,3,922,593,180,0.4721753794266442,0.5255385782456932,-0.05336319881904894,-0.0381233437725849,-0.07769724803559255,-0.0593204918578963,0.6470588235294118,0.11764705882352941,0.4117647058823529,0.11764705882352941
lung,seed43,target_disjoint,7,922,593,180,0.5123810207230249,0.4955637452139192,0.016817275509105722,-0.006981783420554881,0.036708502693531944,0.01597794943028343,0.11764705882352941,0.9411764705882353,0.5882352941176471,0.11764705882352941
lung,seed43,target_disjoint,11,922,593,180,0.5144261572448577,0.47476896108089817,0.039657196163959574,0.011991631086075174,0.062155299671445535,0.028196230592987048,0.11764705882352941,1.0,0.4117647058823529,0.11764705882352941
lung,seed44,source_disjoint,0,799,385,178,0.5101825710521363,0.5740918501788067,-0.06390927912667044,-0.07841477664847232,-0.08264986824769438,-0.06746698349959221,0.5294117647058824,0.17647058823529413,0.4117647058823529,0.17647058823529413
lung,seed44,source_disjoint,3,799,385,178,0.46917309743396696,0.5430610452349584,-0.0738879478009914,-0.07166423552293125,-0.0986416964677835,-0.08057790639312376,0.4117647058823529,0.058823529411764705,0.5294117647058824,0.058823529411764705
lung,seed44,source_disjoint,7,799,385,178,0.5479797979797979,0.5468128489867621,0.0011669489930358212,-0.06084446954012176,0.010021605809649226,0.010208058849363186,0.35294117647058826,0.7647058823529411,0.5882352941176471,0.35294117647058826
lung,seed44,source_disjoint,11,799,385,178,0.5795627078235773,0.5568197502980112,0.0227429575255661,-0.0747582580463016,0.03072475531714655,0.03194797352406048,0.17647058823529413,0.8235294117647058,0.7058823529411765,0.17647058823529413
lung,seed44,target_disjoint,0,914,565,180,0.42571189492101336,0.5426959454319548,-0.1169840505109414,-0.047803617161548795,-0.10968284859395999,-0.11388147551791465,1.0,0.7058823529411765,0.5294117647058824,0.5294117647058824
lung,seed44,target_disjoint,3,914,565,180,0.462410933894566,0.5257702157872048,-0.06335928189263884,-0.027649637396353628,-0.04382591221441788,-0.03162496513426477,1.0,1.0,0.9411764705882353,0.9411764705882353
lung,seed44,target_disjoint,7,914,565,180,0.49032380759185534,0.5236148794279484,-0.033291071836093034,-0.023516938408093935,-0.01069712452772778,0.029197517559652133,0.6470588235294118,1.0,1.0,0.6470588235294118
lung,seed44,target_disjoint,11,914,565,180,0.47927073560362105,0.4801379415269924,-0.0008672059233713614,0.023311072089662013,0.024511562745644984,0.033256523062099044,0.7647058823529411,1.0,1.0,0.7647058823529411
