domain,seed_tag,split_regime,layer,perm_idx,null_interaction_coef_mean
external_lung,seed42_main,source_disjoint,3,17,-0.09402761465901532
external_lung,seed42_main,source_disjoint,3,18,-0.15979465927418882
external_lung,seed42_main,source_disjoint,3,19,-0.15737020273983932
external_lung,seed42_main,source_disjoint,3,20,-0.012213242521008638
external_lung,seed42_main,source_disjoint,3,21,-0.06276135937678559
external_lung,seed42_main,source_disjoint,3,22,-0.08604912707240155
external_lung,seed42_main,source_disjoint,3,23,-0.10852822312053363
external_lung,seed42_main,source_disjoint,3,24,-0.17059069838364826
external_lung,seed42_main,source_disjoint,3,25,-0.11729387193624662
external_lung,seed42_main,source_disjoint,3,26,-0.19615747033618738
external_lung,seed42_main,source_disjoint,3,27,-0.10483337864976632
external_lung,seed42_main,source_disjoint,3,28,-0.13574963756140823
external_lung,seed42_main,source_disjoint,3,29,-0.23510171893720222
external_lung,seed42_main,source_disjoint,3,30,-0.10681906982890325
external_lung,seed42_main,source_disjoint,3,31,-0.21846983468124356
external_lung,seed42_main,source_disjoint,3,32,-0.17398103628452688
external_lung,seed42_main,source_disjoint,3,33,-0.09739233269728269
external_lung,seed42_main,source_disjoint,3,34,-0.10857138917301552
external_lung,seed42_main,source_disjoint,3,35,-0.12182993747745174
external_lung,seed42_main,source_disjoint,3,36,-0.23080484802147452
external_lung,seed42_main,source_disjoint,3,37,-0.10759277250827269
external_lung,seed42_main,source_disjoint,3,38,-0.02699688271881015
external_lung,seed42_main,source_disjoint,3,39,-0.2488357711887079
external_lung,seed42_main,source_disjoint,3,40,-0.09554858789922765
external_lung,seed42_main,source_disjoint,3,41,-0.1756283565823816
external_lung,seed42_main,source_disjoint,3,42,-0.08883752590919652
external_lung,seed42_main,source_disjoint,3,43,-0.18914153761288974
external_lung,seed42_main,source_disjoint,3,44,-0.19856637703446114
external_lung,seed42_main,source_disjoint,3,45,-0.08203881863951847
external_lung,seed42_main,source_disjoint,3,46,-0.11384504183495965
external_lung,seed42_main,source_disjoint,3,47,-0.049294947713707765
external_lung,seed42_main,source_disjoint,3,48,-0.10968422815500888
external_lung,seed42_main,source_disjoint,3,49,-0.169479821701077
external_lung,seed42_main,source_disjoint,3,50,-0.041427705206953554
external_lung,seed42_main,source_disjoint,3,51,-0.12316212792406538
external_lung,seed42_main,source_disjoint,3,52,-0.05944486719767037
external_lung,seed42_main,source_disjoint,3,53,-0.11396733456243326
external_lung,seed42_main,source_disjoint,3,54,-0.06686264489647886
external_lung,seed42_main,source_disjoint,3,55,-0.17707511159322223
external_lung,seed42_main,source_disjoint,3,56,-0.05599156046682332
external_lung,seed42_main,source_disjoint,3,57,-0.19153057153176936
external_lung,seed42_main,source_disjoint,3,58,-0.05982447459798048
external_lung,seed42_main,source_disjoint,3,59,-0.07268637912947098
external_lung,seed42_main,source_disjoint,3,60,-0.1745433474413105
external_lung,seed42_main,source_disjoint,3,61,-0.03847945834890385
external_lung,seed42_main,source_disjoint,3,62,-0.08432722721195736
external_lung,seed42_main,source_disjoint,3,63,0.030507678456472582
external_lung,seed42_main,source_disjoint,3,64,-0.1405303897934169
external_lung,seed42_main,source_disjoint,3,65,-0.17540657620440292
external_lung,seed42_main,source_disjoint,3,66,-0.19895033269655052
external_lung,seed42_main,source_disjoint,3,67,-0.0472400724131331
external_lung,seed42_main,source_disjoint,3,68,-0.11695919733364878
external_lung,seed42_main,source_disjoint,3,69,-0.16069238164528762
external_lung,seed42_main,source_disjoint,3,70,-0.06524626579679081
external_lung,seed42_main,source_disjoint,3,71,-0.23109780980949923
external_lung,seed42_main,source_disjoint,3,72,-0.18022470505993127
external_lung,seed42_main,source_disjoint,3,73,-0.14253649861299056
external_lung,seed42_main,source_disjoint,3,74,-0.2534305276530842
external_lung,seed42_main,source_disjoint,3,75,-0.16107167920899332
external_lung,seed42_main,source_disjoint,3,76,-0.19223528068403858
external_lung,seed42_main,source_disjoint,3,77,-0.036969386024391954
external_lung,seed42_main,source_disjoint,3,78,-0.2071311052613504
external_lung,seed42_main,source_disjoint,3,79,-0.23688599556119205
external_lung,seed42_main,source_disjoint,7,0,-0.03347156494971376
external_lung,seed42_main,source_disjoint,7,1,-0.20964604337327034
external_lung,seed42_main,source_disjoint,7,2,-0.0983845854305605
external_lung,seed42_main,source_disjoint,7,3,-0.021415705139525083
external_lung,seed42_main,source_disjoint,7,4,-0.06542671108414981
external_lung,seed42_main,source_disjoint,7,5,-0.019397260161253826
external_lung,seed42_main,source_disjoint,7,6,-0.1753668565136938
external_lung,seed42_main,source_disjoint,7,7,-0.025551198703551114
external_lung,seed42_main,source_disjoint,7,8,-0.092739365489642
external_lung,seed42_main,source_disjoint,7,9,-0.2717802674560333
external_lung,seed42_main,source_disjoint,7,10,-0.16810572490633224
external_lung,seed42_main,source_disjoint,7,11,-0.11777710626940285
external_lung,seed42_main,source_disjoint,7,12,-0.021488170667174067
external_lung,seed42_main,source_disjoint,7,13,-0.20928816441667672
external_lung,seed42_main,source_disjoint,7,14,-0.08187926391919839
external_lung,seed42_main,source_disjoint,7,15,-0.13537226153777462
external_lung,seed42_main,source_disjoint,7,16,-0.015995835760647406
external_lung,seed42_main,source_disjoint,7,17,0.002154419559998418
external_lung,seed42_main,source_disjoint,7,18,-0.01809594250782166
external_lung,seed42_main,source_disjoint,7,19,-0.019842781026298374
external_lung,seed42_main,source_disjoint,7,20,-0.008123102907673152
external_lung,seed42_main,source_disjoint,7,21,-0.03383977038187432
external_lung,seed42_main,source_disjoint,7,22,-0.1912128491040653
external_lung,seed42_main,source_disjoint,7,23,0.0019498669947475924
external_lung,seed42_main,source_disjoint,7,24,0.010524924909882697
external_lung,seed42_main,source_disjoint,7,25,-0.16417413492404545
external_lung,seed42_main,source_disjoint,7,26,-0.1016169776558396
external_lung,seed42_main,source_disjoint,7,27,-0.07582947532834705
external_lung,seed42_main,source_disjoint,7,28,-0.1900914862239489
external_lung,seed42_main,source_disjoint,7,29,-0.08659659638826045
external_lung,seed42_main,source_disjoint,7,30,-0.013450548428491173
external_lung,seed42_main,source_disjoint,7,31,-0.04245093292396143
external_lung,seed42_main,source_disjoint,7,32,-0.15120029020928827
external_lung,seed42_main,source_disjoint,7,33,-0.10231264609996406
external_lung,seed42_main,source_disjoint,7,34,-0.20077115432190543
external_lung,seed42_main,source_disjoint,7,35,-0.01082136748357774
external_lung,seed42_main,source_disjoint,7,36,-0.16353386928157376
external_lung,seed42_main,source_disjoint,7,37,-0.05516638640887198
external_lung,seed42_main,source_disjoint,7,38,-0.16315988690149044
external_lung,seed42_main,source_disjoint,7,39,-0.22746449391304105
external_lung,seed42_main,source_disjoint,7,40,-0.04244095593748615
external_lung,seed42_main,source_disjoint,7,41,0.010147498139585412
external_lung,seed42_main,source_disjoint,7,42,-0.0544807869063603
external_lung,seed42_main,source_disjoint,7,43,-0.21067341270166576
external_lung,seed42_main,source_disjoint,7,44,-0.19637747820792226
external_lung,seed42_main,source_disjoint,7,45,-0.1706256624760127
external_lung,seed42_main,source_disjoint,7,46,-0.06914049199547798
external_lung,seed42_main,source_disjoint,7,47,-0.1311641310114642
external_lung,seed42_main,source_disjoint,7,48,-0.1873102281580341
external_lung,seed42_main,source_disjoint,7,49,-0.05057935289502258
external_lung,seed42_main,source_disjoint,7,50,-0.20622480586097836
external_lung,seed42_main,source_disjoint,7,51,-0.11748827020960702
external_lung,seed42_main,source_disjoint,7,52,-0.05427047236867862
external_lung,seed42_main,source_disjoint,7,53,-0.08173632159525095
external_lung,seed42_main,source_disjoint,7,54,-0.11226423046482177
external_lung,seed42_main,source_disjoint,7,55,-0.005842717058336065
external_lung,seed42_main,source_disjoint,7,56,-0.021003459576670935
external_lung,seed42_main,source_disjoint,7,57,-0.050742706318159615
external_lung,seed42_main,source_disjoint,7,58,-0.19605057949238924
external_lung,seed42_main,source_disjoint,7,59,-0.10961430833428136
external_lung,seed42_main,source_disjoint,7,60,0.021763725787682348
external_lung,seed42_main,source_disjoint,7,61,-0.14585437599414022
