domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70_baseline,auc_graph_bridge_calibrated,delta_auc_graph_bridge_calibrated_minus_h70,q95_null_delta_auc,null_gap_q95_delta_auc,p_degree_swap_upper,p_length_swap_upper,p_length_bridge_swap_upper,p_label_shuffle_upper,p_best_upper
immune,seed42_main,target_disjoint,3,300,75,0.8965925925925926,0.9650370370370369,0.06844444444444431,0.07042074074074078,-0.001976296296296476,0.5263157894736842,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.10526315789473684
immune,seed42_main,target_disjoint,7,300,75,0.8881185185185186,0.9488592592592593,0.06074074074074065,0.08146074074074061,-0.02071999999999996,0.9473684210526315,1.0,0.9473684210526315,0.3157894736842105,0.3157894736842105
immune,seed42_main,target_disjoint,11,300,75,0.8770370370370371,0.9653925925925926,0.08835555555555552,0.10251259259259259,-0.014157037037037065,0.8421052631578947,0.5789473684210527,0.8947368421052632,0.2631578947368421,0.2631578947368421
lung,seed42_main,source_disjoint,0,300,149,0.8407040312902796,0.9357304769100848,0.09502644561980522,0.09611982754789108,-0.0010933819280858625,0.15789473684210525,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.05263157894736842
lung,seed42_main,source_disjoint,3,300,149,0.8109249299968888,0.9314191741855193,0.12049424418863053,0.12192097426552295,-0.001426730076892424,0.2631578947368421,0.3157894736842105,0.21052631578947367,0.05263157894736842,0.05263157894736842
lung,seed42_main,source_disjoint,7,300,149,0.842437441664074,0.9487532779234633,0.10631583625938934,0.10797146539846224,-0.0016556291390728978,0.10526315789473684,0.3684210526315789,0.3157894736842105,0.10526315789473684,0.10526315789473684
lung,seed42_main,source_disjoint,11,300,149,0.8004355749144407,0.9043957509222632,0.10396017600782248,0.11130939152851232,-0.007349215520689845,0.9473684210526315,0.7894736842105263,0.7894736842105263,0.10526315789473684,0.10526315789473684
lung,seed42_main,target_disjoint,0,300,191,0.851962149959172,0.943080839617657,0.09111868965848502,0.09471636485902296,-0.003597675200537942,0.5263157894736842,0.631578947368421,0.631578947368421,0.05263157894736842,0.05263157894736842
lung,seed42_main,target_disjoint,3,300,191,0.8689658485037705,0.9585955137134349,0.08962966520966442,0.08906527691051466,0.0005643882991497595,0.15789473684210525,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
lung,seed42_main,target_disjoint,7,300,191,0.8256400403477592,0.9279504298957683,0.10231038954800908,0.1091743119266056,-0.00686392237859651,0.7368421052631579,1.0,0.8421052631578947,0.15789473684210525,0.15789473684210525
lung,seed42_main,target_disjoint,11,300,191,0.8555165954176474,0.9575868197319757,0.10207022431432833,0.10438301551467408,-0.0023127912003457485,0.10526315789473684,0.47368421052631576,0.10526315789473684,0.10526315789473684,0.10526315789473684
