hypothesis_id,null_kind,domain,seed_tag,split_regime,layer,perm_idx,null_response_value,null_jacobian_value
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,61,0.8612686182479177,0.4896212962255082
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,62,0.8283187281261021,0.5329666135805533
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,63,0.8397406332239072,0.7137601692856284
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,0,0.8372875378125044,0.7283513348629554
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,1,0.8021812558499167,0.3605104951083868
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,2,0.829704689428777,0.5163987930359145
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,3,0.7784695939988335,0.6933232622994513
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,4,0.7797040111775798,0.5379423897147805
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,5,0.723124296314383,0.6188819904499653
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,6,0.8678359717304901,0.7371340239218848
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,7,0.7985186993855045,0.5858145927972895
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,8,0.7907866357384122,0.679649146825367
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,9,0.8105373105983534,0.7120470769898813
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,10,0.7772623068679717,0.6029104247954485
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,11,0.8476512161043965,0.6072832540992732
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,12,0.7858625320473691,0.5499599629845545
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,13,0.8166415713723735,0.7392703256234927
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,14,0.8462404536144007,0.6324699009581248
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,15,0.8692874292923128,0.6682787821563555
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,16,0.8279954964120513,0.5075260858361814
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,17,0.7577015423432224,0.3838590128319608
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,18,0.8188526702749632,0.6367293028795449
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,19,0.8529958355376498,0.5214970129880073
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,20,0.8242651148279277,0.4081257112411208
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,21,0.765908381828294,0.43654470462234385
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,22,0.801489439628861,0.343657287403847
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,23,0.8134537907459408,0.5572756982892141
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,24,0.8535384364953404,0.5119091332025494
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,25,0.754378111477367,0.38707213742972285
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,26,0.8738724073847992,0.7802132191570258
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,27,0.7073753035174107,0.5859310626234754
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,28,0.8212672445366868,0.5222645926998443
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,29,0.8594799169820536,0.509982691051995
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,30,0.7903796850201442,0.47632480000517835
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,31,0.7681601758027105,0.526791114540664
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,32,0.7641584937397415,0.4307007092679479
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,33,0.845901328015844,0.5069119422874548
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,34,0.7653793458945455,0.29911001007506177
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,35,0.8819435966304481,0.8828900377947289
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,36,0.8714442680991333,0.5758775084123252
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,37,0.7709003106390484,0.44968349173354244
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,38,0.8896756602775404,0.5929970678603514
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,39,0.9193694976871636,0.6934984423980973
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,40,0.8151629837626664,0.8072550596161804
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,41,0.6817645383144102,0.3711218986660591
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,42,0.7926179139706182,0.5871609350821572
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,43,0.8766261072450794,0.541530803334983
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,44,0.8249569310489834,0.5794312017501544
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,45,0.7757158941385532,0.33373627032438513
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,46,0.8953865353572351,0.7781358876170101
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,47,0.8220540159253382,0.6533948654804582
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,48,0.7421695899293264,0.512657777048513
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,49,0.7639143233087807,0.3644176299737355
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,50,0.8562921363556207,0.5452140230586344
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,51,0.8149323783556478,0.4611059750092935
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,52,0.8115411223700811,0.4486622584653278
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,53,0.7633581573271477,0.4789196982736419
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,54,0.8730720709722054,0.6372814881186136
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,55,0.784329684341893,0.3240386032075084
H109,module_size_variance_matched_shuffle,lung,seed42_main,other,-1,56,0.8417504306895103,0.6925000344225685
