null_kind,domain,seed_tag,split_regime,layer,perm_idx,null_delta_auc,null_spearman
layer_placebo,external_lung,all,all,-1,151,,0.28247699061699316
layer_placebo,external_lung,all,all,-1,152,,0.04882318356343092
layer_placebo,external_lung,all,all,-1,153,,0.17088114247200822
layer_placebo,external_lung,all,all,-1,154,,0.2545780285807469
layer_placebo,external_lung,all,all,-1,155,,0.20226747476278523
layer_placebo,external_lung,all,all,-1,156,,0.1795995681083351
layer_placebo,external_lung,all,all,-1,157,,0.13949481018123117
layer_placebo,external_lung,all,all,-1,158,,0.05579792407249247
layer_placebo,external_lung,all,all,-1,159,,0.1203142737813119
layer_placebo,external_lung,all,all,-1,160,,0.18831799374466207
layer_placebo,external_lung,all,all,-1,161,,0.23539749218082762
layer_placebo,external_lung,all,all,-1,162,,0.17785588298106977
layer_placebo,external_lung,all,all,-1,163,,0.13775112505396578
layer_placebo,external_lung,all,all,-1,164,,0.10462110763592339
layer_placebo,external_lung,all,all,-1,165,,0.19529273425372368
layer_placebo,external_lung,all,all,-1,166,,0.08369688610873871
layer_placebo,external_lung,all,all,-1,167,,0.1499569209448235
layer_placebo,external_lung,all,all,-1,168,,0.19529273425372368
layer_placebo,external_lung,all,all,-1,169,,0.1830869383628659
layer_placebo,external_lung,all,all,-1,170,,0.13949481018123117
layer_placebo,external_lung,all,all,-1,171,,0.10636479276318876
layer_placebo,external_lung,all,all,-1,172,,0.12205795890857726
layer_placebo,external_lung,all,all,-1,173,,0.13949481018123117
layer_placebo,external_lung,all,all,-1,174,,0.13949481018123117
layer_placebo,external_lung,all,all,-1,175,,0.1185705886540465
layer_placebo,external_lung,all,all,-1,176,,0.08369688610873871
layer_placebo,external_lung,all,all,-1,177,,0.14123849530849658
layer_placebo,external_lung,all,all,-1,178,,0.23191012192629684
layer_placebo,external_lung,all,all,-1,179,,0.17436851272653897
layer_placebo,external_lung,all,all,-1,180,,0.04359212818163474
layer_placebo,external_lung,all,all,-1,181,,0.2842206757442585
layer_placebo,external_lung,all,all,-1,182,,0.134263754799435
layer_placebo,external_lung,all,all,-1,183,,0.09415899687233104
layer_placebo,external_lung,all,all,-1,184,,0.102877422508658
layer_placebo,external_lung,all,all,-1,185,,0.0017436851272653897
layer_placebo,external_lung,all,all,-1,186,,0.12903269941763884
layer_placebo,external_lung,all,all,-1,187,,0.11682690352678111
layer_placebo,external_lung,all,all,-1,188,,0.2388848624353584
layer_placebo,external_lung,all,all,-1,189,,0.1534442911993543
layer_placebo,external_lung,all,all,-1,190,,0.14646955069029274
layer_placebo,external_lung,all,all,-1,191,,0.20226747476278523
