domain,seed_tag,layer,n_points,pca_dim,h1_sum_observed,h1_sum_null_mean,h1_sum_null_std,h1_sum_delta,h1_sum_z,h1_sum_p_perm,h1_max_observed,h1_count_observed,mle_intrinsic_dim,participation_ratio_dim,linearity_top5_ratio
immune,seed43,1,350,20,24.595810651779175,16.511634051799774,2.6753913365713675,8.0841765999794,3.0216800385239906,0.047619047619047616,1.22011137008667,73,8.75510064479128,1.5879067989057125,0.8771761021359887
immune,seed44,1,350,20,31.727700233459473,18.89334941506386,4.398021568647087,12.834350818395613,2.918210066765427,0.047619047619047616,1.4642877578735352,82,8.879124140503318,1.6122716313974996,0.8764754636679961
immune,seed42_main,2,350,20,32.85875344276428,15.728174233436585,3.027213057179871,17.1305792093277,5.658861428018402,0.047619047619047616,1.9461426734924316,80,9.263073761271938,1.5190205542935578,0.8867109490373282
immune,seed43,2,350,20,27.23693060874939,20.05081671476364,2.955166331747737,7.186113893985748,2.4317121558785635,0.047619047619047616,1.124396800994873,96,10.390411912673365,1.5612874197639715,0.8837292248976614
immune,seed44,2,350,20,28.24877405166626,17.399241989851,2.973693407212903,10.84953206181526,3.648503921705732,0.047619047619047616,1.139030933380127,84,9.275406862474744,1.545413148909421,0.8880953695301633
immune,seed42_main,3,350,20,26.04000234603882,17.40446546077728,2.3693152492009624,8.635536885261537,3.6447395020688282,0.047619047619047616,1.6682744026184082,87,8.847559362528408,1.530750281371048,0.8897005123312136
immune,seed43,3,350,20,35.58803415298462,21.091290175914764,2.7055854130152506,14.496743977069855,5.358080325971236,0.047619047619047616,1.2277321815490723,104,9.127825787113641,1.5815068721011083,0.8843556355758524
immune,seed44,3,350,20,30.379708219417722,18.69057822227478,2.2113969943651117,11.689129997142942,5.285857773001547,0.047619047619047616,1.456418514251709,277,8.840259820413458,1.5497855040563315,0.8880835682610861
immune,seed42_main,4,350,20,34.818035364151,16.857110571861266,1.9636217511024099,17.960924792289735,9.146835317473611,0.047619047619047616,1.0893802642822266,103,8.629178728946926,1.4646813072169549,0.9017158041534701
immune,seed43,4,350,20,35.46710205078125,17.26207914352417,2.7051794620977527,18.20502290725708,6.729691377447528,0.047619047619047616,1.5687475204467773,98,8.443574656219223,1.4979107667205822,0.8987606235183457
immune,seed44,4,350,20,29.953576803207397,15.593186718225478,1.5860990643081196,14.360390084981919,9.053904890986258,0.047619047619047616,1.5077691078186035,88,9.0179356107,1.4710751818338161,0.9034900664941702
immune,seed42_main,5,350,20,30.59228754043579,15.255362516641616,2.269967996025296,15.336925023794175,6.756449889995196,0.047619047619047616,1.5115089416503906,78,8.518644450336726,1.4182677519589943,0.9091512037279359
immune,seed43,5,350,20,28.180516481399536,18.42263193130493,3.2923506828614344,9.757884550094605,2.963804736210563,0.047619047619047616,1.5367107391357422,85,8.822825884316023,1.4874646143617438,0.9078177117083339
