domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h93_backbone,auc_interaction_rescue,delta_auc_interaction_derivative_minus_h91_h93,interaction_signal_pos_minus_neg,q95_null_delta_auc,null_gap_q95_delta_auc,p_order_permutation_upper,p_partner_shuffle_upper,p_label_shuffle_upper,p_best_upper
immune,seed42_main,source_disjoint,7,220,55,0.9588980716253442,0.949641873278237,-0.009256198347107225,-0.23721486626783117,0.02457024793388437,-0.033826446280991594,0.8235294117647058,0.4117647058823529,0.8823529411764706,0.4117647058823529
immune,seed42_main,source_disjoint,11,220,55,0.968374655647383,0.9321212121212121,-0.03625344352617088,-0.5732224308881068,0.025617079889807118,-0.061870523415978,1.0,1.0,0.9411764705882353,0.9411764705882353
immune,seed42_main,target_disjoint,0,220,55,0.9784022038567493,0.9734435261707989,-0.0049586776859503745,-0.10087498699849638,0.027611570247933943,-0.032570247933884314,0.6470588235294118,0.47058823529411764,0.6470588235294118,0.47058823529411764
immune,seed42_main,target_disjoint,3,220,55,0.943581267217631,0.9436914600550963,0.00011019283746527275,-0.0860283227451739,0.02116528925619831,-0.021055096418733037,0.47058823529411764,0.4117647058823529,0.47058823529411764,0.4117647058823529
immune,seed42_main,target_disjoint,7,220,55,0.9628650137741047,0.9631955922865012,0.0003305785123964844,-0.31790959460117774,0.014363636363636339,-0.014033057851239854,0.8823529411764706,0.8235294117647058,0.47058823529411764,0.47058823529411764
immune,seed42_main,target_disjoint,11,220,55,0.945013774104683,0.9430303030303031,-0.0019834710743799056,-0.5233769238394849,0.028589531680440813,-0.030573002754820718,0.7647058823529411,0.6470588235294118,0.6470588235294118,0.6470588235294118
lung,seed42_main,source_disjoint,0,220,109,0.9180924043309364,0.9171005868253574,-0.0009918175055789735,-0.027732820157689724,0.015542606827010398,-0.01653442433258937,0.47058823529411764,0.29411764705882354,0.5294117647058824,0.29411764705882354
lung,seed42_main,source_disjoint,3,220,109,0.9098272584511117,0.9131333168030416,0.0033060583519298747,-0.15532604851157317,0.027669642119183425,-0.02436358376725355,0.058823529411764705,0.058823529411764705,0.5882352941176471,0.058823529411764705
lung,seed42_main,source_disjoint,7,220,109,0.9055293825936028,0.8961897677494008,-0.009339614844201982,-0.13836843172100222,0.040003306058351944,-0.049342920902553926,0.5882352941176471,0.6470588235294118,0.7647058823529411,0.5882352941176471
lung,seed42_main,source_disjoint,11,220,109,0.8947020414910324,0.9076783205223572,0.012976279031324811,-0.2030105534560417,0.01876601372014211,-0.0057897346888173,0.11764705882352941,0.17647058823529413,0.17647058823529413,0.11764705882352941
lung,seed42_main,target_disjoint,0,220,140,0.950625,0.9558928571428572,0.0052678571428571574,0.22610336804588027,0.00986607142857137,-0.0045982142857142125,0.17647058823529413,0.11764705882352941,0.29411764705882354,0.11764705882352941
lung,seed42_main,target_disjoint,3,220,140,0.9611607142857143,0.9616071428571429,0.00044642857142862535,-0.09991923463445078,0.05176116071428574,-0.05131473214285712,0.7647058823529411,0.6470588235294118,0.8823529411764706,0.6470588235294118
lung,seed42_main,target_disjoint,7,220,140,0.9342857142857143,0.9348214285714286,0.000535714285714306,-0.12295085681634978,0.06904017857142855,-0.06850446428571424,0.23529411764705882,0.35294117647058826,0.9411764705882353,0.23529411764705882
lung,seed42_main,target_disjoint,11,220,140,0.9375892857142857,0.9359821428571429,-0.001607142857142807,-0.35719323458013624,0.021897321428571346,-0.023504464285714153,0.35294117647058826,0.4117647058823529,0.5294117647058824,0.35294117647058826
