domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,n_nodes_graph,auc_topology_score,auc_distance_baseline,delta_auc_topology_minus_baseline,mean_node_curvature,mean_local_clustering,mean_degree_norm,p_curvature_upper,p_topology_feature_upper,p_label_upper,p_best_upper
immune,seed44,target_disjoint,11,1034,256,160,0.5654573023778919,0.5691551855719794,-0.0036978831940874812,-31.7235251510753,0.5178301284258723,0.09716981132075472,0.56,0.72,0.8,0.56
lung,seed42_main,source_disjoint,7,647,334,159,0.5079680893803447,0.5329102179028524,-0.024942128522507767,-29.925735599889908,0.5107825645615794,0.09640952153490966,0.64,0.64,1.0,0.64
lung,seed42_main,source_disjoint,11,647,334,159,0.5026353044709303,0.5238516577069503,-0.021216353236020002,-29.869647713368188,0.5205730848247148,0.0959318525595096,0.64,0.4,0.76,0.4
lung,seed42_main,target_disjoint,7,821,541,158,0.5627343543702139,0.5392097966728281,0.023524557697385817,-27.176464562456445,0.4711125181695688,0.09384826251713295,0.56,0.52,0.2,0.2
lung,seed42_main,target_disjoint,11,821,541,158,0.5790368365460787,0.5226432532347505,0.056393583311328266,-27.251425992944583,0.5009613235923343,0.09344513424171572,0.88,0.08,0.04,0.04
lung,seed43,source_disjoint,7,690,346,159,0.5603323699421965,0.5632687525205,-0.0029363825783035313,-29.024820607115178,0.5169203161114369,0.09449884563330944,0.44,0.4,0.52,0.4
lung,seed43,source_disjoint,11,690,346,159,0.5748420486624546,0.5567532598467536,0.018088788815700974,-29.435005129913737,0.5218639439551275,0.09553379508000955,0.44,0.32,0.08,0.08
lung,seed43,target_disjoint,7,784,518,160,0.56545925624873,0.5318931982465817,0.03356605800214829,-27.90527233561553,0.49472461630286163,0.09355345911949683,0.04,0.28,0.04,0.04
lung,seed43,target_disjoint,11,784,518,160,0.5335987168693935,0.501288210874677,0.03231050599471652,-28.52040459010434,0.5024934859769046,0.09433962264150943,0.24,0.76,0.12,0.12
lung,seed44,source_disjoint,7,704,355,159,0.5384236652003713,0.5451753500948383,-0.0067516848944669805,-28.528193465421328,0.4990703373616151,0.09418039964970942,0.56,0.28,0.92,0.28
lung,seed44,source_disjoint,11,704,355,159,0.5199846644335929,0.5468178699705396,-0.02683320553694668,-29.346599033140695,0.5085671346627597,0.09561340657590957,1.0,0.12,1.0,0.12
lung,seed44,target_disjoint,7,793,530,160,0.5010689432527442,0.5101549609010689,-0.009086017648324729,-28.030487545487983,0.4976292210364813,0.09308176100628932,0.04,0.32,0.2,0.04
lung,seed44,target_disjoint,11,793,530,160,0.527146854150226,0.48774302317239404,0.039403830977831955,-28.420722492967712,0.4954051216088501,0.09386792452830188,0.2,0.08,0.32,0.08
