domain,seed_tag,split_regime,transition_from,transition_to,transition,n_edges_eval,n_positive_eval,n_nodes_graph,auc_transition_id_gradient,auc_geodesic_baseline,delta_auc_transition_minus_baseline,mean_delta_id,std_delta_id,mean_abs_edge_delta_id_gap,p_order_upper,p_endpoint_upper,p_label_upper,p_best_upper
immune,seed43,target_disjoint,7,11,7->11,1082,274,170,0.48154179012791787,0.5755289260677894,-0.09398713593987151,1.1440713430641722,29.353055188105564,26.848957138501408,0.56,0.92,1.0,0.56
immune,seed44,source_disjoint,0,3,0->3,949,242,170,0.6008071586379418,0.618724210083346,-0.01791705144540423,1.7672463172637753,31.350636007700686,26.272444420596326,0.44,0.48,0.72,0.44
immune,seed44,source_disjoint,3,7,3->7,949,242,170,0.5626059359182671,0.6140805639005459,-0.05147462798227875,3.646234399653068,32.09595634991764,25.7825809143616,0.68,1.0,1.0,0.68
immune,seed44,source_disjoint,7,11,7->11,949,242,170,0.5759436333243715,0.6070230399663343,-0.031079406641962848,-5.414610040531072,34.623449371739206,29.684775259745532,0.48,0.84,1.0,0.48
immune,seed44,target_disjoint,0,3,0->3,1110,272,170,0.5308858626983013,0.590681156113997,-0.05979529341569567,-1.3795568013470587,29.73053900974322,27.39377698428349,0.56,0.8,1.0,0.56
immune,seed44,target_disjoint,3,7,3->7,1110,272,170,0.5646146286676962,0.589248736487435,-0.02463410781973885,-0.24081613169887073,27.88838624437664,25.175206671421133,0.68,0.96,1.0,0.68
immune,seed44,target_disjoint,7,11,7->11,1110,272,170,0.5364970869015864,0.5702872736206654,-0.033790186719079074,-1.1352282899719472,26.22594965113844,22.662687451109882,0.6,0.8,1.0,0.6
lung,seed42_main,source_disjoint,0,3,0->3,690,342,170,0.5218836122874235,0.5140191234791961,0.007864488808227432,3.210441568425789,30.547733737771786,27.840984086458732,0.52,0.16,0.96,0.16
lung,seed42_main,source_disjoint,3,7,3->7,690,342,170,0.5275845264502252,0.5315797875915843,-0.003995261141359063,-0.9184450871442031,31.05221821571762,31.075376409975398,0.28,0.28,0.84,0.28
lung,seed42_main,source_disjoint,7,11,7->11,690,342,170,0.5063016737245412,0.5222995227532432,-0.01599784902870205,0.531828782486256,31.325100354475282,29.15153139052227,0.36,0.56,0.48,0.36
lung,seed42_main,target_disjoint,0,3,0->3,879,561,167,0.5238988105247817,0.5495325059697979,-0.025633695445016147,-1.04338483865207,29.43318450192713,29.1389240288264,0.72,0.64,0.84,0.64
lung,seed42_main,target_disjoint,3,7,3->7,879,561,167,0.48858171055729316,0.554165405441765,-0.0655836948844718,-0.09464710914849916,27.045066907767207,28.988094393525426,0.28,1.0,1.0,0.28
lung,seed42_main,target_disjoint,7,11,7->11,879,561,167,0.5123768203679413,0.520527135954439,-0.008150315586497703,-0.23719636417118545,30.2770234726926,30.16247609967185,0.28,1.0,0.6,0.28
lung,seed43,source_disjoint,0,3,0->3,760,384,169,0.5589954565602837,0.5570561835106382,0.0019392730496454735,0.0347586888735803,25.305048091672408,21.230438649897476,0.4,0.32,0.92,0.32
lung,seed43,source_disjoint,3,7,3->7,760,384,169,0.5180075354609929,0.5542580895390071,-0.03625055407801425,0.2841261163641881,29.465837904968527,26.282212097933773,0.72,0.56,1.0,0.56
lung,seed43,source_disjoint,7,11,7->11,760,384,169,0.5130762411347518,0.5554147273936171,-0.04233848625886527,-0.33578147026227206,28.35803590195647,28.134324554908275,0.04,0.68,0.76,0.04
lung,seed43,target_disjoint,0,3,0->3,847,559,170,0.5250198767640628,0.5277870950109322,-0.0027672182468694295,0.48494068951962777,28.01558657395035,24.68668799220091,0.48,0.08,0.6,0.08
lung,seed43,target_disjoint,3,7,3->7,847,559,170,0.5232868713973365,0.5157119608427748,0.00757491055456172,2.2327790532435277,30.433194102119266,27.310506313171043,0.4,0.04,0.8,0.04
lung,seed43,target_disjoint,7,11,7->11,847,559,170,0.5202618763665275,0.49813965911349634,0.022122217253031207,-3.048872470649429,30.72512188245165,25.144626959374058,0.08,0.04,0.48,0.04
lung,seed44,source_disjoint,0,3,0->3,751,368,169,0.487597911227154,0.5369153706436599,-0.04931745941650589,1.9986407050733395,23.976403357423276,24.894211457775015,0.72,1.0,0.72,0.72
lung,seed44,source_disjoint,3,7,3->7,751,368,169,0.5973365308207516,0.5541988307412874,0.04313770007946416,1.4905563524254122,31.11912336508142,24.945635576688858,0.28,0.04,0.32,0.04
lung,seed44,source_disjoint,7,11,7->11,751,368,169,0.5793754966511523,0.5554369111136338,0.023938585537518486,-2.641879123424699,31.186118268924147,25.65954109041222,0.56,0.08,0.88,0.08
lung,seed44,target_disjoint,0,3,0->3,859,549,170,0.5310799694459134,0.5214613079499383,0.009618661495975123,-2.801299956478156,25.872369750268685,23.268921221805908,0.16,0.24,0.28,0.16
lung,seed44,target_disjoint,3,7,3->7,859,549,170,0.45883718197308887,0.5132469592808038,-0.0544097773077149,0.5775133800079312,26.721539116888,27.473301024317696,0.76,0.96,0.84,0.76
lung,seed44,target_disjoint,7,11,7->11,859,549,170,0.5005376344086022,0.4872466067336506,0.013291027674951605,2.373514232871292,32.2240762551796,29.430836242899762,0.52,0.68,0.6,0.52
