domain,seed_tag,split_regime,layer,delta_auc_directed_minus_distance,is_failure_slice,orientation_entropy,sign_balance,knn_density,degree_assortativity,margin_iqr,diagnostic_name,delta_corr_global,failure_slice_minus_other_mean
lung,seed44,target_disjoint,11,0.01183052800880724,0,0.4899623103471703,0.7865470852017937,0.09977628635346757,-0.18684514881538172,0.09999999999999998,row,,
external_lung,seed42_main,source_disjoint,7,-0.020258212934296638,0,0.4689955935892811,0.8,0.09613640486123708,-0.21394805185205437,0.0,row,,
external_lung,seed42_main,source_disjoint,11,-0.012469900240798082,0,0.4660260267937596,0.8018691588785047,0.09704335207690912,-0.2088793852772769,0.0,row,,
external_lung,seed42_main,target_disjoint,7,0.009576555478194804,0,0.4249914824042952,0.8268156424581006,0.09610738255033557,-0.14315106246567116,0.0,row,,
external_lung,seed42_main,target_disjoint,11,0.01829862649534786,0,0.4488644887230294,0.8125,0.09736017897091723,-0.15999809206622126,0.0,row,,
external_lung,seed43,source_disjoint,7,0.004315939771547206,0,0.4938094968956257,0.7840290381125228,0.09861297539149888,-0.2160068283405814,0.0,row,,
external_lung,seed43,source_disjoint,11,-0.0013397492953568513,0,0.46467769885753274,0.8027149321266969,0.09888143176733781,-0.17785921023528845,0.0,row,,
external_lung,seed43,target_disjoint,7,0.028125824699092306,0,0.4430984036235035,0.8160073597056117,0.09727069351230425,-0.18777489304420578,0.0,row,,
external_lung,seed43,target_disjoint,11,0.020059550445767904,0,0.43538044374872725,0.8206521739130435,0.09879194630872483,-0.1491820324317309,0.0,row,,
external_lung,seed44,source_disjoint,7,0.006431427899317832,0,0.5104086155662142,0.7729831144465291,0.0966805731906403,-0.17520687498055493,0.0,row,,
external_lung,seed44,source_disjoint,11,-0.003100446953658076,0,0.513730910417173,0.7707362534948743,0.09731543624161074,-0.1571406218107688,0.0,row,,
external_lung,seed44,target_disjoint,7,0.022503125434088056,0,0.44733604448548553,0.8134328358208955,0.09592841163310963,-0.2063368023042784,0.0,row,,
external_lung,seed44,target_disjoint,11,0.015957077371857142,0,0.42756929392170756,0.8252957233848954,0.09834451901565995,-0.10748171634651488,0.0,row,,
all,summary,all,-1,,2,,,,,,orientation_entropy,-0.1823610272355808,0.06517801108435756
all,summary,all,-1,,2,,,,,,sign_balance,0.18434393520556389,-0.03640688335280973
all,summary,all,-1,,2,,,,,,knn_density,-0.023244112502149552,0.00305809439078851
all,summary,all,-1,,2,,,,,,degree_assortativity,-0.037213531546802285,0.027794560495630588
all,summary,all,-1,,2,,,,,,margin_iqr,0.45130911420842434,-0.01333333333333333
