domain,seed_tag,split_regime,layer,n_edges,n_positive,n_unique_genes,pca_dim,knn_k,used_component_bridging,best_diffusion_t,best_diffusion_auc,best_baseline_auc,delta_best_diffusion_minus_baseline,p_random_label_upper,p_coexp_degree_matched_upper,null_random_mean,null_matched_mean,coexpression_abs_mean,coexpression_missing_fraction,auc_diffusion_t1,auc_diffusion_t2,auc_diffusion_t4,auc_diffusion_t8
external_lung,seed43,target_disjoint,0,1883,1081,280,24,24,True,1,0.5239428025680479,0.5137076365515443,0.01023516601650365,0.19008264462809918,0.7355371900826446,0.0026447574019007386,0.015200454768105942,0.03450475002394521,0.0,0.5239428025680479,0.5003189297800826,0.49474717461664985,0.49833787409367425
external_lung,seed43,target_disjoint,3,1883,1081,280,24,24,True,1,0.5171408896814393,0.5033553950461497,0.013785494635289663,0.17355371900826447,0.7768595041322314,0.004165393062210338,0.018961562521386942,0.03450475002394521,0.0,0.5171408896814393,0.49488674244084513,0.4865138264422201,0.4859388300755973
external_lung,seed43,target_disjoint,7,1883,1081,280,24,24,True,1,0.5076791139634724,0.49944749596868143,0.008231617994790996,0.33884297520661155,0.8099173553719008,0.0034075984106954255,0.014680665550124069,0.03450475002394521,0.0,0.5076791139634724,0.48841183350596684,0.4848130598572948,0.48588231087406364
external_lung,seed43,target_disjoint,11,1883,1081,280,24,24,True,1,0.5115074247775566,0.5000138414371103,0.011493583340446367,0.14049586776859505,0.19008264462809918,0.004691862696019744,0.0060877331801547615,0.03450475002394521,0.0,0.5115074247775566,0.4894309093132109,0.487512716820345,0.48998572025071463
external_lung,seed44,source_disjoint,0,1302,495,280,24,24,True,1,0.5609853178626413,0.5488828808531411,0.0121024370095002,0.35537190082644626,0.6859504132231405,0.006687027232256475,0.01597516887169923,0.03370042265853818,0.0,0.5609853178626413,0.5573304294493886,0.5564091973013906,0.5600428072547032
external_lung,seed44,source_disjoint,3,1302,495,280,24,24,True,1,0.5472181542813512,0.545096566657905,0.002121587623446275,0.5785123966942148,0.9752066115702479,0.004155422460874737,0.019569288506711073,0.03370042265853818,0.0,0.5472181542813512,0.5433905348403489,0.5394540197514175,0.5385415493222185
external_lung,seed44,source_disjoint,7,1302,495,280,24,24,True,2,0.542429249120699,0.5517754997308901,-0.00934625061019112,0.9834710743801653,0.9173553719008265,0.006366963730656428,6.123815603369849e-05,0.03370042265853818,0.0,0.5169226340230058,0.542429249120699,0.5401048902907639,0.5404528556944914
external_lung,seed44,source_disjoint,11,1302,495,280,24,24,True,1,0.542949945552176,0.5343146458388094,0.008635299713366629,0.3884297520661157,0.6776859504132231,0.005930181617913971,0.012274510908339907,0.03370042265853818,0.0,0.542949945552176,0.5321029376791458,0.5303668656828509,0.530300526954802
external_lung,seed44,target_disjoint,0,1879,1072,280,24,24,True,4,0.5092971480885535,0.5169933325935379,-0.007696184504984327,0.9173553719008265,0.9421487603305785,0.0033899681425585953,0.0022301942887791447,0.03444760937236353,0.0,0.4978181813978435,0.5090977500970982,0.5092971480885535,0.5092665159333444
external_lung,seed44,target_disjoint,3,1879,1072,280,24,24,True,8,0.5150242051822671,0.4974939429247813,0.01753026225748583,0.08264462809917356,0.6528925619834711,0.0031358753783745424,0.020135358484837267,0.03444760937236353,0.0,0.5062293088461041,0.5127874798868113,0.5129614474097912,0.5150242051822671
