domain,seed_tag,split_regime,layer,null_type,perm_idx,delta_best_diffusion_minus_baseline
external_lung,seed42_main,source_disjoint,0,random_label,9,-0.00984554945646332
external_lung,seed42_main,source_disjoint,0,random_label,10,-0.001757076740931951
external_lung,seed42_main,source_disjoint,0,random_label,11,0.0114250349800884
external_lung,seed42_main,source_disjoint,0,random_label,12,0.005306210311053938
external_lung,seed42_main,source_disjoint,0,random_label,13,0.011051017113335448
external_lung,seed42_main,source_disjoint,0,random_label,14,0.005474383812291483
external_lung,seed42_main,source_disjoint,0,random_label,15,0.015891723172963168
external_lung,seed42_main,source_disjoint,0,random_label,16,0.011196319018404843
external_lung,seed42_main,source_disjoint,0,random_label,17,0.0058161123668065695
external_lung,seed42_main,source_disjoint,0,random_label,18,-0.0012310300290603315
external_lung,seed42_main,source_disjoint,0,random_label,19,0.009131148423205282
external_lung,seed42_main,source_disjoint,0,random_label,20,-0.010494026477236018
external_lung,seed42_main,source_disjoint,0,random_label,21,-0.008169195996125311
external_lung,seed42_main,source_disjoint,0,random_label,22,0.004636207082122423
external_lung,seed42_main,source_disjoint,0,random_label,23,-0.008975083414056506
external_lung,seed42_main,source_disjoint,0,random_label,24,-0.0003376923904854223
external_lung,seed42_main,source_disjoint,0,random_label,25,-0.010834409643741216
external_lung,seed42_main,source_disjoint,0,random_label,26,0.014803304272952289
external_lung,seed42_main,source_disjoint,0,random_label,27,-0.007534172855451549
external_lung,seed42_main,source_disjoint,0,random_label,28,0.013643579808416628
external_lung,seed42_main,source_disjoint,0,random_label,29,-0.0062748896781832375
external_lung,seed42_main,source_disjoint,0,random_label,30,-0.00868178882789794
external_lung,seed42_main,source_disjoint,0,random_label,31,0.003499354213755357
external_lung,seed42_main,source_disjoint,0,random_label,32,0.022134323538908596
external_lung,seed42_main,source_disjoint,0,random_label,33,-0.0033042729523194425
external_lung,seed42_main,source_disjoint,0,random_label,34,-0.0010843827359809932
external_lung,seed42_main,source_disjoint,0,random_label,35,0.012463674523732649
external_lung,seed42_main,source_disjoint,0,random_label,36,0.021584059842858605
external_lung,seed42_main,source_disjoint,0,random_label,37,0.0083844580777096
external_lung,seed42_main,source_disjoint,0,random_label,38,-0.00917420083952214
external_lung,seed42_main,source_disjoint,0,random_label,39,0.011386018727801095
external_lung,seed42_main,source_disjoint,0,random_label,40,-0.004855505327736487
external_lung,seed42_main,source_disjoint,0,random_label,41,-0.005868582499192809
external_lung,seed42_main,source_disjoint,0,random_label,42,0.018987460983747706
external_lung,seed42_main,source_disjoint,0,random_label,43,0.01665052201054784
external_lung,seed42_main,source_disjoint,0,random_label,44,0.007122484124421402
external_lung,seed42_main,source_disjoint,0,random_label,45,0.023463566892691856
external_lung,seed42_main,source_disjoint,0,random_label,46,-0.0010292218275751441
external_lung,seed42_main,source_disjoint,0,random_label,47,0.0067901732859756425
external_lung,seed42_main,source_disjoint,0,random_label,48,0.017749704014637824
external_lung,seed42_main,source_disjoint,0,random_label,49,0.011505758260682453
external_lung,seed42_main,source_disjoint,0,random_label,50,-0.010773867183295649
external_lung,seed42_main,source_disjoint,0,random_label,51,0.008880906253363463
external_lung,seed42_main,source_disjoint,0,random_label,52,-0.0010076956194167153
external_lung,seed42_main,source_disjoint,0,random_label,53,2.287159616837231e-05
external_lung,seed42_main,source_disjoint,0,random_label,54,0.005751533742331283
external_lung,seed42_main,source_disjoint,0,random_label,55,-0.006776719405876541
external_lung,seed42_main,source_disjoint,0,random_label,56,-0.002807824776665524
external_lung,seed42_main,source_disjoint,0,random_label,57,0.007563771391669416
external_lung,seed42_main,source_disjoint,0,random_label,58,-0.001785329889140097
external_lung,seed42_main,source_disjoint,0,random_label,59,0.014870573673447407
external_lung,seed42_main,source_disjoint,0,random_label,60,0.015949574857388904
