null_kind,domain,split_regime,perm_idx,null_delta_auc
curvature_shuffle_within_geodesic_bins,lung,source_disjoint,4,0.006688176379646582
curvature_shuffle_within_geodesic_bins,lung,source_disjoint,5,0.009410499428648245
curvature_shuffle_within_geodesic_bins,lung,source_disjoint,6,0.010250722591920391
curvature_shuffle_within_geodesic_bins,lung,source_disjoint,7,0.007494790616387803
curvature_shuffle_within_geodesic_bins,lung,source_disjoint,8,0.006679774148013684
curvature_shuffle_within_geodesic_bins,lung,source_disjoint,9,-0.0025710828796128293
curvature_shuffle_within_geodesic_bins,lung,source_disjoint,10,0.011057336828661835
curvature_shuffle_within_geodesic_bins,lung,source_disjoint,11,0.02219869597365065
curvature_shuffle_within_geodesic_bins,lung,source_disjoint,12,0.013569604086845488
curvature_shuffle_within_geodesic_bins,lung,source_disjoint,13,0.0066125562949520544
curvature_shuffle_within_geodesic_bins,lung,source_disjoint,14,0.014829938831753764
curvature_shuffle_within_geodesic_bins,lung,source_disjoint,15,-0.005335417086778094
curvature_shuffle_within_geodesic_bins,lung,source_disjoint,16,-0.006142031323519426
curvature_shuffle_within_geodesic_bins,lung,source_disjoint,17,0.004671640787793363
curvature_shuffle_within_geodesic_bins,lung,source_disjoint,18,0.016333938294010975
curvature_shuffle_within_geodesic_bins,lung,source_disjoint,19,0.00625126033474499
curvature_shuffle_within_geodesic_bins,lung,source_disjoint,20,0.017829535524635398
curvature_shuffle_within_geodesic_bins,lung,source_disjoint,21,0.01768669758687924
curvature_shuffle_within_geodesic_bins,lung,source_disjoint,22,0.019619210862405145
curvature_shuffle_within_geodesic_bins,lung,source_disjoint,23,0.012057202392955602
curvature_shuffle_within_geodesic_bins,lung,source_disjoint,24,0.007032667876588072
curvature_shuffle_within_geodesic_bins,lung,source_disjoint,25,0.01824124487463885
curvature_shuffle_within_geodesic_bins,lung,source_disjoint,26,0.011477448410297963
curvature_shuffle_within_geodesic_bins,lung,source_disjoint,27,0.013964508973583478
curvature_shuffle_within_geodesic_bins,lung,source_disjoint,28,0.004839685420447659
curvature_shuffle_within_geodesic_bins,lung,source_disjoint,29,0.014737514283793773
curvature_shuffle_within_geodesic_bins,lung,source_disjoint,30,0.015560932983800568
curvature_shuffle_within_geodesic_bins,lung,source_disjoint,31,0.010032264569469707
curvature_shuffle_within_geodesic_bins,lung,target_disjoint,0,0.020218836534041773
curvature_shuffle_within_geodesic_bins,lung,target_disjoint,1,0.0035986950526351036
curvature_shuffle_within_geodesic_bins,lung,target_disjoint,2,0.021676251975919048
curvature_shuffle_within_geodesic_bins,lung,target_disjoint,3,0.009658180024439744
curvature_shuffle_within_geodesic_bins,lung,target_disjoint,4,0.016664985033464474
curvature_shuffle_within_geodesic_bins,lung,target_disjoint,5,0.01934438726891541
curvature_shuffle_within_geodesic_bins,lung,target_disjoint,6,0.026721151582416836
curvature_shuffle_within_geodesic_bins,lung,target_disjoint,7,0.02039821074227277
curvature_shuffle_within_geodesic_bins,lung,target_disjoint,8,0.02391282413479967
curvature_shuffle_within_geodesic_bins,lung,target_disjoint,9,0.012006861063464824
curvature_shuffle_within_geodesic_bins,lung,target_disjoint,10,0.01776365205887953
curvature_shuffle_within_geodesic_bins,lung,target_disjoint,11,0.015033800827363386
curvature_shuffle_within_geodesic_bins,lung,target_disjoint,12,0.01105393558223744
curvature_shuffle_within_geodesic_bins,lung,target_disjoint,13,0.02871108420497992
curvature_shuffle_within_geodesic_bins,lung,target_disjoint,14,0.02196773506429439
curvature_shuffle_within_geodesic_bins,lung,target_disjoint,15,0.022404959696857518
