domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_sbc_index,auc_directed_geodesic_baseline,delta_auc_sbc_index_minus_baseline,mean_edge_bridge,mean_edge_triangle_close_frac,mean_sbc_index,q95_null_delta_auc,null_gap_q95_delta_auc,p_endpoint_upper,p_feature_upper,p_label_upper,p_best_upper
immune,seed42_main,source_disjoint,7,953,240,0.838987260402057,0.8779219261337072,-0.038934665731650275,9.521077783698653,0.3869359916054564,-5.778285626590531e-17,0.004957778167367928,-0.0438924438990182,1.0,0.88,1.0,0.88
immune,seed42_main,source_disjoint,11,953,240,0.8629119915848528,0.895617110799439,-0.03270511921458619,9.728447922954299,0.24239244491080797,0.0,0.004856679523141619,-0.0375617987377278,0.64,0.28,1.0,0.28
immune,seed42_main,target_disjoint,0,1111,276,0.8560921634990888,0.8718476091295669,-0.01575544563047815,10.26111466604978,0.31683168316831684,7.674629009109993e-17,0.006839473227458109,-0.02259491885793626,0.96,0.12,1.0,0.12
immune,seed42_main,target_disjoint,3,1111,276,0.8572376985160115,0.8767204720992797,-0.01948277358326822,9.913201215840934,0.31683168316831684,-2.622164911445914e-16,0.007094832074980501,-0.02657760565824872,1.0,0.44,1.0,0.44
immune,seed42_main,target_disjoint,7,1111,276,0.8551288726894037,0.8777097977957129,-0.022580925106309158,9.161163042136906,0.31683168316831684,1.9826124940200814e-16,0.00601557754057103,-0.028596502646880188,0.84,0.4,1.0,0.4
immune,seed42_main,target_disjoint,11,1111,276,0.862596546038358,0.8932265902976656,-0.0306300442593076,9.470915695829516,0.4487761276127613,4.476866921980829e-16,0.006758982035928086,-0.03738902629523568,0.92,0.32,1.0,0.32
lung,seed42_main,source_disjoint,0,690,342,0.7603011359817167,0.7754755663104119,-0.015174430328695254,10.261392075911417,0.36086956521739133,4.942905987896349e-16,0.007339349331182461,-0.022513779659877716,0.68,0.08,1.0,0.08
lung,seed42_main,source_disjoint,3,690,342,0.7461769846071117,0.7649979834644082,-0.01882099885729649,10.093975840901859,0.46158413848631236,1.0297720808117394e-16,0.0018484909591987302,-0.020669489816495218,1.0,0.04,1.0,0.04
lung,seed42_main,source_disjoint,7,690,342,0.7696108086307725,0.7849616858237547,-0.015350877192982226,9.345165648271543,0.36086956521739133,2.6774074101105226e-16,0.005790818041271701,-0.021141695234253927,0.56,0.04,1.0,0.04
lung,seed42_main,source_disjoint,11,690,342,0.7724339584593668,0.8004974121126572,-0.028063453653290438,9.048814852755488,0.36086956521739133,-7.208404565682175e-17,0.007828779323788412,-0.03589223297707885,0.88,0.04,1.0,0.04
lung,seed42_main,target_disjoint,0,879,561,0.7799919281606296,0.8092467404343098,-0.02925481227368021,9.999890019258576,0.36217766401213497,-3.2738317176659905e-16,0.00573661139698879,-0.034991423670669,1.0,0.28,1.0,0.28
lung,seed42_main,target_disjoint,3,879,561,0.7938541911904842,0.8188600769066918,-0.025005885716207654,9.679581281599761,0.2354948805460751,3.799261499513619e-16,0.00648942252715835,-0.03149530824336601,0.72,0.04,1.0,0.04
lung,seed42_main,target_disjoint,7,879,561,0.7923911703045998,0.8188937095707352,-0.026502539266135328,9.144823256327898,0.2354948805460751,9.70024212641775e-17,0.00489579479590575,-0.03139833406204108,0.92,0.12,1.0,0.12
lung,seed42_main,target_disjoint,11,879,561,0.8059171066940213,0.8340284083902286,-0.028111301696207347,8.647566454398172,0.2354948805460751,1.5762893455428844e-16,0.004017141447774032,-0.03212844314398138,1.0,0.56,1.0,0.56
