domain,seed_tag,split_regime,layer,n_edges,n_positive,n_unique_genes,pca_dim,knn_k,used_component_bridging,coexp_missing_fraction,auc_baseline_covariates,auc_with_diffusion,delta_auc_diffusion_incremental,logloss_baseline_covariates,logloss_with_diffusion,gain_logloss_diffusion_incremental,null_mean_delta_auc,null_mean_gain_logloss,p_delta_auc_upper,p_gain_logloss_upper
external_lung,seed43,target_disjoint,3,1708,1007,260,24,24,True,0.0,0.8489050257328514,0.8505582180088878,0.0016531922760363305,0.4754015281431903,0.47356820125209337,0.0018333268910969425,0.0015274674992598852,0.002192763590719596,0.43209876543209874,0.6419753086419753
external_lung,seed43,target_disjoint,7,1708,1007,260,24,24,True,0.0,0.8490452708359599,0.849801744422424,0.0007564735864640237,0.4753556875169245,0.4741738464835131,0.0011818410334114016,0.0007141698552359174,0.0010021736970125179,0.3333333333333333,0.30864197530864196
external_lung,seed43,target_disjoint,11,1708,1007,260,24,24,True,0.0,0.8491600168294122,0.850253645310218,0.0010936284808057417,0.47528361999839536,0.4742418972138437,0.0010417227845516686,0.0008190880668418222,0.0013332023736373551,0.30864197530864196,0.48148148148148145
external_lung,seed44,source_disjoint,0,1219,484,260,24,24,True,0.0,0.8048518580986113,0.808076123011188,0.0032242649125767686,0.5124425615301704,0.5097099365932783,0.0027326249368920807,0.0021384648900883625,0.0018138229420915837,0.20987654320987653,0.24691358024691357
external_lung,seed44,source_disjoint,3,1219,484,260,24,24,True,0.0,0.8046438410074774,0.8101506718389836,0.00550683083150616,0.5125385078970123,0.5081039157807612,0.004434592116251079,0.0019805194805194216,0.00159921564059812,0.012345679012345678,0.037037037037037035
external_lung,seed44,source_disjoint,7,1219,484,260,24,24,True,0.0,0.8045707539214033,0.8092680047225501,0.004697250801146802,0.5125253172282773,0.5085850517437351,0.0039402654845421825,0.0021432436611007787,0.0015998911881946049,0.07407407407407407,0.08641975308641975
external_lung,seed44,source_disjoint,11,1219,484,260,24,24,True,0.0,0.8050739303986058,0.8061393152302243,0.0010653848316185544,0.5120554482120584,0.5110315037683347,0.0010239444437236678,0.0019148816551413691,0.0017003405030807037,0.7530864197530864,0.7283950617283951
external_lung,seed44,target_disjoint,0,1725,1010,260,24,24,True,0.0,0.8605400540054005,0.861064875718341,0.0005248217129405486,0.45990955916891524,0.45919693143756335,0.0007126277313518892,0.001377743543585204,0.002046960755518218,0.9506172839506173,0.9876543209876543
external_lung,seed44,target_disjoint,3,1725,1010,260,24,24,True,0.0,0.8606314477601607,0.8608280828082808,0.00019663504812017507,0.4598034833202238,0.45939286163342874,0.00041062168679506517,0.0011209236308245996,0.0017723672422609144,0.9876543209876543,0.9753086419753086
external_lung,seed44,target_disjoint,7,1725,1010,260,24,24,True,0.0,0.8605899051443605,0.860876549193381,0.0002866440490204569,0.4598578295920716,0.45951791985748547,0.00033990973458614127,0.0005296337326040998,0.0008416283685076846,0.7037037037037037,0.8148148148148148
external_lung,seed44,target_disjoint,11,1725,1010,260,24,24,True,0.0,0.8610717994876411,0.8611991968427612,0.00012739735512012906,0.4592494747919856,0.4590111202448537,0.00023835454713189153,0.0005935055043965506,0.0009668334126790107,0.9012345679012346,0.9506172839506173
immune,seed42_main,source_disjoint,0,1340,321,260,24,24,True,0.0,0.7798953833548864,0.7893512361700891,0.00945585281520267,0.4385926576106544,0.4334691016867881,0.005123555923866319,0.0027868091923240563,0.0012997765885423395,0.024691358024691357,0.024691358024691357
immune,seed42_main,source_disjoint,3,1340,321,260,24,24,True,0.0,0.7796171801197802,0.7891311193247303,0.00951393920495014,0.43882577321257366,0.43353515207068816,0.005290621141885499,0.0025304265681032586,0.0012948615131710335,0.012345679012345678,0.012345679012345678
immune,seed42_main,source_disjoint,7,1340,321,260,24,24,True,0.0,0.7803386742240116,0.7877492746844226,0.0074106004604109765,0.4385343819122207,0.433986033178502,0.004548348733718732,0.004894962992855435,0.002957910246434093,0.12345679012345678,0.13580246913580246
immune,seed42_main,source_disjoint,11,1340,321,260,24,24,True,0.0,0.7793726058471594,0.7825612429264535,0.0031886370792940655,0.43895627130916176,0.4372101927316459,0.0017460785775158527,0.002612244305240928,0.0010843393898997584,0.3333333333333333,0.2222222222222222
immune,seed42_main,target_disjoint,0,1465,357,227,24,24,True,0.0,0.7828853563085884,0.7858078249350281,0.002922468626439745,0.4369540365867908,0.4351621038644402,0.0017919327223505643,0.002517342677143124,0.0012980405589868966,0.3333333333333333,0.20987654320987653
immune,seed42_main,target_disjoint,3,1465,357,227,24,24,True,0.0,0.7826401318650205,0.7848446237700857,0.00220449190506522,0.4369906975908512,0.43516164720298334,0.0018290503878678477,0.002145208263810823,0.0011740449297585338,0.3950617283950617,0.20987654320987653
immune,seed42_main,target_disjoint,7,1465,357,227,24,24,True,0.0,0.7842404109658303,0.7909727067722396,0.0067322958064093275,0.43621734857625977,0.4327097074366724,0.0035076411395873475,0.004051701908200157,0.0028183090506576206,0.16049382716049382,0.25925925925925924
immune,seed42_main,target_disjoint,11,1465,357,227,24,24,True,0.0,0.7810019314585039,0.7833985579791483,0.0023966265206443182,0.43733547745833123,0.43606264245127674,0.0012728350070544958,0.0027291015684252212,0.0013549648255502208,0.49382716049382713,0.48148148148148145
immune,seed43,source_disjoint,0,1296,319,260,24,24,True,0.0,0.8149603899083303,0.8245155825362651,0.009555192627934805,0.4233659133305958,0.4172332569264089,0.00613265640418692,0.0036257512120465157,0.0029867808165340405,0.012345679012345678,0.024691358024691357
immune,seed43,source_disjoint,3,1296,319,260,24,24,True,0.0,0.8141133211192859,0.8236460535899351,0.00953273247064923,0.42500591208269944,0.4176431969321379,0.007362715150561527,0.0027605939749023507,0.0033647692039178874,0.012345679012345678,0.012345679012345678
immune,seed43,source_disjoint,7,1296,319,260,24,24,True,0.0,0.8142833765958744,0.8276503787745096,0.01336700217863529,0.42556282071097157,0.4133171114650154,0.012245709245956193,0.003960086696207152,0.004404396950484916,0.012345679012345678,0.012345679012345678
immune,seed43,source_disjoint,11,1296,319,260,24,24,True,0.0,0.814665199269724,0.8253016880412497,0.010636488771525676,0.42604834349121734,0.41751860852031,0.008529734970907366,0.005355704719520758,0.004120887221151055,0.024691358024691357,0.012345679012345678
immune,seed43,target_disjoint,0,1465,358,228,24,24,True,0.0,0.7893647837781915,0.7959152775885301,0.006550493810338565,0.4375022018617959,0.43474912880546285,0.002753073056333044,0.0047389832604099544,0.0018411575683710518,0.13580246913580246,0.12345679012345678
immune,seed43,target_disjoint,3,1465,358,228,24,24,True,0.0,0.7889787184650244,0.7981029810298103,0.009124262564785823,0.437916401759932,0.4341173396246222,0.0037990621353098386,0.00484985087281046,0.0019953089533047133,0.04938271604938271,0.06172839506172839
immune,seed43,target_disjoint,7,1465,358,228,24,24,True,0.0,0.7884639647141352,0.7949210963245572,0.006457131610422051,0.4384755387254797,0.4355850564702975,0.0028904822551821807,0.006229182752721255,0.002380063578679496,0.4074074074074074,0.2345679012345679
immune,seed43,target_disjoint,11,1465,358,228,24,24,True,0.0,0.7874344572123562,0.7933465554394836,0.00591209822712746,0.4391723244785567,0.43618623097679954,0.002986093501757159,0.005152016371187863,0.0024131443164430713,0.32098765432098764,0.19753086419753085
immune,seed44,source_disjoint,0,1289,319,260,24,24,True,0.0,0.7962640985037004,0.8019164269786381,0.0056523284749376845,0.43121180987795954,0.4269979265865526,0.004213883291406928,0.0027781323724266798,0.0012352197263582206,0.08641975308641975,0.024691358024691357
immune,seed44,source_disjoint,3,1289,319,260,24,24,True,0.0,0.7990886468668197,0.8164722231199302,0.01738357625311049,0.42904360627866683,0.4174582371816407,0.011585369097026121,0.00325570403645406,0.0031358567978286333,0.012345679012345678,0.012345679012345678
immune,seed44,source_disjoint,7,1289,319,260,24,24,True,0.0,0.8039976731409366,0.818576091523123,0.014578418382186431,0.4271182232939705,0.41657893489772646,0.010539288396244018,0.0028703180040719283,0.0017587652951246758,0.012345679012345678,0.012345679012345678
immune,seed44,source_disjoint,11,1289,319,260,24,24,True,0.0,0.7959441553824774,0.7984164431373816,0.0024722877549041566,0.43171018475467093,0.4299975550656339,0.0017126296890370152,0.0035040235271305608,0.0016846918695618573,0.6419753086419753,0.38271604938271603
immune,seed44,target_disjoint,0,1467,358,228,24,24,True,0.0,0.8011017021726755,0.8044894237598924,0.0033877215872168964,0.4321889984110725,0.4293255391241545,0.002863459286918002,0.002180121630539439,0.001378647559940046,0.18518518518518517,0.08641975308641975
immune,seed44,target_disjoint,3,1467,358,228,24,24,True,0.0,0.8065094629516752,0.8131539310164173,0.0066444680647420595,0.4281159578199455,0.42332231830563927,0.004793639514306225,0.004870290563243315,0.003298529373082675,0.16049382716049382,0.14814814814814814
immune,seed44,target_disjoint,7,1467,358,228,24,24,True,0.0,0.7999858949881871,0.8046959614328677,0.004710066444680638,0.4329021171897168,0.4298275620911522,0.0030745550985645798,0.0022776288215766312,0.0014205783728023307,0.07407407407407407,0.04938271604938271
immune,seed44,target_disjoint,11,1467,358,228,24,24,True,0.0,0.79909425674144,0.8013636523920589,0.0022693956506188995,0.4331456274617887,0.43193073791423514,0.0012148895475535548,0.0019225949695483608,0.0013654333571801118,0.345679012345679,0.48148148148148145
lung,seed42_main,source_disjoint,0,1152,510,259,24,24,True,0.0,0.8064198888278052,0.8087135788894997,0.0022936900616944422,0.5182474882683162,0.5168574081867205,0.0013900800815956904,0.0035977490684747718,0.0033777280963061414,0.7407407407407407,0.9012345679012346
lung,seed42_main,source_disjoint,3,1152,510,259,24,24,True,0.0,0.806728361126382,0.8106987966526175,0.0039704355262354385,0.5182059797436029,0.5146225987203513,0.0035833810232516194,0.002428646692321813,0.002002444649802845,0.14814814814814814,0.08641975308641975
lung,seed42_main,source_disjoint,7,1152,510,259,24,24,True,0.0,0.80693909962739,0.8115906175554334,0.004651517928043414,0.5179876550794925,0.5138828704768318,0.004104784602660727,0.0012084631360331805,0.001272798984262434,0.037037037037037035,0.06172839506172839
lung,seed42_main,source_disjoint,11,1152,510,259,24,24,True,0.0,0.8092175187832142,0.8129863783519639,0.0037688595687496163,0.5159172178657718,0.512358352588056,0.0035588652777158725,0.0017799004336937249,0.0019800992527305938,0.07407407407407407,0.07407407407407407
lung,seed42_main,target_disjoint,0,1500,831,259,24,24,True,0.0,0.8444037925024148,0.8465964791101181,0.0021926866077033313,0.4899955942708319,0.4869326805229562,0.0030629137478757062,0.0012424474627612287,0.0015800143708838803,0.12345679012345678,0.12345679012345678
lung,seed42_main,target_disjoint,3,1500,831,259,24,24,True,0.0,0.8444577552573214,0.8453409456792922,0.0008831904219708253,0.48991834692526565,0.4886321222761943,0.0012862246490713547,0.0006879351871338701,0.0009486017603301921,0.30864197530864196,0.32098765432098764
lung,seed42_main,target_disjoint,7,1500,831,259,24,24,True,0.0,0.8444271763628743,0.8453481407132797,0.00092096435040534,0.48992425704366377,0.4886861794027972,0.0012380776408665861,0.0007878787061170415,0.0011550932837522108,0.32098765432098764,0.35802469135802467
lung,seed42_main,target_disjoint,11,1500,831,259,24,24,True,0.0,0.8443282446455457,0.8450171691498527,0.0006889245043070202,0.48989308485956384,0.48894188385972565,0.0009512009998381976,0.001062751488922327,0.0013426438534441816,0.5555555555555556,0.5185185185185185
lung,seed43,source_disjoint,0,1206,504,259,24,24,True,0.0,0.8212731198842309,0.8216546827657938,0.0003815628815628802,0.498039176215832,0.4971162254795868,0.0009229507362452094,0.0021113499412111353,0.002158666624541434,0.9753086419753086,0.8518518518518519
lung,seed43,source_disjoint,3,1206,504,259,24,24,True,0.0,0.8207982860760639,0.8235455388233166,0.0027472527472527375,0.4978985776027123,0.4960959742302176,0.00180260337249466,0.002507751379279134,0.0022282442185481517,0.41975308641975306,0.5555555555555556
lung,seed43,source_disjoint,7,1206,504,259,24,24,True,0.0,0.8215698910143354,0.8236699000587889,0.0021000090444535102,0.4972735932010943,0.4956418001190745,0.0016317930820198279,0.0019296129539185484,0.0017874027734179037,0.3950617283950617,0.43209876543209874
lung,seed43,source_disjoint,11,1206,504,259,24,24,True,0.0,0.8209593904038348,0.8221182110070999,0.0011588206032651094,0.497897425135981,0.4971802584840109,0.0007171666519701358,0.001953778603084212,0.0015860192007874732,0.6790123456790124,0.7160493827160493
lung,seed43,target_disjoint,0,1424,772,260,24,24,True,0.0,0.8276039845513208,0.8279715264312281,0.00036754187990728493,0.510365557503243,0.5098534015121724,0.0005121559910705731,0.0006871294780507617,0.0010020615796784717,0.5679012345679012,0.6666666666666666
lung,seed43,target_disjoint,3,1424,772,260,24,24,True,0.0,0.8276516656600655,0.8277231873231826,7.152166311708008e-05,0.5103754031219931,0.5099898928873574,0.0003855102346357331,0.0009183331876410031,0.0013299846597390461,0.9629629629629629,0.9135802469135802
lung,seed43,target_disjoint,7,1424,772,260,24,24,True,0.0,0.8283460218061605,0.8296582456530723,0.0013122238469118752,0.5096563715842078,0.5079826438475571,0.0016737277366507541,0.0009047987062525172,0.001213707638255905,0.20987654320987653,0.24691358024691357
lung,seed43,target_disjoint,11,1424,772,260,24,24,True,0.0,0.8277172271845894,0.8281562907276137,0.000439063543024254,0.510353699766605,0.5098089277867083,0.0005447719798967743,0.0010300361184399378,0.00150415526079182,0.7777777777777778,0.9259259259259259
lung,seed44,source_disjoint,0,1241,517,257,24,24,True,0.0,0.8038700749115701,0.8047196426472317,0.0008495677356615827,0.5197361615655014,0.5195344990572969,0.00020166250820452536,0.001483871571005707,0.0012708134918794315,0.6419753086419753,0.9506172839506173
lung,seed44,source_disjoint,3,1241,517,257,24,24,True,0.0,0.8039983115509153,0.8046047639911516,0.0006064524402362714,0.5201227835538014,0.5194816814442826,0.0006411021095187319,0.0013164960406937779,0.001221343220457087,0.654320987654321,0.654320987654321
lung,seed44,source_disjoint,7,1241,517,257,24,24,True,0.0,0.8041372345768725,0.8047837609669042,0.0006465263900317098,0.5200684478967963,0.5191858354668629,0.0008826124299333715,0.001366154343481897,0.0013615870247206396,0.7654320987654321,0.6790123456790124
lung,seed44,source_disjoint,11,1241,517,257,24,24,True,0.0,0.8037338234822659,0.8057989676950533,0.002065144212787473,0.5200522147910337,0.5183241649265121,0.0017280498645215747,0.003037571999529881,0.002246576513156397,0.691358024691358,0.6049382716049383
lung,seed44,target_disjoint,0,1428,750,259,24,24,True,0.0,0.8392035398230089,0.839402163225172,0.000198623402163145,0.49628831505625903,0.49537644288614746,0.0009118721701115717,0.0009930186823991828,0.0015071239119670656,0.9753086419753086,0.8024691358024691
lung,seed44,target_disjoint,3,1428,750,259,24,24,True,0.0,0.8391012782694199,0.8395408062930187,0.00043952802359881193,0.49646645000282463,0.4956080725466359,0.0008583774561887192,0.0007894788593902927,0.0010640472329955582,0.654320987654321,0.5802469135802469
lung,seed44,target_disjoint,7,1428,750,259,24,24,True,0.0,0.8391760078662733,0.8409105211406095,0.001734513274336158,0.4963091879853813,0.4940378192450401,0.0022713687403412286,0.0017062561455260846,0.0022503586002849373,0.38271604938271603,0.4074074074074074
lung,seed44,target_disjoint,11,1428,750,259,24,24,True,0.0,0.8392586037364799,0.8392182890855457,-4.031465093412567e-05,0.49651524089642435,0.4961390683064876,0.00037617258993677405,0.0005548672566371551,0.0010832262995763605,0.8888888888888888,0.8641975308641975
