perm_idx,domain,null_cycle_return_rate,null_edge_auc
13,lung,0.03461538461538462,0.589150674906489
14,external_lung,0.015384615384615385,0.5796347615233064
14,immune,0.015384615384615385,0.5980734951323187
14,lung,0.015384615384615385,0.5890219276847184
15,external_lung,0.015384615384615385,0.5795075667366689
15,immune,0.015384615384615385,0.5980792083733261
15,lung,0.015384615384615385,0.589096465549954
16,external_lung,0.03076923076923077,0.5796455866115309
16,immune,0.03076923076923077,0.5980632112985054
16,lung,0.03076923076923077,0.5892455412804251
17,external_lung,0.026923076923076925,0.5796320552512503
17,immune,0.026923076923076925,0.5980786370492253
17,lung,0.026923076923076925,0.589120182143438
18,external_lung,0.015384615384615385,0.5797375998614388
18,immune,0.015384615384615385,0.5980940627999451
18,lung,0.015384615384615385,0.5890863012956037
19,external_lung,0.011538461538461539,0.5794534412955465
19,immune,0.011538461538461539,0.5980997760409525
19,lung,0.011538461538461539,0.5890693608716864
20,external_lung,0.0423076923076923,0.5792964775162917
20,immune,0.0423076923076923,0.5980637826226061
20,lung,0.0423076923076923,0.5891811676695398
21,external_lung,0.015384615384615385,0.5797592500378878
21,immune,0.015384615384615385,0.5980626399744047
21,lung,0.015384615384615385,0.5892150485173742
22,external_lung,0.026923076923076925,0.5795427482733984
22,immune,0.026923076923076925,0.5980723524841172
22,lung,0.026923076923076925,0.5890863012956036
23,external_lung,0.026923076923076925,0.5795373357292861
23,immune,0.026923076923076925,0.598087778234837
23,lung,0.026923076923076925,0.589252317449992
24,external_lung,0.05769230769230769,0.5795508670895668
24,immune,0.05769230769230769,0.5981014900132547
24,lung,0.05769230769230769,0.5891032417195208
25,external_lung,0.023076923076923078,0.579464266383771
25,immune,0.023076923076923078,0.5980912061794414
25,lung,0.023076923076923078,0.5889812706673172
26,external_lung,0.023076923076923078,0.5793587217735824
26,immune,0.023076923076923078,0.5980769230769231
26,lung,0.023076923076923078,0.5892387651108582
27,external_lung,0.019230769230769232,0.5795021541925567
27,immune,0.019230769230769232,0.5980826363179305
27,lung,0.019230769230769232,0.5891303463977883
28,external_lung,0.026923076923076925,0.579948689081816
28,immune,0.026923076923076925,0.5980563554092966
28,lung,0.026923076923076925,0.5892184366021576
29,external_lung,0.007692307692307693,0.5795400420013423
29,immune,0.007692307692307693,0.5980729238082179
29,lung,0.007692307692307693,0.5890863012956036
30,external_lung,0.026923076923076925,0.5792179956266643
30,immune,0.026923076923076925,0.5980757804287216
30,lung,0.026923076923076925,0.5891167940586546
31,external_lung,0.019230769230769232,0.5798025503907858
31,immune,0.019230769230769232,0.5980443576031811
31,lung,0.019230769230769232,0.5890829132108202
32,external_lung,0.03461538461538462,0.5796455866115309
32,immune,0.03461538461538462,0.5980883495589377
32,lung,0.03461538461538462,0.589198108093457
33,external_lung,0.026923076923076925,0.5799784580744333
33,immune,0.026923076923076925,0.5980654965949084
33,lung,0.026923076923076925,0.5890829132108202
34,external_lung,0.03076923076923077,0.57948591656022
34,immune,0.03076923076923077,0.5980529274646922
34,lung,0.03076923076923077,0.5890930774651706
35,external_lung,0.015384615384615385,0.5795535733616228
35,immune,0.015384615384615385,0.5980729238082179
35,lung,0.015384615384615385,0.5891472868217055
36,external_lung,0.03461538461538462,0.5798918573686376
36,immune,0.03461538461538462,0.5980580693815988
36,lung,0.03461538461538462,0.5891303463977883
37,external_lung,0.019230769230769232,0.5796212301630258
37,immune,0.019230769230769232,0.5980849216143334
37,lung,0.019230769230769232,0.5891574510760558
38,external_lung,0.015384615384615385,0.5796293489791942
38,immune,0.015384615384615385,0.598081493669729
38,lung,0.015384615384615385,0.5891777795847564
39,external_lung,0.026923076923076925,0.5795616921777913
39,immune,0.026923076923076925,0.5980769230769232
39,lung,0.026923076923076925,0.5892319889412914
40,external_lung,0.0038461538461538464,0.5796239364350819
40,immune,0.0038461538461538464,0.5980746377805202
40,lung,0.0038461538461538464,0.5891642272456226
41,external_lung,0.019230769230769232,0.5794236723029292
41,immune,0.019230769230769232,0.5980757804287216
41,lung,0.019230769230769232,0.5891472868217054
42,external_lung,0.03461538461538462,0.5795914611704085
42,immune,0.03461538461538462,0.5980694958636135
42,lung,0.03461538461538462,0.5892861982978261
43,external_lung,0.019230769230769232,0.5799541016259283
43,immune,0.019230769230769232,0.5980660679190091
43,lung,0.019230769230769232,0.589150674906489
44,external_lung,0.019230769230769232,0.5795914611704085
44,immune,0.019230769230769232,0.5980700671877143
44,lung,0.019230769230769232,0.5891506749064889
45,external_lung,0.023076923076923078,0.5799811643464894
45,immune,0.023076923076923078,0.5980837789661319
45,lung,0.023076923076923078,0.5892421531956415
46,external_lung,0.015384615384615385,0.5794696789278833
46,immune,0.015384615384615385,0.5980603546780018
46,lung,0.015384615384615385,0.5892048842630238
47,external_lung,0.026923076923076925,0.5799649267141527
47,immune,0.026923076923076925,0.5980803510215275
47,lung,0.026923076923076925,0.5890761370412534
48,external_lung,0.0038461538461538464,0.5797403061334949
48,immune,0.0038461538461538464,0.5980494995200878
48,lung,0.0038461538461538464,0.5890863012956036
49,external_lung,0.019230769230769232,0.5798377319275152
49,immune,0.019230769230769232,0.5980826363179303
49,lung,0.019230769230769232,0.5891405106521386
50,external_lung,0.03461538461538462,0.5795400420013422
50,immune,0.03461538461538462,0.5980780657251246
50,lung,0.03461538461538462,0.5893133029760937
51,external_lung,0.026923076923076925,0.5796753556041481
51,immune,0.026923076923076925,0.5980609260021024
51,lung,0.026923076923076925,0.5890727489564699
52,external_lung,0.015384615384615385,0.5794128472147048
52,immune,0.015384615384615385,0.5980752091046209
52,lung,0.015384615384615385,0.5890659727869031
53,external_lung,0.023076923076923078,0.5799649267141527
53,immune,0.023076923076923078,0.5980517848164907
53,lung,0.023076923076923078,0.5891777795847564
54,external_lung,0.03461538461538462,0.5796158176189136
54,immune,0.03461538461538462,0.5980689245395128
54,lung,0.03461538461538462,0.5891303463977884
55,external_lung,0.007692307692307693,0.5798214942951785
55,immune,0.007692307692307693,0.5980643539467069
55,lung,0.007692307692307693,0.5892489293652086
56,external_lung,0.026923076923076925,0.5794777977440515
56,immune,0.026923076923076925,0.5980769230769231
56,lung,0.026923076923076925,0.5890456442782025
57,external_lung,0.026923076923076925,0.579258589707506
57,immune,0.026923076923076925,0.5980603546780017
57,lung,0.026923076923076925,0.5891879438391066
58,external_lung,0.023076923076923078,0.5795292169131178
58,immune,0.023076923076923078,0.5980906348553408
58,lung,0.023076923076923078,0.5889880468368841
59,external_lung,0.023076923076923078,0.579694299508541
59,immune,0.023076923076923078,0.5980952054481465
59,lung,0.023076923076923078,0.5891472868217055
60,external_lung,0.019230769230769232,0.5796401740674186
60,immune,0.019230769230769232,0.5980843502902327
60,lung,0.019230769230769232,0.5891235702282214
61,external_lung,0.011538461538461539,0.5796049925306892
61,immune,0.011538461538461539,0.5980706385118149
61,lung,0.011538461538461539,0.5892048842630239
62,external_lung,0.015384615384615385,0.5794588538396588
