domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,selected_feature_count,mean_selected_frequency,mean_selected_sign_agreement,auc_h70_baseline,auc_stability_selected_blend,delta_auc_stability_selected_blend_minus_h70,delta_auc_random_subset_minus_h70_mean,q95_null_delta_auc,null_gap_q95_delta_auc,p_random_subset_upper,p_feature_shuffle_upper,p_endpoint_swap_upper,p_label_shuffle_upper,p_best_upper
external_lung,seed43,source_disjoint,7,240,116,1,1.0,1.0,0.867491657397108,0.9231090100111234,0.05561735261401546,0.0013035317018909032,0.027878197997775314,0.027739154616240144,0.2,0.2,0.2,0.2,0.2
external_lung,seed43,source_disjoint,11,240,116,2,0.9166666666666667,1.0,0.8833426028921023,0.9539418798665183,0.07059927697441604,0.010758481646273715,0.06216108175750834,0.008438195216907696,0.2,0.2,0.2,0.2,0.2
external_lung,seed43,target_disjoint,0,240,159,1,1.0,1.0,0.8891994720086964,0.9329140461215935,0.04371457411289703,-0.0037658203276653146,0.01513122136811855,0.02858335274477848,0.2,0.2,0.2,0.4,0.2
external_lung,seed43,target_disjoint,3,240,159,1,1.0,1.0,0.8956052488547248,0.9555477909775604,0.05994254212283556,-0.0032611227579781576,0.055099386598338365,0.0048431555244971974,0.2,0.2,0.2,0.4,0.2
external_lung,seed43,target_disjoint,7,240,159,2,1.0,1.0,0.9055827315785386,0.9457255998136501,0.040142868235111484,0.009861014053886313,0.047558040220514144,-0.00741517198540266,0.2,0.2,0.2,0.4,0.2
external_lung,seed43,target_disjoint,11,240,159,2,0.8333333333333333,1.0,0.8770867303362063,0.9360198773196677,0.058933146983461415,-0.004445220902244057,0.08610916996661225,-0.027176022983150833,0.2,0.2,0.2,0.6,0.2
external_lung,seed44,source_disjoint,0,240,111,1,1.0,1.0,0.8738040365947343,0.9400097772190795,0.06620574062434526,0.018681472169844254,0.07520601997346182,-0.009000279349116569,0.4,0.2,0.2,0.4,0.2
external_lung,seed44,source_disjoint,3,240,111,2,1.0,1.0,0.8664012850059362,0.9231789929464348,0.056777707940498634,0.010091486835672903,0.02123053285843976,0.035547175082058874,0.2,0.2,0.2,0.2,0.2
external_lung,seed44,source_disjoint,7,240,111,1,1.0,1.0,0.8944758712200572,0.9421747328724073,0.047698861652350044,0.0030902996019275264,0.07036105873315171,-0.022662197080801666,0.2,0.2,0.2,0.6,0.2
external_lung,seed44,source_disjoint,11,240,111,2,0.9583333333333333,1.0,0.8408408408408408,0.9267057755429848,0.08586493470214407,0.025193798449612503,0.039004120399469294,0.046860814302674775,0.2,0.2,0.2,0.2,0.2
external_lung,seed44,target_disjoint,0,240,158,1,1.0,1.0,0.8536585365853658,0.9164865699289904,0.06282803334362452,0.019662704538437853,0.030757949984563132,0.03207008335906139,0.4,0.2,0.2,0.2,0.2
external_lung,seed44,target_disjoint,3,240,158,2,0.875,1.0,0.8792065452300092,0.9330811979005865,0.05387465267057734,0.012831892559431984,0.04808582895955539,0.005788823711021948,0.2,0.2,0.2,0.4,0.2
external_lung,seed44,target_disjoint,7,240,158,2,0.8333333333333333,1.0,0.8589842543995059,0.9288360605125038,0.0698518061129979,0.02477616548317399,0.07978928681691894,-0.009937480703921031,0.4,0.2,0.2,0.4,0.2
external_lung,seed44,target_disjoint,11,240,158,2,0.9166666666666667,1.0,0.83451682618092,0.9283729546156221,0.09385612843470204,0.06742050015436862,0.08930225378203147,0.00455387465267057,0.2,0.2,0.2,0.2,0.2
immune,seed42_main,source_disjoint,0,240,60,2,0.875,1.0,0.8973148148148148,0.9697222222222223,0.07240740740740748,0.01585648148148147,0.02668981481481489,0.04571759259259259,0.2,0.2,0.2,0.2,0.2
immune,seed42_main,source_disjoint,3,240,60,2,0.9583333333333333,1.0,0.8585185185185186,0.9660185185185185,0.10749999999999993,0.003344907407407366,0.03271990740740732,0.0747800925925926,0.2,0.2,0.2,0.2,0.2
immune,seed42_main,source_disjoint,7,240,60,2,0.875,1.0,0.945462962962963,0.9751851851851852,0.029722222222222205,0.007858796296296294,0.04010416666666666,-0.010381944444444458,0.4,0.2,0.2,0.6,0.2
immune,seed42_main,source_disjoint,11,240,60,2,0.9583333333333333,1.0,0.8657407407407408,0.9583333333333334,0.09259259259259256,0.06324074074074063,0.09432870370370366,-0.001736111111111105,0.6,0.2,0.2,0.2,0.2
immune,seed42_main,target_disjoint,0,240,60,2,1.0,1.0,0.9197222222222222,0.9625925925925926,0.042870370370370336,0.015856481481481444,0.021736111111111067,0.02113425925925927,0.2,0.2,0.2,0.2,0.2
immune,seed42_main,target_disjoint,3,240,60,2,1.0,1.0,0.9075925925925925,0.956388888888889,0.04879629629629645,0.009467592592592666,0.031134259259259278,0.01766203703703717,0.2,0.2,0.2,0.2,0.2
immune,seed42_main,target_disjoint,7,240,60,3,1.0,1.0,0.936574074074074,0.9668518518518519,0.030277777777777848,0.02138888888888893,0.02976851851851861,0.0005092592592592371,0.4,0.2,0.2,0.2,0.2
immune,seed42_main,target_disjoint,11,240,60,2,1.0,1.0,0.9094444444444445,0.9563888888888888,0.046944444444444344,0.043518518518518456,0.07192129629629626,-0.024976851851851917,0.8,0.2,0.2,0.4,0.2
immune,seed43,source_disjoint,0,240,61,3,1.0,1.0,0.8876270720761974,0.9661141130140122,0.07848704093781478,0.0549729828738896,0.0769988094147816,0.0014882315230331788,0.4,0.2,0.2,0.2,0.2
immune,seed43,source_disjoint,3,240,61,3,0.861111111111111,1.0,0.8861617364227493,0.975455627804744,0.08929389138199473,0.05820130048539246,0.10158897334920783,-0.0122950819672131,0.2,0.2,0.2,0.4,0.2
immune,seed43,source_disjoint,7,240,61,2,1.0,1.0,0.919131788625332,0.9781115486766188,0.0589797600512868,0.011104496748786497,0.026708031871050503,0.0322717281802363,0.2,0.2,0.2,0.2,0.2
immune,seed43,source_disjoint,11,240,61,1,1.0,1.0,0.9078670207894496,0.9609854382269438,0.053118417437494236,-0.0004808132612877103,0.027120157523582808,0.02599825991391143,0.2,0.2,0.2,0.2,0.2
immune,seed43,target_disjoint,0,240,61,2,1.0,1.0,0.9236193790640168,0.9706932869310376,0.047073907867020814,0.017252037732393144,0.06929434929938642,-0.02222044143236561,0.4,0.2,0.2,0.6,0.2
immune,seed43,target_disjoint,3,240,61,2,1.0,1.0,0.9106145251396648,0.9887352321641176,0.07812070702445284,0.04815001373752173,0.06557377049180321,0.012546936532649627,0.2,0.2,0.2,0.2,0.2
immune,seed43,target_disjoint,7,240,61,2,1.0,1.0,0.9153768660133712,0.975089293891382,0.05971242787801079,0.02396052752083519,0.051756113197179154,0.007956314680831633,0.2,0.2,0.2,0.2,0.2
immune,seed43,target_disjoint,11,240,61,2,1.0,1.0,0.8617089477058338,0.9733492078029123,0.1116402600970785,0.019003571755655285,0.08511539518270905,0.02652486491436945,0.2,0.2,0.2,0.2,0.2
immune,seed44,source_disjoint,0,240,61,1,1.0,1.0,0.9128125286198371,0.9788442165033427,0.06603168788350566,0.03656470372744747,0.04084623133986626,0.025185456543639406,0.2,0.2,0.2,0.2,0.2
immune,seed44,source_disjoint,3,240,61,2,0.9583333333333333,1.0,0.9117135268797509,0.9815917208535581,0.06987819397380712,0.06083432548768192,0.06953475593003011,0.00034343804377701126,0.4,0.2,0.2,0.2,0.2
immune,seed44,source_disjoint,7,240,61,2,0.875,1.0,0.8816741459840645,0.9760051286747871,0.0943309826907226,0.02871142045974906,0.14630460664896056,-0.05197362395823796,0.2,0.2,0.2,0.6,0.2
immune,seed44,source_disjoint,11,240,61,2,0.9166666666666667,1.0,0.8848795677259822,0.9774704643282351,0.09259089660225295,0.04345636047257079,0.07203040571480909,0.020560490887443855,0.2,0.2,0.2,0.2,0.2
immune,seed44,target_disjoint,0,240,59,1,1.0,1.0,0.9342635078190842,0.9554265380653619,0.021163030246277748,0.0023410431688360434,0.02693370165745855,-0.005770671411180803,0.2,0.2,0.2,0.4,0.2
immune,seed44,target_disjoint,3,240,59,2,1.0,1.0,0.8881917782563911,0.9743421668695569,0.08615038861316582,0.020039329525236432,0.07815572619159092,0.0079946624215749,0.2,0.2,0.2,0.4,0.2
immune,seed44,target_disjoint,7,240,59,2,1.0,1.0,0.9086056746886413,0.9640415769266786,0.05543590223803729,0.00445968723663262,0.0357711396198145,0.019664762618222795,0.2,0.2,0.2,0.2,0.2
immune,seed44,target_disjoint,11,240,59,2,0.9583333333333333,1.0,0.8430096450978556,0.9318756437868714,0.08886599868901579,0.06331351250117062,0.0858577582170616,0.0030082404719541933,0.4,0.2,0.2,0.2,0.2
lung,seed42_main,source_disjoint,0,240,119,1,1.0,1.0,0.8565178137370651,0.9427043544690603,0.08618654073199516,-0.007604694770470211,0.027232793944023836,0.05895374678797133,0.2,0.2,0.2,0.4,0.2
lung,seed42_main,source_disjoint,3,240,119,1,1.0,1.0,0.8088061670949371,0.9225640669490937,0.11375789985415652,-0.007951941107021299,0.01608618654073203,0.09767171331342449,0.2,0.2,0.2,0.2,0.2
lung,seed42_main,source_disjoint,7,240,119,2,1.0,1.0,0.8170011806375442,0.9107576915063545,0.09375651086881032,-0.001510521563997419,0.026060837558163755,0.06769567331064656,0.2,0.2,0.2,0.2,0.2
lung,seed42_main,source_disjoint,11,240,119,2,1.0,1.0,0.7985971248003334,0.9140912563372455,0.11549413153691213,0.05858045697617892,0.10872282797416485,0.006771303562747272,0.4,0.2,0.2,0.2,0.2
lung,seed42_main,target_disjoint,0,240,153,1,1.0,1.0,0.8619187138456915,0.9434302456614829,0.0815115318157914,0.014668319435053728,0.032820599504169545,0.04869093231162186,0.4,0.2,0.2,0.2,0.2
lung,seed42_main,target_disjoint,3,240,153,2,1.0,1.0,0.8668770190068364,0.940500338066261,0.07362331905942454,0.0006010066861993624,0.02828487716925851,0.04533844189016603,0.2,0.2,0.2,0.2,0.2
lung,seed42_main,target_disjoint,7,240,153,2,0.9583333333333333,1.0,0.8610172038163925,0.9335136353391932,0.07249643152280072,-0.008921192998272154,0.009785140109683677,0.06271129141311704,0.2,0.2,0.2,0.2,0.2
lung,seed42_main,target_disjoint,11,240,153,2,1.0,1.0,0.8395312147847646,0.9574036511156186,0.11787243633085409,0.013240928555330128,0.054400495830516135,0.06347194050033796,0.2,0.2,0.2,0.2,0.2
lung,seed43,source_disjoint,0,240,121,2,0.9166666666666667,1.0,0.8517952635599694,0.9092298076255295,0.057434544065560145,-0.005937912355024583,0.10667407458851308,-0.049239530522952935,0.2,0.2,0.2,0.6,0.2
lung,seed43,source_disjoint,3,240,121,3,0.9166666666666666,1.0,0.8281825126744914,0.9076324744773944,0.07944996180290298,-0.024220431974442708,0.12782137648447806,-0.048371414681575076,0.2,0.2,0.2,0.6,0.2
lung,seed43,source_disjoint,7,240,121,2,1.0,1.0,0.8060976456698382,0.8987429682616849,0.09264532259184666,0.0384922564066949,0.08658587401902912,0.0060594485728175385,0.2,0.2,0.2,0.2,0.2
lung,seed43,source_disjoint,11,240,121,1,1.0,1.0,0.7977637335926105,0.9179804153066184,0.1202166817140079,0.01717133134245441,0.0478158205430933,0.0724008611709146,0.2,0.2,0.2,0.2,0.2
lung,seed43,target_disjoint,0,240,158,3,0.9722222222222222,1.0,0.8660852114850263,0.9234331583822167,0.05734794689719047,0.021360759493670833,0.06367706082124107,-0.006329113924050597,0.2,0.2,0.2,0.4,0.2
lung,seed43,target_disjoint,3,240,158,2,0.8333333333333333,1.0,0.8729546156221055,0.9199598641556035,0.04700524853349797,0.00914634146341467,0.015263198518061127,0.03174205001543684,0.4,0.2,0.2,0.2,0.2
lung,seed43,target_disjoint,7,240,158,2,1.0,1.0,0.8953766594627972,0.9553874652670578,0.06001080580426055,0.010043609138622955,0.03087372645878357,0.029137079345476977,0.2,0.2,0.2,0.2,0.2
lung,seed43,target_disjoint,11,240,158,2,0.9166666666666667,1.0,0.844242050015437,0.9392173510342698,0.09497530101883289,0.02062750849027467,0.03247530101883295,0.062499999999999944,0.2,0.2,0.2,0.2,0.2
lung,seed44,source_disjoint,0,240,118,1,1.0,1.0,0.7923034176160044,0.9176160044456793,0.12531258682967483,0.04469123367602115,0.07377917477076967,0.05153341205890516,0.2,0.2,0.2,0.2,0.2
lung,seed44,source_disjoint,3,240,118,1,1.0,1.0,0.7995276465684913,0.9299110864128924,0.13038343984440115,0.011409419283134159,0.027863642678521816,0.10251979716587933,0.2,0.2,0.2,0.2,0.2
lung,seed44,source_disjoint,7,240,118,1,1.0,1.0,0.8284940261183663,0.9358849680466795,0.10739094192831322,0.028367254792997926,0.044969088635732124,0.0624218532925811,0.4,0.2,0.2,0.2,0.2
lung,seed44,source_disjoint,11,240,118,1,1.0,1.0,0.797929980550153,0.9159836065573771,0.11805362600722413,0.057932759099749764,0.1181230897471518,-6.946373992766652e-05,0.6,0.2,0.2,0.2,0.2
lung,seed44,target_disjoint,0,240,153,2,1.0,1.0,0.8893396439035385,0.9608594395612652,0.0715197956577267,0.030069115768912885,0.056607317256404444,0.01491247840132226,0.2,0.2,0.2,0.2,0.2
lung,seed44,target_disjoint,3,240,153,1,1.0,1.0,0.8550071369543987,0.9567275185936445,0.1017203816392458,0.018687551649012007,0.02595597626023588,0.07576440537900991,0.4,0.2,0.2,0.2,0.2
lung,seed44,target_disjoint,7,240,153,2,1.0,1.0,0.8709338141386822,0.9339643903538427,0.0630305762151605,0.02543009540981156,0.03996694463225911,0.023063631582901395,0.4,0.2,0.2,0.2,0.2
lung,seed44,target_disjoint,11,240,153,2,0.9166666666666667,1.0,0.8369018105326421,0.9461347757493802,0.10923296521673809,0.008883630080384702,0.08106077680114185,0.02817218841559624,0.2,0.2,0.2,0.4,0.2
