domain,seed_tag,split_regime,layer,perm_idx,null_delta_auc,null_gain_logloss,null_gain_brier
external_lung,seed44,source_disjoint,7,53,0.00217012424804619,0.001148022298230078,0.0003881185257348374
external_lung,seed44,source_disjoint,7,54,6.184291898569949e-05,5.134195869516134e-05,4.8029060851578764e-05
external_lung,seed44,source_disjoint,7,55,0.0005678304379601595,0.000763018611704136,0.0002687736061593726
external_lung,seed44,source_disjoint,7,56,0.000134930005059819,0.0003557456777736334,0.0001258761400517172
external_lung,seed44,source_disjoint,7,57,0.0005228537696069235,0.0009781819950873683,0.0004327478739083457
external_lung,seed44,source_disjoint,7,58,0.0006943273177038023,0.0004171461436900392,0.00011889788363347864
external_lung,seed44,source_disjoint,7,59,0.001169393377185468,0.0010431796272742933,0.00036289941528597214
external_lung,seed44,source_disjoint,7,60,0.0009754314949119713,0.0010750183045412642,0.00035707623160896595
external_lung,seed44,source_disjoint,7,61,0.0005931298139090213,0.0008548437261187702,0.0003971871987366593
external_lung,seed44,source_disjoint,7,62,0.00028391521897996874,0.00019972634231757436,5.078825207821547e-05
external_lung,seed44,source_disjoint,7,63,0.0009163996176981826,0.0016490321337920832,0.000636547139279936
external_lung,seed44,source_disjoint,7,64,0.0009501321189631096,0.0007607194324154021,0.0001667446398704031
external_lung,seed44,source_disjoint,7,65,-5.6220835442655215e-06,0.0010078146297023416,0.00029946877585593223
external_lung,seed44,source_disjoint,7,66,0.0003682464721425083,0.00023279111077889603,4.7656741466145514e-05
external_lung,seed44,source_disjoint,7,67,0.0005425310620112977,0.00034702639112638156,4.413472617748049e-05
external_lung,seed44,source_disjoint,7,68,0.0009079664923818953,0.000680434182489198,0.00017300800330505295
external_lung,seed44,source_disjoint,7,69,0.000134930005059819,0.0006993922541560504,0.00022112427958417835
external_lung,seed44,source_disjoint,7,70,0.0015854275594534561,0.001142768180531828,0.0003403081682953335
external_lung,seed44,source_disjoint,7,71,0.0019649181986842734,0.0019258302229732127,0.0007349641647498295
external_lung,seed44,source_disjoint,7,72,0.005425310620115753,0.005348307726873114,0.0023417788764220904
external_lung,seed44,source_disjoint,7,73,0.002974082194861394,0.0034137719987547,0.001503128394132941
external_lung,seed44,source_disjoint,7,74,5.059875189739049e-05,2.6586532450578737e-05,8.223694798109582e-06
external_lung,seed44,source_disjoint,7,75,8.995333670647199e-05,0.0001032212988331116,2.66170426052037e-05
external_lung,seed44,source_disjoint,7,76,0.0007730364873220763,0.0009904526082703535,0.00042356848326310925
external_lung,seed44,source_disjoint,7,77,0.0029544049024566865,0.00226485879996019,0.0008965335999943369
external_lung,seed44,source_disjoint,7,78,0.0004947433518862621,0.0007688001751167128,0.0003909825851469151
