domain,seed_tag,split_regime,layer,n_edges,n_positive,n_unique_genes,pca_dim,knn_k,used_component_bridging,coexp_missing_fraction,auc_geodesic_diffusion_base,auc_with_detour_convexity,delta_auc_incremental,gain_logloss_incremental,gain_brier_incremental,mean_detour_ratio,mean_convexity_deficit,p_delta_auc_upper,p_gain_logloss_upper,p_gain_brier_upper
external_lung,seed44,source_disjoint,3,1219,484,260,24,24,True,0.0,0.8099763872491146,0.8104177208073312,0.0004413335582166278,0.0009651080510770793,0.00032483178710854266,0.9909762100160847,0.9632015889481881,0.7777777777777778,0.4691358024691358,0.49382716049382713
external_lung,seed44,source_disjoint,7,1219,484,260,24,24,True,0.0,0.8068420756732446,0.8075870017428459,0.0007449260696013038,0.0013117485385214511,0.0004111986700649495,0.9909762100143095,0.9645063559372191,0.6172839506172839,0.35802469135802467,0.4444444444444444
external_lung,seed44,source_disjoint,11,1219,484,260,24,24,True,0.0,0.8068364535897004,0.8070388485972901,0.00020239500758978402,0.00013441479819920055,0.00010515282868953091,0.9909762100104791,0.9647324436072096,0.7654320987654321,0.9135802469135802,0.8024691358024691
external_lung,seed44,target_disjoint,0,1725,1010,260,24,24,True,0.0,0.8607560756075607,0.8607505365921208,-5.539015439981476e-06,3.524508557578576e-05,-1.074753500643344e-05,0.9901449275380222,0.9682155502922768,0.9382716049382716,0.9753086419753086,0.9506172839506173
external_lung,seed44,target_disjoint,3,1725,1010,260,24,24,True,0.0,0.8605635948210206,0.8606522190680606,8.862424703992566e-05,0.0003712436467988023,6.339006791719615e-05,0.9901449275378568,0.9675124077400292,0.8148148148148148,0.6172839506172839,0.7654320987654321
external_lung,seed44,target_disjoint,7,1725,1010,260,24,24,True,0.0,0.8608183895312609,0.8608336218237208,1.5232292459921304e-05,0.0003988205763222896,8.10151745461729e-06,1.4302488810816805,0.9675930606052089,0.8024691358024691,0.5185185185185185,0.8765432098765432
external_lung,seed44,target_disjoint,11,1725,1010,260,24,24,True,0.0,0.8606757598836807,0.8606854531607007,9.693277019939828e-06,1.4581421289960872e-05,-8.031073588404825e-06,0.990144927537517,0.9664055022885978,0.8765432098765432,0.9876543209876543,0.9506172839506173
immune,seed42_main,source_disjoint,0,1340,321,260,24,24,True,0.0,0.797211241856441,0.7960158850990067,-0.0011953567574343182,0.002031917610469891,0.0009689657803789165,1.4433960472739211,0.9486015257788744,0.9876543209876543,0.04938271604938271,0.012345679012345678
immune,seed42_main,source_disjoint,3,1340,321,260,24,24,True,0.0,0.7908217389842219,0.7964347185408699,0.005612979556647968,0.006621849475123065,0.0024672758612699353,0.9723880597142875,0.9418680633056745,0.07407407407407407,0.012345679012345678,0.012345679012345678
immune,seed42_main,source_disjoint,7,1340,321,260,24,24,True,0.0,0.7861962280532805,0.7872968122800742,0.0011005842267937105,0.001970411384028703,0.0008783211392272838,0.9723880597158338,0.9441229054636681,0.345679012345679,0.037037037037037035,0.037037037037037035
