domain,seed_tag,layer,sample_size,pca_dim,bootstrap_idx,h1_observed,h1_null_mean,h1_null_std,h1_delta_observed_minus_null,h1_delta_z,p_h1_upper
immune,seed42_main,3,120,10,2,4.024055480957031,3.0453332463900247,1.0774825297582316,0.9787222345670066,0.9083416265489457,0.24
immune,seed42_main,3,120,10,3,8.720946311950684,5.835583388805389,1.4166532292930243,2.885362923145294,2.0367460867953393,0.04
immune,seed42_main,3,120,14,0,9.881727695465088,3.6452862322330475,1.040502427315299,6.23644146323204,5.993682757021148,0.04
immune,seed42_main,3,120,14,1,11.37411880493164,5.105267882347107,1.5731169430436862,6.268850922584534,3.9849872231815744,0.04
immune,seed42_main,3,120,14,2,12.281691551208496,5.589419682820638,1.9107087016230448,6.692271868387858,3.5025076607442167,0.04
immune,seed42_main,3,120,14,3,4.810511589050293,4.114882215857506,1.3591499785317325,0.6956293731927872,0.511812076421803,0.28
immune,seed42_main,3,180,10,0,12.024875164031982,8.975367205838362,1.224603404249773,3.0495079581936206,2.4902004560175426,0.04
immune,seed42_main,3,180,10,1,14.143929958343506,8.718636197348436,2.3362165943254634,5.4252937609950695,2.322256323258101,0.04
immune,seed42_main,3,180,10,2,12.680949449539185,7.534796630342801,2.1170282836973087,5.1461528191963835,2.430838008351021,0.04
immune,seed42_main,3,180,10,3,14.993723392486572,8.913088617225489,1.939566370326993,6.080634775261084,3.135048568150259,0.08
immune,seed42_main,3,180,14,0,12.253946781158447,6.967482219139735,1.6571684424430677,5.286464562018712,3.190058670822336,0.04
immune,seed42_main,3,180,14,1,8.376054763793945,7.743326887488365,1.397735485263996,0.6327278763055801,0.45268069854675935,0.28
immune,seed42_main,3,180,14,2,10.65073823928833,8.216053093473116,1.5830936231268027,2.434685145815214,1.5379287167290117,0.16
immune,seed42_main,3,180,14,3,11.611113786697388,7.071244309345881,1.864874847997878,4.539869477351506,2.4344097298492073,0.04
immune,seed42_main,4,120,10,0,4.603170871734619,4.614368113378684,1.1336349021858734,-0.011197241644064881,-0.009877290839049754,0.48
immune,seed42_main,4,120,10,1,6.218842029571533,3.863204230864843,1.501008830148782,2.3556377987066903,1.5693697131041038,0.16
