domain,seed_tag,split_regime,layer,n_edges,positive_rate,n_unique_genes,pca_dim,knn_k,used_component_bridging,auc_euclidean,auc_geodesic,delta_auc_geodesic_minus_euclidean,null_delta_mean,null_delta_std,delta_auc_z_vs_null,p_delta_upper,p_delta_two_sided,p_euclidean_upper,p_geodesic_upper
immune,seed44,source_disjoint,6,1527,0.2383759004584152,340,14,35,True,0.6066952179376943,0.6102007407897347,0.0035055228520404214,2.5931184035227483e-05,0.004650915856187862,0.7481517678338484,0.22388059701492538,0.4577114427860697,0.004975124378109453,0.004975124378109453
immune,seed42_main,source_disjoint,7,1527,0.2383759004584152,340,14,35,True,0.5841419972976293,0.5836211295153686,-0.0005208677822606811,-0.00017768559900976173,0.003796736331257643,-0.0903887083326996,0.5323383084577115,0.9104477611940298,0.004975124378109453,0.004975124378109453
immune,seed43,source_disjoint,7,1527,0.2383759004584152,340,14,35,True,0.5965294378879933,0.6025389056343484,0.006009467746355135,0.00022763457522700177,0.004786354493449853,1.2079823947553825,0.14925373134328357,0.24378109452736318,0.004975124378109453,0.004975124378109453
immune,seed44,source_disjoint,7,1527,0.2383759004584152,340,14,35,True,0.6007755142535882,0.6004211824289211,-0.0003543318246671534,-0.00040449339997921665,0.0044848904256911334,0.01118456848803942,0.5124378109452736,0.9303482587064676,0.004975124378109453,0.004975124378109453
immune,seed42_main,source_disjoint,8,1527,0.2383759004584152,340,14,35,True,0.578743161395784,0.5806919864314534,0.0019488250356693992,0.00037901694178564066,0.004255172842287818,0.3689174995115458,0.3283582089552239,0.6019900497512438,0.004975124378109453,0.004975124378109453
immune,seed43,source_disjoint,8,1527,0.2383759004584152,340,14,35,True,0.5908802074967165,0.6028152844575888,0.01193507696087226,8.260065386033244e-05,0.0045997747215728805,2.576750916664042,0.004975124378109453,0.014925373134328358,0.004975124378109453,0.004975124378109453
immune,seed44,source_disjoint,8,1527,0.2383759004584152,340,14,35,True,0.5900321733296798,0.5928313947445504,0.002799221414870545,0.0002799339525478872,0.004431273790760783,0.5685243143971521,0.27860696517412936,0.5472636815920398,0.004975124378109453,0.004975124378109453
immune,seed42_main,source_disjoint,9,1527,0.2383759004584152,340,14,35,True,0.5727159770581954,0.577070715183355,0.0043547381251595185,0.0007814788393034272,0.003923118334755955,0.9108209516339814,0.19900497512437812,0.2885572139303483,0.004975124378109453,0.004975124378109453
immune,seed43,source_disjoint,9,1527,0.2383759004584152,340,14,35,True,0.5870864947606135,0.6001755123638185,0.013089017603205022,-0.0002208373097238059,0.005160689592304997,2.579084073122866,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.004975124378109453
immune,seed44,source_disjoint,9,1527,0.2383759004584152,340,14,35,True,0.5814561620666522,0.5905743010214206,0.009118138954768429,-0.00047123770468568557,0.004350531654879339,2.2041845034076806,0.014925373134328358,0.029850746268656716,0.004975124378109453,0.004975124378109453
immune,seed42_main,source_disjoint,10,1527,0.2383759004584152,340,14,35,True,0.5799951338429412,0.5892880764978787,0.00929294265493752,-0.00015642568952972614,0.00410072738771013,2.3043146122008404,0.024875621890547265,0.03482587064676617,0.004975124378109453,0.004975124378109453
immune,seed43,source_disjoint,10,1527,0.2383759004584152,340,14,35,True,0.594375100394017,0.6004660644600455,0.0060909640660284925,5.6096633375217474e-05,0.003481521708174988,1.7333988425474753,0.04477611940298507,0.0945273631840796,0.004975124378109453,0.004975124378109453
immune,seed44,source_disjoint,10,1527,0.2383759004584152,340,14,35,True,0.5793750531497738,0.5851423941492729,0.00576734099949916,-0.00016323476609374804,0.0033445926568786448,1.7731827462495524,0.03980099502487562,0.08955223880597014,0.004975124378109453,0.004975124378109453
immune,seed42_main,source_disjoint,11,1527,0.2383759004584152,340,14,35,True,0.5935495072425425,0.5990144850849924,0.005464977842449925,0.00028459932157266446,0.003940368073956008,1.31469373138601,0.1044776119402985,0.19900497512437812,0.004975124378109453,0.004975124378109453
immune,seed43,source_disjoint,11,1527,0.2383759004584152,340,14,35,True,0.6030172535976491,0.6107145219355021,0.007697268337853003,-0.0004535211134523276,0.0038535100441676575,2.115159229565895,0.004975124378109453,0.03980099502487562,0.004975124378109453,0.004975124378109453
immune,seed44,source_disjoint,11,1527,0.2383759004584152,340,14,35,True,0.5918770610301135,0.5949467557378134,0.0030696947076999104,-1.6033515066185e-05,0.003834426956541494,0.804742782427787,0.17412935323383086,0.38308457711442784,0.004975124378109453,0.004975124378109453
immune,seed42_main,target_disjoint,0,1465,0.24368600682593858,227,14,35,True,0.5811376897329329,0.5854430219741324,0.004305332241199555,0.0003577748789046259,0.0047362693708981095,0.8334738207832459,0.19900497512437812,0.3880597014925373,0.004975124378109453,0.004975124378109453
immune,seed43,target_disjoint,0,1465,0.24368600682593858,227,14,35,True,0.5776312329986145,0.5824333343445682,0.004802101345953713,-0.0006099894831578753,0.004824620019145402,1.1217649650894745,0.1691542288557214,0.3681592039800995,0.004975124378109453,0.004975124378109453
immune,seed44,target_disjoint,0,1465,0.24368600682593858,227,14,35,True,0.6079038113440323,0.6129574573511715,0.005053646007139201,0.0001559450494999476,0.004586256605986026,1.0679079498819972,0.13930348258706468,0.2736318407960199,0.004975124378109453,0.004975124378109453
immune,seed42_main,target_disjoint,1,1465,0.24368600682593858,227,14,35,True,0.5788851641739727,0.5864694253152524,0.007584261141279636,-6.192549221854637e-05,0.004509318627170146,1.6956408650713894,0.05472636815920398,0.0945273631840796,0.004975124378109453,0.004975124378109453
immune,seed43,target_disjoint,1,1465,0.24368600682593858,227,14,35,True,0.5804020164022288,0.5923813568748799,0.011979340472651145,0.0004458281507548717,0.0050206658397687004,2.2972072615014656,0.024875621890547265,0.029850746268656716,0.004975124378109453,0.004975124378109453
immune,seed44,target_disjoint,1,1465,0.24368600682593858,227,14,35,True,0.606189768326103,0.6140672875648454,0.007877519238742359,-0.000231471650031862,0.0047374895446907666,1.7116637621286321,0.06467661691542288,0.0945273631840796,0.004975124378109453,0.004975124378109453
immune,seed42_main,target_disjoint,2,1465,0.24368600682593858,227,14,35,True,0.5714867174306546,0.5769499135394229,0.005463196108768331,-6.344866466442001e-05,0.004920759589116661,1.1231281573942318,0.16417910447761194,0.3283582089552239,0.004975124378109453,0.004975124378109453
immune,seed43,target_disjoint,2,1465,0.24368600682593858,227,14,35,True,0.5775124129074012,0.5870837504676961,0.009571337560294935,0.00044779373843399336,0.004767736385708273,1.913600327318697,0.024875621890547265,0.03980099502487562,0.004975124378109453,0.004975124378109453
immune,seed44,target_disjoint,2,1465,0.24368600682593858,227,14,35,True,0.5984424455702859,0.6065740375572611,0.008131591986975217,0.00010581940357371394,0.005146717706685404,1.559396003705489,0.06965174129353234,0.12437810945273632,0.004975124378109453,0.004975124378109453
immune,seed42_main,target_disjoint,3,1465,0.24368600682593858,227,14,35,True,0.5678955697802587,0.5791063717905934,0.011210802010334753,-0.00013352723760984425,0.005179320618364364,2.1903117983098235,0.009950248756218905,0.024875621890547265,0.004975124378109453,0.004975124378109453
immune,seed43,target_disjoint,3,1465,0.24368600682593858,227,14,35,True,0.5695388263608692,0.5815775768791271,0.012038750518257979,0.00011399776517105582,0.0052982878339651405,2.2506800075983513,0.009950248756218905,0.029850746268656716,0.009950248756218905,0.004975124378109453
immune,seed44,target_disjoint,3,1465,0.24368600682593858,227,14,35,True,0.5928667495879218,0.6056310610886955,0.012764311500773617,0.00023826588397091923,0.004574830147045062,2.7380345228464704,0.004975124378109453,0.009950248756218905,0.004975124378109453,0.004975124378109453
immune,seed42_main,target_disjoint,4,1465,0.24368600682593858,227,14,35,True,0.5681521706155386,0.5807218194136861,0.012569648798147481,-0.00014077652721738415,0.005603709514543744,2.268215906652657,0.024875621890547265,0.029850746268656716,0.004975124378109453,0.004975124378109453
immune,seed43,target_disjoint,4,1465,0.24368600682593858,227,14,35,True,0.5647594777983396,0.5858058024653905,0.02104632466705092,-0.00073339173214413,0.0063838624569274366,3.411682681834436,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.004975124378109453
immune,seed44,target_disjoint,4,1465,0.24368600682593858,227,14,35,True,0.5888129620079079,0.6081123785254174,0.01929941651750955,3.867973182052287e-05,0.00450442552945829,4.275957585216814,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.004975124378109453
immune,seed42_main,target_disjoint,5,1465,0.24368600682593858,227,14,35,True,0.56652029042664,0.5750323595142028,0.008512069087562857,0.00020997026969632655,0.004044302347731489,2.0527883553846924,0.029850746268656716,0.03980099502487562,0.004975124378109453,0.004975124378109453
immune,seed43,target_disjoint,5,1465,0.24368600682593858,227,14,35,True,0.5681167773968793,0.5858702686850914,0.01775349128821213,2.0332140076251004e-05,0.005497575592386166,3.2256320307924957,0.004975124378109453,0.009950248756218905,0.004975124378109453,0.004975124378109453
immune,seed44,target_disjoint,5,1465,0.24368600682593858,227,14,35,True,0.5851674604859994,0.599816460880381,0.01464900039438155,-2.938901192245602e-05,0.004799868802034105,3.058080742124203,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.004975124378109453
immune,seed42_main,target_disjoint,6,1465,0.24368600682593858,227,14,35,True,0.5633500692695851,0.5753003367411946,0.011950267471609544,0.00011961643863320882,0.004556671246632058,2.5963357451747036,0.004975124378109453,0.014925373134328358,0.004975124378109453,0.004975124378109453
immune,seed43,target_disjoint,6,1465,0.24368600682593858,227,14,35,True,0.5592785850802415,0.5855327690643045,0.026254183984062984,-3.709335719847024e-05,0.00513532052066604,5.119694499255332,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.004975124378109453
immune,seed44,target_disjoint,6,1465,0.24368600682593858,227,14,35,True,0.5819921831548504,0.5949979269686214,0.013005743813771065,-0.00013834324343455718,0.0048258483372419225,2.7236836748653555,0.004975124378109453,0.009950248756218905,0.004975124378109453,0.004975124378109453
immune,seed42_main,target_disjoint,7,1465,0.24368600682593858,227,14,35,True,0.5589335011983133,0.569952168593069,0.011018667394755655,0.0002534344062534774,0.003979331548111599,2.7052860896511004,0.009950248756218905,0.009950248756218905,0.004975124378109453,0.004975124378109453
immune,seed43,target_disjoint,7,1465,0.24368600682593858,227,14,35,True,0.5549163708804822,0.5815598802697974,0.026643509389315256,0.0003310972403401785,0.005322376057808329,4.943733197251176,0.004975124378109453,0.004975124378109453,0.009950248756218905,0.004975124378109453
immune,seed44,target_disjoint,7,1465,0.24368600682593858,227,14,35,True,0.5786285633386928,0.5929097270677224,0.014281163729029545,-0.0004053787580013929,0.004573118861002869,3.211493014270181,0.009950248756218905,0.009950248756218905,0.004975124378109453,0.004975124378109453
