domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70_baseline,auc_sparse_descriptor_blend,delta_auc_sparse_descriptor_blend_minus_h70,descriptor_nonzero_count,q95_null_delta_auc,null_gap_q95_delta_auc,p_feature_shuffle_upper,p_endpoint_swap_upper,p_label_shuffle_upper,p_best_upper
external_lung,seed43,source_disjoint,7,300,145,0.899043381535039,0.9300111234705228,0.030967741935483795,1,0.04570967741935479,-0.014741935483870997,0.2,0.2,0.4,0.2
external_lung,seed43,source_disjoint,11,300,145,0.8241156840934372,0.9379310344827585,0.11381535038932133,2,0.027800889877641788,0.08601446051167955,0.2,0.2,0.2,0.2
external_lung,seed43,target_disjoint,0,300,199,0.8852679237773023,0.9358674560923429,0.05059953231504055,6,0.012435942086670934,0.03816359022836962,0.2,0.2,0.2,0.2
external_lung,seed43,target_disjoint,3,300,199,0.898800935369919,0.9510423404149461,0.052241405045027056,3,0.08044305686850091,-0.028201651823473853,0.2,0.2,0.6,0.2
external_lung,seed43,target_disjoint,7,300,199,0.8450669187521769,0.9415891337877506,0.09652221503557368,2,0.025757500373152675,0.070764714662421,0.2,0.2,0.2,0.2
external_lung,seed43,target_disjoint,11,300,199,0.837355092293149,0.95343051893129,0.11607542663814108,1,0.03528533757898402,0.08079008905915705,0.2,0.2,0.2,0.2
external_lung,seed44,source_disjoint,0,300,139,0.9071004066312168,0.9431163144018947,0.03601590777067787,5,0.025108360516555586,0.010907547254122282,0.2,0.2,0.4,0.2
external_lung,seed44,source_disjoint,3,300,139,0.8780553197193798,0.9314089101389695,0.05335359041958976,4,0.016564636489566163,0.0367889539300236,0.2,0.2,0.2,0.2
external_lung,seed44,source_disjoint,7,300,139,0.8710398141114438,0.9289512489387372,0.05791143482729333,3,0.04900688145136063,0.008904553375932697,0.2,0.2,0.4,0.2
external_lung,seed44,source_disjoint,11,300,139,0.8885562357567363,0.9425800974127531,0.0540238616560168,2,0.03847245185218288,0.015551409803833925,0.2,0.2,0.2,0.2
external_lung,seed44,target_disjoint,0,300,197,0.8983785914937658,0.9266177122862354,0.028239120792469596,3,0.013141294169829017,0.01509782662264058,0.2,0.2,0.2,0.2
external_lung,seed44,target_disjoint,3,300,197,0.8751170469666354,0.9405154994825291,0.06539845251589371,1,0.030755014538465346,0.03464343797742837,0.2,0.2,0.2,0.2
external_lung,seed44,target_disjoint,7,300,197,0.8629441624365483,0.9216894189542161,0.05874525651766782,2,0.02125080084766642,0.0374944556700014,0.2,0.2,0.2,0.2
external_lung,seed44,target_disjoint,11,300,197,0.8638312552363118,0.9452959440145878,0.08146468877827606,3,0.045419151347888084,0.03604553743038798,0.2,0.2,0.4,0.2
immune,seed42_main,source_disjoint,0,300,76,0.8920935150375939,0.9810267857142858,0.08893327067669188,2,0.03346305216165408,0.0554702185150378,0.2,0.2,0.2,0.2
immune,seed42_main,source_disjoint,3,300,76,0.9120653195488723,0.9464285714285713,0.03436325187969902,3,0.038939144736842096,-0.004575892857143077,0.2,0.2,0.4,0.2
immune,seed42_main,source_disjoint,7,300,76,0.8720042293233081,0.9785596804511278,0.10655545112781972,3,0.10400023496240601,0.0025552161654137096,0.2,0.2,0.4,0.2
immune,seed42_main,source_disjoint,11,300,76,0.8760573308270676,0.9633458646616542,0.08728853383458657,2,0.05496064379699256,0.03232789003759401,0.2,0.2,0.2,0.2
immune,seed42_main,target_disjoint,0,300,75,0.9043555555555556,0.9644444444444445,0.06008888888888897,3,0.01946074074074078,0.04062814814814819,0.2,0.2,0.2,0.2
immune,seed42_main,target_disjoint,3,300,75,0.9246222222222222,0.9689481481481481,0.04432592592592588,3,0.08015999999999993,-0.035834074074074046,0.2,0.2,0.4,0.2
immune,seed42_main,target_disjoint,7,300,75,0.8916740740740741,0.9439407407407406,0.05226666666666657,3,0.033539259259259206,0.018727407407407366,0.2,0.2,0.4,0.2
immune,seed42_main,target_disjoint,11,300,75,0.8807703703703704,0.9658666666666667,0.08509629629629623,2,0.06303703703703703,0.022059259259259195,0.2,0.2,0.4,0.2
immune,seed43,source_disjoint,0,300,76,0.9422579887218046,0.9826127819548872,0.040354793233082664,3,0.09263539708646612,-0.052280603853383456,0.2,0.2,0.8,0.2
immune,seed43,source_disjoint,3,300,76,0.9142387218045114,0.9765037593984962,0.06226503759398483,2,0.09445341870300754,-0.03218838110902271,0.2,0.2,0.6,0.2
immune,seed43,source_disjoint,7,300,76,0.9208764097744361,0.9830827067669172,0.06220629699248115,3,0.06781308740601505,-0.005606790413533902,0.2,0.2,0.4,0.2
immune,seed43,source_disjoint,11,300,76,0.9181156015037595,0.9690437030075187,0.05092810150375926,2,0.04495418233082715,0.005973919172932107,0.2,0.2,0.2,0.2
immune,seed43,target_disjoint,0,300,76,0.9008458646616541,0.9706296992481204,0.06978383458646631,2,0.058172286184210456,0.011611548402255853,0.2,0.2,0.4,0.2
immune,seed43,target_disjoint,3,300,76,0.9167058270676693,0.9664003759398496,0.04969454887218028,2,0.04289238721804491,0.006802161654135365,0.2,0.2,0.4,0.2
