domain,layer,top_k,perm_idx,null_overlap_total
external_lung,11,200,4,0.0
external_lung,11,200,5,0.0
external_lung,11,200,6,0.0
external_lung,11,200,7,0.0
external_lung,11,200,8,0.0
external_lung,11,200,9,0.0
external_lung,11,200,10,0.0
external_lung,11,200,11,0.0
external_lung,11,200,12,0.0
external_lung,11,200,13,0.0
external_lung,11,200,14,0.0
external_lung,11,200,15,0.0
external_lung,11,200,16,0.0
external_lung,11,200,17,0.0
external_lung,11,200,18,0.0
external_lung,11,200,19,0.0
external_lung,11,200,20,0.0
external_lung,11,200,21,0.0
external_lung,11,200,22,0.0
external_lung,11,200,23,0.0
external_lung,11,200,24,0.0
external_lung,11,200,25,0.0
external_lung,11,200,26,0.0
external_lung,11,200,27,0.0
external_lung,11,200,28,0.0
external_lung,11,200,29,0.0
external_lung,11,200,30,0.0
external_lung,11,200,31,0.0
external_lung,11,200,32,0.0
external_lung,11,200,33,0.0
external_lung,11,200,34,0.0
external_lung,11,200,35,0.0
external_lung,11,200,36,0.0
external_lung,11,200,37,0.0
external_lung,11,200,38,0.0
external_lung,11,200,39,0.0
external_lung,11,200,40,0.0
external_lung,11,200,41,0.0
external_lung,11,200,42,0.0
external_lung,11,200,43,0.0
external_lung,11,200,44,0.0
external_lung,11,200,45,0.0
external_lung,11,200,46,0.0
external_lung,11,200,47,0.0
external_lung,11,200,48,0.0
external_lung,11,200,49,0.0
external_lung,11,200,50,0.0
external_lung,11,200,51,0.0
external_lung,11,200,52,0.0
external_lung,11,200,53,0.0
external_lung,11,200,54,0.0
external_lung,11,200,55,0.0
external_lung,11,200,56,0.0
external_lung,11,200,57,0.0
external_lung,11,200,58,0.0
external_lung,11,200,59,0.0
external_lung,11,200,60,0.0
external_lung,11,200,61,0.0
external_lung,11,200,62,0.0
external_lung,11,200,63,0.0
external_lung,11,200,64,0.0
external_lung,11,200,65,0.0
external_lung,11,200,66,0.0
external_lung,11,200,67,0.0
external_lung,11,200,68,0.0
external_lung,11,200,69,0.0
