domain,seed_tag,split_regime,layer,perm_idx,null_unweighted_h1_total,null_weighted_h1_total
external_lung,seed42_main,paired_source_target,7,7,3403.0,882.0
external_lung,seed42_main,paired_source_target,7,8,3338.0,944.5
external_lung,seed42_main,paired_source_target,7,9,3394.0,942.5
external_lung,seed42_main,paired_source_target,7,10,3398.0,916.5
external_lung,seed42_main,paired_source_target,7,11,3365.0,962.0
external_lung,seed42_main,paired_source_target,7,12,3386.0,953.5
external_lung,seed42_main,paired_source_target,7,13,3319.0,936.0
external_lung,seed42_main,paired_source_target,7,14,3351.0,947.5
external_lung,seed42_main,paired_source_target,7,15,3288.0,937.5
external_lung,seed42_main,paired_source_target,7,16,3376.0,912.5
external_lung,seed42_main,paired_source_target,7,17,3329.0,912.0
external_lung,seed42_main,paired_source_target,7,18,3378.0,936.5
external_lung,seed42_main,paired_source_target,7,19,3295.0,893.0
external_lung,seed42_main,paired_source_target,7,20,3358.0,925.0
external_lung,seed42_main,paired_source_target,7,21,3377.0,928.5
external_lung,seed42_main,paired_source_target,7,22,3290.0,913.0
external_lung,seed42_main,paired_source_target,7,23,3371.0,928.5
external_lung,seed42_main,paired_source_target,7,24,3331.0,939.0
external_lung,seed42_main,paired_source_target,7,25,3372.0,942.5
external_lung,seed42_main,paired_source_target,7,26,3388.0,939.0
external_lung,seed42_main,paired_source_target,7,27,3355.0,923.0
external_lung,seed42_main,paired_source_target,7,28,3341.0,945.0
external_lung,seed42_main,paired_source_target,7,29,3294.0,948.0
external_lung,seed42_main,paired_source_target,7,30,3360.0,971.5
external_lung,seed42_main,paired_source_target,7,31,3409.0,925.0
external_lung,seed42_main,paired_source_target,7,32,3397.0,974.5
external_lung,seed42_main,paired_source_target,7,33,3329.0,936.0
external_lung,seed42_main,paired_source_target,7,34,3325.0,938.0
external_lung,seed42_main,paired_source_target,7,35,3330.0,904.5
external_lung,seed42_main,paired_source_target,11,0,3389.0,941.5
external_lung,seed42_main,paired_source_target,11,1,3487.0,986.0
external_lung,seed42_main,paired_source_target,11,2,3369.0,894.0
external_lung,seed42_main,paired_source_target,11,3,3390.0,958.5
external_lung,seed42_main,paired_source_target,11,4,3386.0,951.5
external_lung,seed42_main,paired_source_target,11,5,3464.0,974.5
external_lung,seed42_main,paired_source_target,11,6,3387.0,928.5
external_lung,seed42_main,paired_source_target,11,7,3471.0,987.0
external_lung,seed42_main,paired_source_target,11,8,3440.0,971.0
external_lung,seed42_main,paired_source_target,11,9,3446.0,990.5
external_lung,seed42_main,paired_source_target,11,10,3450.0,958.0
external_lung,seed42_main,paired_source_target,11,11,3479.0,981.5
external_lung,seed42_main,paired_source_target,11,12,3470.0,966.0
external_lung,seed42_main,paired_source_target,11,13,3460.0,961.0
external_lung,seed42_main,paired_source_target,11,14,3422.0,978.5
external_lung,seed42_main,paired_source_target,11,15,3470.0,969.0
external_lung,seed42_main,paired_source_target,11,16,3420.0,955.0
external_lung,seed42_main,paired_source_target,11,17,3370.0,932.5
external_lung,seed42_main,paired_source_target,11,18,3406.0,947.5
external_lung,seed42_main,paired_source_target,11,19,3447.0,983.5
external_lung,seed42_main,paired_source_target,11,20,3425.0,927.5
external_lung,seed42_main,paired_source_target,11,21,3424.0,976.0
external_lung,seed42_main,paired_source_target,11,22,3383.0,932.5
external_lung,seed42_main,paired_source_target,11,23,3423.0,965.5
external_lung,seed42_main,paired_source_target,11,24,3427.0,977.5
external_lung,seed42_main,paired_source_target,11,25,3426.0,977.5
external_lung,seed42_main,paired_source_target,11,26,3366.0,953.5
external_lung,seed42_main,paired_source_target,11,27,3443.0,946.0
external_lung,seed42_main,paired_source_target,11,28,3362.0,941.5
external_lung,seed42_main,paired_source_target,11,29,3407.0,975.5
external_lung,seed42_main,paired_source_target,11,30,3427.0,956.0
external_lung,seed42_main,paired_source_target,11,31,3367.0,959.0
external_lung,seed42_main,paired_source_target,11,32,3417.0,965.0
external_lung,seed42_main,paired_source_target,11,33,3465.0,959.0
external_lung,seed42_main,paired_source_target,11,34,3428.0,934.0
external_lung,seed42_main,paired_source_target,11,35,3360.0,948.5
external_lung,seed43,paired_source_target,0,0,3595.0,1010.5
external_lung,seed43,paired_source_target,0,1,3557.0,1006.0
external_lung,seed43,paired_source_target,0,2,3610.0,1005.5
external_lung,seed43,paired_source_target,0,3,3612.0,1014.0
external_lung,seed43,paired_source_target,0,4,3619.0,1041.0
external_lung,seed43,paired_source_target,0,5,3607.0,982.0
external_lung,seed43,paired_source_target,0,6,3633.0,1009.0
external_lung,seed43,paired_source_target,0,7,3615.0,989.0
external_lung,seed43,paired_source_target,0,8,3610.0,992.5
external_lung,seed43,paired_source_target,0,9,3602.0,1015.0
external_lung,seed43,paired_source_target,0,10,3668.0,1014.0
external_lung,seed43,paired_source_target,0,11,3561.0,987.0
external_lung,seed43,paired_source_target,0,12,3640.0,1006.0
external_lung,seed43,paired_source_target,0,13,3628.0,1023.5
external_lung,seed43,paired_source_target,0,14,3677.0,1009.0
external_lung,seed43,paired_source_target,0,15,3636.0,1035.0
external_lung,seed43,paired_source_target,0,16,3557.0,1029.5
external_lung,seed43,paired_source_target,0,17,3649.0,1028.0
external_lung,seed43,paired_source_target,0,18,3600.0,1031.5
external_lung,seed43,paired_source_target,0,19,3563.0,988.0
external_lung,seed43,paired_source_target,0,20,3630.0,1023.5
external_lung,seed43,paired_source_target,0,21,3588.0,1003.5
external_lung,seed43,paired_source_target,0,22,3683.0,1008.5
external_lung,seed43,paired_source_target,0,23,3580.0,973.0
external_lung,seed43,paired_source_target,0,24,3692.0,1027.5
external_lung,seed43,paired_source_target,0,25,3603.0,991.5
external_lung,seed43,paired_source_target,0,26,3627.0,1022.0
external_lung,seed43,paired_source_target,0,27,3533.0,988.5
external_lung,seed43,paired_source_target,0,28,3613.0,994.0
external_lung,seed43,paired_source_target,0,29,3633.0,1013.5
external_lung,seed43,paired_source_target,0,30,3626.0,971.0
external_lung,seed43,paired_source_target,0,31,3624.0,1049.0
external_lung,seed43,paired_source_target,0,32,3582.0,1001.5
external_lung,seed43,paired_source_target,0,33,3629.0,1025.5
external_lung,seed43,paired_source_target,0,34,3605.0,1020.0
external_lung,seed43,paired_source_target,0,35,3641.0,1007.0
external_lung,seed43,paired_source_target,3,0,3554.0,987.5
external_lung,seed43,paired_source_target,3,1,3564.0,997.5
external_lung,seed43,paired_source_target,3,2,3584.0,985.5
external_lung,seed43,paired_source_target,3,3,3586.0,968.0
external_lung,seed43,paired_source_target,3,4,3544.0,1010.0
external_lung,seed43,paired_source_target,3,5,3550.0,964.0
external_lung,seed43,paired_source_target,3,6,3603.0,1005.0
external_lung,seed43,paired_source_target,3,7,3632.0,991.0
external_lung,seed43,paired_source_target,3,8,3541.0,1000.5
external_lung,seed43,paired_source_target,3,9,3601.0,1001.0
external_lung,seed43,paired_source_target,3,10,3566.0,977.0
external_lung,seed43,paired_source_target,3,11,3615.0,1001.5
external_lung,seed43,paired_source_target,3,12,3610.0,1023.0
external_lung,seed43,paired_source_target,3,13,3526.0,972.5
external_lung,seed43,paired_source_target,3,14,3550.0,970.5
external_lung,seed43,paired_source_target,3,15,3596.0,1010.0
external_lung,seed43,paired_source_target,3,16,3609.0,1010.5
external_lung,seed43,paired_source_target,3,17,3604.0,981.0
external_lung,seed43,paired_source_target,3,18,3527.0,965.0
external_lung,seed43,paired_source_target,3,19,3650.0,985.5
external_lung,seed43,paired_source_target,3,20,3638.0,985.0
external_lung,seed43,paired_source_target,3,21,3596.0,965.0
external_lung,seed43,paired_source_target,3,22,3544.0,982.0
external_lung,seed43,paired_source_target,3,23,3627.0,995.0
external_lung,seed43,paired_source_target,3,24,3667.0,1014.5
external_lung,seed43,paired_source_target,3,25,3609.0,978.0
external_lung,seed43,paired_source_target,3,26,3658.0,1012.5
external_lung,seed43,paired_source_target,3,27,3562.0,995.0
external_lung,seed43,paired_source_target,3,28,3596.0,970.5
external_lung,seed43,paired_source_target,3,29,3548.0,1023.5
external_lung,seed43,paired_source_target,3,30,3530.0,995.5
external_lung,seed43,paired_source_target,3,31,3559.0,997.0
external_lung,seed43,paired_source_target,3,32,3652.0,986.5
external_lung,seed43,paired_source_target,3,33,3580.0,981.0
external_lung,seed43,paired_source_target,3,34,3496.0,959.5
external_lung,seed43,paired_source_target,3,35,3592.0,997.5
external_lung,seed43,paired_source_target,7,0,3483.0,957.0
external_lung,seed43,paired_source_target,7,1,3512.0,974.0
external_lung,seed43,paired_source_target,7,2,3423.0,959.0
external_lung,seed43,paired_source_target,7,3,3477.0,981.5
external_lung,seed43,paired_source_target,7,4,3434.0,971.0
external_lung,seed43,paired_source_target,7,5,3366.0,903.5
external_lung,seed43,paired_source_target,7,6,3482.0,959.5
external_lung,seed43,paired_source_target,7,7,3483.0,956.5
external_lung,seed43,paired_source_target,7,8,3498.0,950.0
external_lung,seed43,paired_source_target,7,9,3407.0,960.5
external_lung,seed43,paired_source_target,7,10,3391.0,935.0
external_lung,seed43,paired_source_target,7,11,3524.0,975.5
external_lung,seed43,paired_source_target,7,12,3422.0,965.5
external_lung,seed43,paired_source_target,7,13,3402.0,967.0
external_lung,seed43,paired_source_target,7,14,3520.0,964.0
external_lung,seed43,paired_source_target,7,15,3422.0,944.5
external_lung,seed43,paired_source_target,7,16,3398.0,949.5
external_lung,seed43,paired_source_target,7,17,3442.0,946.5
external_lung,seed43,paired_source_target,7,18,3424.0,949.5
external_lung,seed43,paired_source_target,7,19,3461.0,948.5
external_lung,seed43,paired_source_target,7,20,3458.0,953.5
external_lung,seed43,paired_source_target,7,21,3370.0,924.5
external_lung,seed43,paired_source_target,7,22,3454.0,965.0
external_lung,seed43,paired_source_target,7,23,3408.0,927.5
external_lung,seed43,paired_source_target,7,24,3464.0,980.0
external_lung,seed43,paired_source_target,7,25,3451.0,992.0
external_lung,seed43,paired_source_target,7,26,3461.0,973.0
external_lung,seed43,paired_source_target,7,27,3453.0,953.5
external_lung,seed43,paired_source_target,7,28,3462.0,951.0
external_lung,seed43,paired_source_target,7,29,3392.0,946.0
external_lung,seed43,paired_source_target,7,30,3453.0,954.5
external_lung,seed43,paired_source_target,7,31,3517.0,966.0
external_lung,seed43,paired_source_target,7,32,3377.0,937.0
external_lung,seed43,paired_source_target,7,33,3418.0,960.0
external_lung,seed43,paired_source_target,7,34,3427.0,983.5
external_lung,seed43,paired_source_target,7,35,3446.0,974.5
external_lung,seed43,paired_source_target,11,0,3505.0,1003.5
external_lung,seed43,paired_source_target,11,1,3508.0,1005.5
external_lung,seed43,paired_source_target,11,2,3502.0,982.0
external_lung,seed43,paired_source_target,11,3,3532.0,1021.0
external_lung,seed43,paired_source_target,11,4,3498.0,968.0
external_lung,seed43,paired_source_target,11,5,3499.0,1001.5
external_lung,seed43,paired_source_target,11,6,3521.0,973.5
external_lung,seed43,paired_source_target,11,7,3553.0,1013.5
external_lung,seed43,paired_source_target,11,8,3530.0,977.5
external_lung,seed43,paired_source_target,11,9,3484.0,976.0
external_lung,seed43,paired_source_target,11,10,3531.0,1017.0
external_lung,seed43,paired_source_target,11,11,3478.0,991.5
external_lung,seed43,paired_source_target,11,12,3543.0,1016.0
external_lung,seed43,paired_source_target,11,13,3448.0,962.5
external_lung,seed43,paired_source_target,11,14,3481.0,1000.0
external_lung,seed43,paired_source_target,11,15,3473.0,979.5
external_lung,seed43,paired_source_target,11,16,3487.0,950.5
external_lung,seed43,paired_source_target,11,17,3491.0,1003.0
external_lung,seed43,paired_source_target,11,18,3521.0,1016.5
external_lung,seed43,paired_source_target,11,19,3538.0,976.0
external_lung,seed43,paired_source_target,11,20,3541.0,954.5
external_lung,seed43,paired_source_target,11,21,3530.0,962.0
external_lung,seed43,paired_source_target,11,22,3542.0,987.5
external_lung,seed43,paired_source_target,11,23,3505.0,991.5
external_lung,seed43,paired_source_target,11,24,3568.0,1019.0
external_lung,seed43,paired_source_target,11,25,3571.0,1025.5
external_lung,seed43,paired_source_target,11,26,3535.0,971.0
external_lung,seed43,paired_source_target,11,27,3415.0,989.0
external_lung,seed43,paired_source_target,11,28,3479.0,964.5
external_lung,seed43,paired_source_target,11,29,3472.0,978.0
external_lung,seed43,paired_source_target,11,30,3484.0,942.0
external_lung,seed43,paired_source_target,11,31,3536.0,1013.5
external_lung,seed43,paired_source_target,11,32,3519.0,976.0
external_lung,seed43,paired_source_target,11,33,3587.0,1007.5
external_lung,seed43,paired_source_target,11,34,3508.0,988.5
external_lung,seed43,paired_source_target,11,35,3509.0,1009.0
external_lung,seed44,paired_source_target,0,0,3581.0,1015.0
external_lung,seed44,paired_source_target,0,1,3507.0,1010.0
external_lung,seed44,paired_source_target,0,2,3609.0,1054.5
external_lung,seed44,paired_source_target,0,3,3573.0,1050.0
external_lung,seed44,paired_source_target,0,4,3599.0,1032.0
external_lung,seed44,paired_source_target,0,5,3540.0,1001.5
external_lung,seed44,paired_source_target,0,6,3465.0,1014.0
external_lung,seed44,paired_source_target,0,7,3609.0,1033.0
external_lung,seed44,paired_source_target,0,8,3531.0,1008.0
external_lung,seed44,paired_source_target,0,9,3592.0,1016.5
external_lung,seed44,paired_source_target,0,10,3621.0,1033.5
external_lung,seed44,paired_source_target,0,11,3578.0,1035.0
external_lung,seed44,paired_source_target,0,12,3531.0,1001.0
external_lung,seed44,paired_source_target,0,13,3604.0,1024.0
external_lung,seed44,paired_source_target,0,14,3626.0,1031.5
external_lung,seed44,paired_source_target,0,15,3531.0,1027.5
external_lung,seed44,paired_source_target,0,16,3557.0,983.0
external_lung,seed44,paired_source_target,0,17,3554.0,1057.5
external_lung,seed44,paired_source_target,0,18,3597.0,1023.0
external_lung,seed44,paired_source_target,0,19,3643.0,1040.0
external_lung,seed44,paired_source_target,0,20,3533.0,994.5
external_lung,seed44,paired_source_target,0,21,3599.0,1011.0
external_lung,seed44,paired_source_target,0,22,3557.0,981.0
external_lung,seed44,paired_source_target,0,23,3515.0,996.0
external_lung,seed44,paired_source_target,0,24,3588.0,1024.5
external_lung,seed44,paired_source_target,0,25,3585.0,1003.5
external_lung,seed44,paired_source_target,0,26,3540.0,962.0
external_lung,seed44,paired_source_target,0,27,3556.0,1019.0
external_lung,seed44,paired_source_target,0,28,3599.0,1020.0
external_lung,seed44,paired_source_target,0,29,3563.0,1024.0
external_lung,seed44,paired_source_target,0,30,3604.0,1017.5
external_lung,seed44,paired_source_target,0,31,3541.0,990.0
external_lung,seed44,paired_source_target,0,32,3552.0,1010.0
external_lung,seed44,paired_source_target,0,33,3606.0,1026.5
external_lung,seed44,paired_source_target,0,34,3533.0,1039.0
external_lung,seed44,paired_source_target,0,35,3607.0,998.5
external_lung,seed44,paired_source_target,3,0,3470.0,986.5
external_lung,seed44,paired_source_target,3,1,3550.0,1027.5
external_lung,seed44,paired_source_target,3,2,3603.0,1041.0
external_lung,seed44,paired_source_target,3,3,3540.0,1013.5
external_lung,seed44,paired_source_target,3,4,3535.0,1010.5
external_lung,seed44,paired_source_target,3,5,3526.0,1004.0
external_lung,seed44,paired_source_target,3,6,3516.0,1035.5
external_lung,seed44,paired_source_target,3,7,3484.0,970.5
external_lung,seed44,paired_source_target,3,8,3519.0,1049.0
external_lung,seed44,paired_source_target,3,9,3530.0,1017.5
external_lung,seed44,paired_source_target,3,10,3595.0,1019.0
external_lung,seed44,paired_source_target,3,11,3501.0,1008.5
external_lung,seed44,paired_source_target,3,12,3429.0,984.0
external_lung,seed44,paired_source_target,3,13,3548.0,1022.5
external_lung,seed44,paired_source_target,3,14,3510.0,1006.0
external_lung,seed44,paired_source_target,3,15,3497.0,1016.0
external_lung,seed44,paired_source_target,3,16,3510.0,1001.0
external_lung,seed44,paired_source_target,3,17,3497.0,997.5
external_lung,seed44,paired_source_target,3,18,3419.0,974.0
external_lung,seed44,paired_source_target,3,19,3531.0,1018.0
external_lung,seed44,paired_source_target,3,20,3547.0,1013.0
external_lung,seed44,paired_source_target,3,21,3539.0,1031.0
external_lung,seed44,paired_source_target,3,22,3579.0,1030.5
external_lung,seed44,paired_source_target,3,23,3547.0,1034.5
external_lung,seed44,paired_source_target,3,24,3520.0,987.5
external_lung,seed44,paired_source_target,3,25,3499.0,985.5
external_lung,seed44,paired_source_target,3,26,3538.0,996.0
external_lung,seed44,paired_source_target,3,27,3508.0,997.0
external_lung,seed44,paired_source_target,3,28,3506.0,1020.0
external_lung,seed44,paired_source_target,3,29,3544.0,998.0
external_lung,seed44,paired_source_target,3,30,3567.0,1009.5
external_lung,seed44,paired_source_target,3,31,3477.0,992.5
external_lung,seed44,paired_source_target,3,32,3535.0,1025.0
external_lung,seed44,paired_source_target,3,33,3598.0,999.0
external_lung,seed44,paired_source_target,3,34,3574.0,1003.0
external_lung,seed44,paired_source_target,3,35,3582.0,989.0
external_lung,seed44,paired_source_target,7,0,3346.0,938.5
external_lung,seed44,paired_source_target,7,1,3463.0,984.5
external_lung,seed44,paired_source_target,7,2,3359.0,951.0
external_lung,seed44,paired_source_target,7,3,3393.0,935.5
external_lung,seed44,paired_source_target,7,4,3339.0,932.0
external_lung,seed44,paired_source_target,7,5,3368.0,947.0
external_lung,seed44,paired_source_target,7,6,3394.0,978.5
external_lung,seed44,paired_source_target,7,7,3379.0,947.5
external_lung,seed44,paired_source_target,7,8,3399.0,957.0
external_lung,seed44,paired_source_target,7,9,3386.0,956.5
external_lung,seed44,paired_source_target,7,10,3470.0,959.5
external_lung,seed44,paired_source_target,7,11,3397.0,965.5
external_lung,seed44,paired_source_target,7,12,3406.0,960.5
external_lung,seed44,paired_source_target,7,13,3362.0,965.0
external_lung,seed44,paired_source_target,7,14,3392.0,941.0
external_lung,seed44,paired_source_target,7,15,3328.0,931.5
external_lung,seed44,paired_source_target,7,16,3387.0,949.0
external_lung,seed44,paired_source_target,7,17,3418.0,950.5
external_lung,seed44,paired_source_target,7,18,3341.0,941.0
external_lung,seed44,paired_source_target,7,19,3301.0,903.5
external_lung,seed44,paired_source_target,7,20,3380.0,941.5
external_lung,seed44,paired_source_target,7,21,3400.0,949.5
external_lung,seed44,paired_source_target,7,22,3386.0,962.5
external_lung,seed44,paired_source_target,7,23,3377.0,936.0
external_lung,seed44,paired_source_target,7,24,3367.0,954.5
external_lung,seed44,paired_source_target,7,25,3350.0,915.5
external_lung,seed44,paired_source_target,7,26,3389.0,975.5
external_lung,seed44,paired_source_target,7,27,3440.0,957.5
external_lung,seed44,paired_source_target,7,28,3354.0,961.0
external_lung,seed44,paired_source_target,7,29,3287.0,912.5
external_lung,seed44,paired_source_target,7,30,3371.0,949.0
external_lung,seed44,paired_source_target,7,31,3333.0,949.0
external_lung,seed44,paired_source_target,7,32,3408.0,990.0
external_lung,seed44,paired_source_target,7,33,3447.0,961.5
external_lung,seed44,paired_source_target,7,34,3352.0,969.0
external_lung,seed44,paired_source_target,7,35,3377.0,991.0
external_lung,seed44,paired_source_target,11,0,3488.0,984.0
external_lung,seed44,paired_source_target,11,1,3387.0,981.0
external_lung,seed44,paired_source_target,11,2,3425.0,984.0
external_lung,seed44,paired_source_target,11,3,3438.0,990.0
external_lung,seed44,paired_source_target,11,4,3421.0,963.5
external_lung,seed44,paired_source_target,11,5,3447.0,973.5
external_lung,seed44,paired_source_target,11,6,3440.0,945.5
external_lung,seed44,paired_source_target,11,7,3431.0,1005.5
external_lung,seed44,paired_source_target,11,8,3421.0,973.0
external_lung,seed44,paired_source_target,11,9,3499.0,1016.0
external_lung,seed44,paired_source_target,11,10,3409.0,979.5
external_lung,seed44,paired_source_target,11,11,3451.0,978.5
external_lung,seed44,paired_source_target,11,12,3401.0,958.5
external_lung,seed44,paired_source_target,11,13,3445.0,992.0
external_lung,seed44,paired_source_target,11,14,3430.0,972.5
external_lung,seed44,paired_source_target,11,15,3464.0,959.5
external_lung,seed44,paired_source_target,11,16,3381.0,960.0
external_lung,seed44,paired_source_target,11,17,3433.0,989.5
external_lung,seed44,paired_source_target,11,18,3424.0,970.5
external_lung,seed44,paired_source_target,11,19,3454.0,932.5
external_lung,seed44,paired_source_target,11,20,3464.0,1027.5
external_lung,seed44,paired_source_target,11,21,3480.0,1017.5
external_lung,seed44,paired_source_target,11,22,3409.0,974.0
external_lung,seed44,paired_source_target,11,23,3479.0,986.5
external_lung,seed44,paired_source_target,11,24,3440.0,970.0
external_lung,seed44,paired_source_target,11,25,3353.0,969.5
external_lung,seed44,paired_source_target,11,26,3422.0,969.5
external_lung,seed44,paired_source_target,11,27,3467.0,995.0
external_lung,seed44,paired_source_target,11,28,3442.0,979.5
external_lung,seed44,paired_source_target,11,29,3444.0,1009.5
external_lung,seed44,paired_source_target,11,30,3382.0,962.0
external_lung,seed44,paired_source_target,11,31,3394.0,952.5
external_lung,seed44,paired_source_target,11,32,3458.0,980.0
external_lung,seed44,paired_source_target,11,33,3449.0,970.5
external_lung,seed44,paired_source_target,11,34,3483.0,1020.0
external_lung,seed44,paired_source_target,11,35,3388.0,930.5
immune,seed42_main,paired_source_target,0,0,3338.0,979.5
immune,seed42_main,paired_source_target,0,1,3335.0,983.5
immune,seed42_main,paired_source_target,0,2,3261.0,968.5
immune,seed42_main,paired_source_target,0,3,3324.0,963.5
immune,seed42_main,paired_source_target,0,4,3370.0,985.5
immune,seed42_main,paired_source_target,0,5,3339.0,987.5
immune,seed42_main,paired_source_target,0,6,3288.0,940.5
immune,seed42_main,paired_source_target,0,7,3276.0,952.0
immune,seed42_main,paired_source_target,0,8,3260.0,975.0
immune,seed42_main,paired_source_target,0,9,3249.0,937.0
immune,seed42_main,paired_source_target,0,10,3323.0,959.5
immune,seed42_main,paired_source_target,0,11,3299.0,977.0
immune,seed42_main,paired_source_target,0,12,3253.0,937.5
immune,seed42_main,paired_source_target,0,13,3373.0,981.0
immune,seed42_main,paired_source_target,0,14,3348.0,983.0
immune,seed42_main,paired_source_target,0,15,3329.0,965.5
immune,seed42_main,paired_source_target,0,16,3292.0,975.5
immune,seed42_main,paired_source_target,0,17,3361.0,963.5
immune,seed42_main,paired_source_target,0,18,3315.0,984.0
immune,seed42_main,paired_source_target,0,19,3367.0,984.0
immune,seed42_main,paired_source_target,0,20,3319.0,957.5
immune,seed42_main,paired_source_target,0,21,3267.0,949.0
immune,seed42_main,paired_source_target,0,22,3302.0,952.5
immune,seed42_main,paired_source_target,0,23,3277.0,947.5
immune,seed42_main,paired_source_target,0,24,3357.0,972.5
immune,seed42_main,paired_source_target,0,25,3389.0,1000.0
immune,seed42_main,paired_source_target,0,26,3356.0,992.5
immune,seed42_main,paired_source_target,0,27,3348.0,976.0
immune,seed42_main,paired_source_target,0,28,3385.0,978.0
immune,seed42_main,paired_source_target,0,29,3351.0,966.0
immune,seed42_main,paired_source_target,0,30,3350.0,974.5
immune,seed42_main,paired_source_target,0,31,3304.0,957.0
immune,seed42_main,paired_source_target,0,32,3364.0,988.0
