domain,seed_tag,split_regime,layer,perm_idx,null_delta_auc_bif_minus_distance
immune,seed42_main,source_disjoint,7,18,-0.005978957487716263
immune,seed42_main,source_disjoint,7,19,-0.0021389660328988702
immune,seed42_main,source_disjoint,7,20,-0.0013191625720999633
immune,seed42_main,source_disjoint,7,21,0.0003818628498184484
immune,seed42_main,source_disjoint,7,22,-0.005017624439222268
immune,seed42_main,source_disjoint,7,23,0.006091113010040838
immune,seed42_main,source_disjoint,7,24,-0.004657124546037172
immune,seed42_main,source_disjoint,7,25,-0.0037198248237555465
immune,seed42_main,source_disjoint,7,26,0.003118991668446869
immune,seed42_main,source_disjoint,7,27,0.006077761162144979
immune,seed42_main,source_disjoint,7,28,-0.0037759025849177785
immune,seed42_main,source_disjoint,7,29,-0.005837427900021286
immune,seed42_main,source_disjoint,7,30,0.0016582995086520391
immune,seed42_main,source_disjoint,7,31,-0.0053834650715659516
immune,seed42_main,source_disjoint,7,32,-0.004526276436658816
immune,seed42_main,source_disjoint,7,33,-0.0016396069215978137
immune,seed42_main,source_disjoint,7,34,-0.003410061952574206
immune,seed42_main,source_disjoint,7,35,-0.006414227729117483
immune,seed42_main,source_disjoint,11,0,-0.008814889980773288
immune,seed42_main,source_disjoint,11,1,-0.005770668660542655
immune,seed42_main,source_disjoint,11,2,-0.007274086733603857
immune,seed42_main,source_disjoint,11,3,-0.007957701345866375
immune,seed42_main,source_disjoint,11,4,0.0002964110232855921
immune,seed42_main,source_disjoint,11,5,-0.002886669515060891
immune,seed42_main,source_disjoint,11,6,-0.003276543473616833
immune,seed42_main,source_disjoint,11,7,-0.006825464644306778
immune,seed42_main,source_disjoint,11,8,-0.010085985900448624
immune,seed42_main,source_disjoint,11,9,-0.011904507583849644
immune,seed42_main,source_disjoint,11,10,-0.016380046998504594
immune,seed42_main,source_disjoint,11,11,-0.0033139286477249508
immune,seed42_main,source_disjoint,11,12,-0.0039094210638752624
immune,seed42_main,source_disjoint,11,13,-0.003492843409527824
immune,seed42_main,source_disjoint,11,14,-0.006705298013245042
immune,seed42_main,source_disjoint,11,15,-0.002467421491134436
immune,seed42_main,source_disjoint,11,16,-0.009073915829950874
immune,seed42_main,source_disjoint,11,17,0.003839991454817282
immune,seed42_main,source_disjoint,11,18,-1.0681478316620918e-05
immune,seed42_main,source_disjoint,11,19,0.0005954924161504227
immune,seed42_main,source_disjoint,11,20,-0.0008411664174321487
immune,seed42_main,source_disjoint,11,21,-0.0022244178594318376
immune,seed42_main,source_disjoint,11,22,-0.0020561845759453634
immune,seed42_main,source_disjoint,11,23,-0.00186391796624652
immune,seed42_main,source_disjoint,11,24,-0.002851954710531901
immune,seed42_main,source_disjoint,11,25,-0.003415402691732461
immune,seed42_main,source_disjoint,11,26,-0.0071913052766503505
immune,seed42_main,source_disjoint,11,27,-0.0022858363597522136
immune,seed42_main,source_disjoint,11,28,-0.003337961973937209
immune,seed42_main,source_disjoint,11,29,0.0056344798120059325
