domain,seed_tag,split_regime,transition_from,transition_to,transition,n_edges_eval,n_positive_eval,n_nodes_graph,auc_id_interaction,auc_directed_geodesic_baseline,delta_auc_id_interaction_minus_baseline,mean_edge_margin,mean_abs_id_delta_gap,p_partner_upper,p_order_upper,p_label_upper,p_best_upper
immune,seed42_main,target_disjoint,3,7,3->7,1111,276,170,0.7412175648702595,0.8778095981949146,-0.13659203332465508,0.07232223222322232,23.612978864417993,0.5384615384615384,0.23076923076923078,1.0,0.23076923076923078
immune,seed42_main,target_disjoint,7,11,7->11,1111,276,170,0.7554846828082964,0.8934435476872342,-0.13795886487893783,0.07232223222322232,27.792173978655725,0.9230769230769231,0.23076923076923078,1.0,0.23076923076923078
immune,seed43,source_disjoint,0,3,0->3,920,234,170,0.7499501632154695,0.8902344820712167,-0.14028431885574721,0.07706521739130436,29.302220132937176,0.9230769230769231,0.07692307692307693,1.0,0.07692307692307693
immune,seed43,source_disjoint,3,7,3->7,920,234,170,0.7267573696145124,0.8881101891305974,-0.16135281951608493,0.07706521739130436,31.715855507865285,1.0,0.15384615384615385,1.0,0.15384615384615385
immune,seed43,source_disjoint,7,11,7->11,920,234,170,0.7154755675163837,0.8965076873240139,-0.18103211980763012,0.07706521739130436,34.745555977206344,1.0,0.7692307692307693,1.0,0.7692307692307693
immune,seed43,target_disjoint,0,3,0->3,1082,274,170,0.7571773144467732,0.8667250849172509,-0.1095477704704777,0.07463031423290205,25.98257042441802,0.07692307692307693,0.9230769230769231,1.0,0.07692307692307693
immune,seed43,target_disjoint,3,7,3->7,1082,274,170,0.6726439979764399,0.8668696249186962,-0.1942256269422563,0.07463031423290205,30.8653624772762,1.0,0.3076923076923077,1.0,0.3076923076923077
immune,seed43,target_disjoint,7,11,7->11,1082,274,170,0.6854312712293127,0.8803434631784346,-0.1949121919491219,0.07463031423290205,30.613173611560207,1.0,0.38461538461538464,1.0,0.38461538461538464
immune,seed44,source_disjoint,0,3,0->3,949,242,170,0.7553391702806644,0.8928074625644382,-0.13746829228377377,0.0785036880927292,27.933424826722618,1.0,0.23076923076923078,1.0,0.23076923076923078
immune,seed44,source_disjoint,3,7,3->7,949,242,170,0.7482611897553392,0.887132219715478,-0.13887102996013878,0.0785036880927292,34.58264447564315,0.9230769230769231,0.38461538461538464,1.0,0.38461538461538464
immune,seed44,source_disjoint,7,11,7->11,949,242,170,0.7432171788607431,0.8961097408442144,-0.15289256198347123,0.0785036880927292,29.141071398547595,1.0,0.5384615384615384,1.0,0.5384615384615384
immune,seed44,target_disjoint,0,3,0->3,1110,272,170,0.7198336375122841,0.8789747999438439,-0.15914116243155974,0.07468468468468469,24.178419218888262,1.0,0.9230769230769231,1.0,0.9230769230769231
immune,seed44,target_disjoint,3,7,3->7,1110,272,170,0.6889872595816369,0.8813351116102766,-0.1923478520286397,0.07468468468468469,24.228699017768204,1.0,0.07692307692307693,1.0,0.07692307692307693
immune,seed44,target_disjoint,7,11,7->11,1110,272,170,0.7632405587533342,0.8981556226309139,-0.13491506387757968,0.07468468468468469,18.693488084070037,0.38461538461538464,0.07692307692307693,1.0,0.07692307692307693
lung,seed42_main,source_disjoint,0,3,0->3,690,342,170,0.6643140418095045,0.7795506486522821,-0.11523660684277759,0.10282608695652176,24.630149274591858,1.0,0.5384615384615384,1.0,0.5384615384615384
lung,seed42_main,source_disjoint,3,7,3->7,690,342,170,0.6510301135981716,0.7740387847012167,-0.12300867110304503,0.10282608695652176,27.288101662453688,0.9230769230769231,0.5384615384615384,1.0,0.5384615384615384
lung,seed42_main,source_disjoint,7,11,7->11,690,342,170,0.6686663977952545,0.8004722054177591,-0.1318058076225046,0.10282608695652176,30.83863344886429,0.9230769230769231,1.0,1.0,0.9230769230769231
lung,seed42_main,target_disjoint,0,3,0->3,879,561,167,0.7157367235058689,0.8178230697653561,-0.1020863462594872,0.1594994311717861,28.46711499424035,0.23076923076923078,0.46153846153846156,1.0,0.23076923076923078
lung,seed42_main,target_disjoint,3,7,3->7,879,561,167,0.7124295115416093,0.8189105259027567,-0.10648101436114743,0.1594994311717861,24.16787818371211,0.38461538461538464,0.38461538461538464,1.0,0.38461538461538464
lung,seed42_main,target_disjoint,7,11,7->11,879,561,167,0.7152658662092624,0.8339723539501565,-0.1187064877408941,0.1594994311717861,31.783282852812388,1.0,0.46153846153846156,1.0,0.46153846153846156
lung,seed43,source_disjoint,0,3,0->3,760,384,169,0.7233419215425532,0.8101243905141845,-0.08678246897163133,0.10111842105263157,25.920465308461132,0.46153846153846156,0.7692307692307693,1.0,0.46153846153846156
lung,seed43,source_disjoint,3,7,3->7,760,384,169,0.7003961657801417,0.802325742464539,-0.10192957668439728,0.10111842105263157,27.47611621423528,0.6923076923076923,0.9230769230769231,1.0,0.6923076923076923
lung,seed43,source_disjoint,7,11,7->11,760,384,169,0.7265486480496453,0.8288245234929079,-0.10227587544326266,0.10111842105263157,24.290949311249474,0.6923076923076923,1.0,1.0,0.6923076923076923
lung,seed43,target_disjoint,0,3,0->3,847,559,170,0.7079078463526138,0.8076643559928444,-0.09975650964023053,0.1586776859504132,21.307568652944862,0.23076923076923078,0.6153846153846154,1.0,0.23076923076923078
lung,seed43,target_disjoint,3,7,3->7,847,559,170,0.6722694295368714,0.7920331445040747,-0.11976371496720328,0.1586776859504132,24.174419616318257,1.0,0.8461538461538461,1.0,0.8461538461538461
lung,seed43,target_disjoint,7,11,7->11,847,559,170,0.6829376614987079,0.8044281703438679,-0.12149050884516,0.1586776859504132,24.909666553074917,1.0,0.23076923076923078,1.0,0.23076923076923078
lung,seed44,source_disjoint,0,3,0->3,751,368,169,0.6909410829833125,0.802737257350437,-0.11179617436712452,0.10193075898801597,25.267425811628282,0.8461538461538461,0.9230769230769231,1.0,0.8461538461538461
lung,seed44,source_disjoint,3,7,3->7,751,368,169,0.7067133045748667,0.8094491429220118,-0.10273583834714506,0.10193075898801597,25.54463495359868,0.8461538461538461,0.8461538461538461,1.0,0.8461538461538461
lung,seed44,source_disjoint,7,11,7->11,751,368,169,0.7179801907140424,0.8235540356453628,-0.10557384493132038,0.10193075898801597,22.736828111429173,0.7692307692307693,0.38461538461538464,1.0,0.38461538461538464
lung,seed44,target_disjoint,0,3,0->3,859,549,170,0.6881132851518891,0.8123861566484518,-0.12427287149656274,0.1580908032596042,28.455652993055264,1.0,0.46153846153846156,1.0,0.46153846153846156
lung,seed44,target_disjoint,3,7,3->7,859,549,170,0.6654797579176215,0.8104530230918385,-0.14497326517421705,0.1580908032596042,31.546231281913236,1.0,0.8461538461538461,1.0,0.8461538461538461
lung,seed44,target_disjoint,7,11,7->11,859,549,170,0.6928432927904108,0.8175803513719959,-0.12473705858158513,0.1580908032596042,29.54295708896776,1.0,1.0,1.0,1.0
