domain,split_regime,layer,diffusion_t,source,target,source_idx,target_idx,label,diffusion_score,geodesic_score,euclidean_score,prior_support_count,dorothea_support,go_shared,source_is_tf,trrust_support_bookkeeping,source_degree,target_degree,mean_degree
external_lung,source_disjoint,3,1,BCL3,RELA,2672,1373,1,-0.22134979713822733,-6.460808190810867,-6.460808190810867,1,0,1,0,1,6.0,14.0,10.0
external_lung,source_disjoint,3,1,BCL6,BCL11A,513,665,0,-0.20624189588447325,-7.91182620318746,-7.91182620318746,2,0,1,1,0,9.0,12.0,10.5
external_lung,source_disjoint,3,1,BCL6,BRCA1,513,4618,0,-0.2505946179231262,-9.932236762072183,-9.932236762072183,2,0,1,1,0,9.0,29.0,19.0
external_lung,source_disjoint,3,1,BCL6,CCND2,513,1483,1,-0.20544007568854042,-8.379492436131402,-8.379492436131402,3,1,1,1,1,9.0,20.0,14.5
external_lung,source_disjoint,3,1,BCL6,CDKN1A,513,307,1,-0.16974961170021918,-6.529218992592459,-6.529218992592459,2,0,1,1,1,9.0,60.0,34.5
external_lung,source_disjoint,3,1,BCL6,HDAC7,513,1744,1,-0.19106047526989559,-7.192569113548183,-7.192569113548183,3,1,1,1,1,9.0,11.0,10.0
external_lung,source_disjoint,3,1,BCL6,MYC,513,4533,1,-0.1605212349601085,-6.01653002755615,-6.01653002755615,2,0,1,1,1,9.0,41.0,25.0
external_lung,source_disjoint,3,1,BCL6,NFKB1,513,6289,1,-0.22441985311299517,-7.69439768497113,-7.69439768497113,2,0,1,1,1,9.0,21.0,15.0
external_lung,source_disjoint,3,1,BCL6,RARB,513,2137,0,-0.2298448294286033,-6.811064681555017,-6.811064681555017,2,0,1,1,0,9.0,7.0,8.0
external_lung,source_disjoint,3,1,BCL6,STAT3,513,1962,1,-0.18811456076619038,-6.703824618266818,-6.703824618266818,2,0,1,1,1,9.0,8.0,8.5
external_lung,source_disjoint,3,1,BMI1,BRIP1,1670,41,0,-1.0152560806879287,-20.168265989520403,-20.168265989520403,1,0,1,0,0,6.0,5.0,5.5
external_lung,source_disjoint,3,1,BMI1,ETV1,1670,285,0,-0.22239998460108923,-9.209580367041283,-9.209580367041283,1,0,1,0,0,6.0,6.0,6.0
external_lung,source_disjoint,3,1,BMI1,MYBL1,1670,2657,0,-0.26829075367178484,-9.869659437202936,-9.869659437202936,1,0,1,0,0,6.0,4.0,5.0
external_lung,source_disjoint,3,1,BMI1,MYCN,1670,3760,0,-1.0152560806879287,-20.168265989520403,-20.168265989520403,1,0,1,0,0,6.0,13.0,9.5
external_lung,source_disjoint,3,1,BMI1,NOTCH3,1670,316,0,-0.27024879942540003,-10.15225413868062,-10.15225413868062,1,0,1,0,0,6.0,2.0,4.0
external_lung,source_disjoint,3,1,BMI1,TERT,1670,7489,1,-1.0152560806879287,-20.168265989520403,-20.168265989520403,1,0,1,0,1,6.0,20.0,13.0
external_lung,source_disjoint,3,1,BRD7,BRCA1,319,4618,0,-0.23606611313586284,-5.404508999264192,-5.404508999264192,1,0,1,0,0,6.0,29.0,17.5
