domain,seed_tag,split_regime,layer,n_edges,n_positive,n_points,edge_auc_local_linearity,twonn_mean,twonn_var,twonn_skew,pr_mean,pr_var,pr_skew
external_lung,seed43,target_disjoint,2,1563,952,240,0.508986164023711,26.437207263069293,658.1017997010323,1.6176570354052637,5.072658047033313,5.303667341858444,-1.4804254501174023
external_lung,seed43,target_disjoint,3,1563,952,240,0.48751358153736124,25.01227299266254,907.5274683555893,1.561220122233943,5.049273351074657,5.204923089459352,-1.5016137005609862
external_lung,seed43,target_disjoint,4,1563,952,240,0.48029129818867,22.57445283290175,773.5249071881398,1.7118538167713087,5.070237675678308,5.255087681220244,-1.4973393309075054
external_lung,seed43,target_disjoint,5,1563,952,240,0.46807822965520085,33.92938875989669,952.605393263057,0.8726889809765546,5.037256243721829,5.205934401913935,-1.4836359815792812
external_lung,seed43,target_disjoint,6,1563,952,240,0.47163521709829603,22.58232733218758,826.2382181759623,1.7026482751161671,4.96360946731915,4.978324436585245,-1.5374630201430008
external_lung,seed43,target_disjoint,7,1563,952,240,0.46385935716348736,23.445193057827353,824.4183848500555,1.6723238402351035,4.969109554751124,4.91809048023879,-1.5845489591368993
external_lung,seed43,target_disjoint,8,1563,952,240,0.4687418338857638,22.340285653037693,796.9381108558744,1.7427145711585719,4.90966052983392,4.938846506032059,-1.4830441200003415
external_lung,seed43,target_disjoint,9,1563,952,240,0.49332097814575904,30.478429534674987,849.8656976863834,1.37082880548161,4.9168298823133965,4.915003178783901,-1.512695308408417
external_lung,seed43,target_disjoint,10,1563,952,240,0.5089844448417665,24.027257651293226,935.1681843845838,1.6647214410367799,4.888332794502471,4.867017591870292,-1.5090037071405564
external_lung,seed43,target_disjoint,11,1563,952,240,0.492526716087417,31.9366734331355,897.0725980074706,1.170063353530272,4.843081707542627,4.699599868731239,-1.5573431923015433
external_lung,seed44,source_disjoint,0,1138,472,240,0.5221900926350079,27.156902206593486,661.4461140695009,1.6564377150211547,5.209111420255746,5.019605232274669,-1.556971860095185
external_lung,seed44,source_disjoint,1,1138,472,240,0.5225177508016492,26.691993370525946,979.7236662137548,1.4569357024384193,5.140287647352116,4.955326845649567,-1.530377636713628
external_lung,seed44,source_disjoint,2,1138,472,240,0.5151438514785972,24.100551078376323,854.5697232259739,1.6720795513102127,5.17505110413241,4.941078517732303,-1.576220508977532
external_lung,seed44,source_disjoint,3,1138,472,240,0.5016589682903242,24.157775811539008,825.6491779628637,1.656686987670773,5.178372073183283,4.892166066965407,-1.6126161722774945
external_lung,seed44,source_disjoint,4,1138,472,240,0.5187480913116506,25.601058412044342,926.8014810621879,1.586315624551197,5.126692071319777,4.919387389213789,-1.533429265274278
external_lung,seed44,source_disjoint,5,1138,472,240,0.5163813177584364,30.390920562791628,801.6969243171847,1.2947883944797949,5.047147427548867,4.675329383847036,-1.5952479355473173
external_lung,seed44,source_disjoint,6,1138,472,240,0.5225336565378939,29.296161829005634,818.6057682371695,1.4241129422306642,5.023988566240102,4.640187373757132,-1.581956643211719
external_lung,seed44,source_disjoint,7,1138,472,240,0.5021361403776659,23.794928213990126,804.4685170887551,1.6928596594426064,5.099981548493302,4.70452658047658,-1.6298757319306594
external_lung,seed44,source_disjoint,8,1138,472,240,0.504957817987479,26.434263053035824,953.4752173894892,1.4887295441717325,5.039775386368722,4.633035406831237,-1.5994300117652456
external_lung,seed44,source_disjoint,9,1138,472,240,0.4859600066167863,33.258079390425976,887.8611281600936,1.1076675768407727,5.04487498685862,4.701154307784287,-1.558841282888324
external_lung,seed44,source_disjoint,10,1138,472,240,0.49488630579732273,25.99162813617263,895.0706004676143,1.4507883927009264,4.984010018624834,4.524242172172142,-1.5938862378137515
external_lung,seed44,source_disjoint,11,1138,472,240,0.4977175268488828,26.8201275391799,942.1537872717388,1.3583647377073045,4.955750694904802,4.414689268653919,-1.6356153003887666
external_lung,seed44,target_disjoint,0,1588,944,240,0.5431369420465312,30.03721329143256,859.7888246200021,1.3637719793210077,5.19997599575382,4.297184691852763,-1.7402667064413204
external_lung,seed44,target_disjoint,1,1588,944,240,0.5054948218233498,24.28923553170184,725.6457438911674,1.5712198090096143,5.208958300178068,4.349207705669446,-1.7139476290683435
external_lung,seed44,target_disjoint,2,1588,944,240,0.5003182900831666,26.275197527316063,931.6913822909056,1.4762162166524015,5.1517668863745865,4.319667698822035,-1.6594143862491153
external_lung,seed44,target_disjoint,3,1588,944,240,0.4826832100747447,28.98967471402669,972.0004551991763,1.2689775044486744,5.1635704156463005,4.388937788907843,-1.6260218230617993
external_lung,seed44,target_disjoint,4,1588,944,240,0.4682047123381408,28.58687730827205,1070.5491280097087,1.3490546465465911,5.155173104705878,4.323316901137875,-1.6692842389426705
external_lung,seed44,target_disjoint,5,1588,944,240,0.5010124420991683,31.989927933031836,901.0903951664354,1.1550615817243661,5.1297174161978,4.224513573055129,-1.719082447819397
external_lung,seed44,target_disjoint,6,1588,944,240,0.4867444928413517,30.14373352000335,864.5033750843025,1.143480932342476,5.146735024380702,4.298159446012773,-1.672939493112851
external_lung,seed44,target_disjoint,7,1588,944,240,0.5111171241709653,24.238528906138995,873.6027941548246,1.7357594982365867,5.191891530502359,4.2895862474938555,-1.7482560529810622
external_lung,seed44,target_disjoint,8,1588,944,240,0.5035143501947574,24.72820858373631,846.2993326355555,1.616269692109305,5.1248124022363,4.218558305037765,-1.7208581006819097
external_lung,seed44,target_disjoint,9,1588,944,240,0.5051000434256236,31.008551368617347,913.2860480318634,1.2817333893155065,5.083554957729975,4.1358455357948145,-1.7352899076772677
external_lung,seed44,target_disjoint,10,1588,944,240,0.5161752223918308,32.04169364628817,946.2970477880965,1.166656443046014,5.134130267283128,4.2232913266579715,-1.7297055046864662
external_lung,seed44,target_disjoint,11,1588,944,240,0.4952832206021686,28.547757211523578,795.339804838841,1.5346143099996652,5.144217574540854,4.210416169948283,-1.7510383546749482
immune,seed42_main,source_disjoint,0,1260,303,240,0.5518879474154312,21.17822482494758,749.5053158415903,1.8863526754240958,5.249125135489856,5.404247939992126,-1.634898557595355
immune,seed42_main,source_disjoint,1,1260,303,240,0.567689527573447,29.380316843918777,760.2124026041147,1.4129192538010387,5.215266646744181,5.4491384425479,-1.5612200502333617
immune,seed42_main,source_disjoint,2,1260,303,240,0.5661859289377213,23.62535104108458,824.2077742060152,1.6456224873916256,5.159211846132242,5.296070355456682,-1.5858498926755653
immune,seed42_main,source_disjoint,3,1260,303,240,0.5463736028775291,22.895614774024875,875.6563218873482,1.7858979237158072,5.086165636900696,5.259766504192036,-1.5203882902749513
immune,seed42_main,source_disjoint,4,1260,303,240,0.52683026923382,23.080770044838378,851.1255354930212,1.7061543159367174,5.005494151705585,5.20797472356631,-1.4580445023690392
immune,seed42_main,source_disjoint,5,1260,303,240,0.5437871373344232,22.210230174181735,881.4758755634543,1.805650826272331,4.960730408263016,5.12852403028458,-1.4529540277148725
immune,seed42_main,source_disjoint,6,1260,303,240,0.5536329495018468,21.948813152539074,761.6735677760237,1.8132291464448507,4.926087384074873,5.0872453744627455,-1.4524332621271603
immune,seed42_main,source_disjoint,7,1260,303,240,0.5634028920133392,22.35542679478753,834.3742206080699,1.7809144653545521,4.967502932981009,5.183100878241634,-1.4524650617765666
immune,seed42_main,source_disjoint,8,1260,303,240,0.5943059823223702,20.755968218051915,671.2326547981105,1.9304118414997484,4.929499765497354,5.150631658153044,-1.4280018157457883
immune,seed42_main,source_disjoint,9,1260,303,240,0.5704553213942084,33.25160586638045,878.3394967077436,0.900802758821109,4.975864536888699,5.2829020705989,-1.4117342918401072
immune,seed42_main,source_disjoint,10,1260,303,240,0.5781940262991817,24.567160241294044,914.2952981534603,1.5176300626207186,4.971694188411648,5.190758246460837,-1.4398637106984955
immune,seed42_main,source_disjoint,11,1260,303,240,0.6171048139296689,22.825652717618855,792.4651945462026,1.7433266213020986,4.861324280492232,5.025843719692814,-1.4046799463014712
immune,seed42_main,target_disjoint,0,1465,357,227,0.5784945747251969,20.68944344990933,736.4783398224107,1.8440209013170727,4.7740118509098,7.000868935470681,-1.1328379311084227
immune,seed42_main,target_disjoint,1,1465,357,227,0.5724246377251261,32.61891355822081,845.7345740591522,1.0998747036794303,4.719914845820241,6.890183707254914,-1.1124467381559078
immune,seed42_main,target_disjoint,2,1465,357,227,0.5645723993568547,21.556560042485646,807.8346875913218,1.7760495715197553,4.7317078732403495,6.886051107899763,-1.1307429127941548
immune,seed42_main,target_disjoint,3,1465,357,227,0.5707737968833743,18.6835935171215,632.6003720873608,1.9777078774939132,4.589527934236106,6.547065272417495,-1.0943800013643172
immune,seed42_main,target_disjoint,4,1465,357,227,0.5594707196958205,25.63893948647095,697.221443781696,1.8061337281144878,4.579347249954357,6.527518092019774,-1.0901000482037166
immune,seed42_main,target_disjoint,5,1465,357,227,0.5771976660700381,26.610080528576507,731.6797038125842,1.7685890311162662,4.550834048717998,6.479328692762109,-1.0763997502450506
immune,seed42_main,target_disjoint,6,1465,357,227,0.5884956870834976,19.649199004847166,639.9409595607759,1.921286737796896,4.5503203817751405,6.506569021669905,-1.0669624161458648
immune,seed42_main,target_disjoint,7,1465,357,227,0.5842383884961927,25.007878259505006,646.7893596003942,1.8797089247917687,4.527616132451306,6.354880688018392,-1.102379363057769
immune,seed42_main,target_disjoint,8,1465,357,227,0.5713249198596406,22.437719840190223,898.982024255204,1.6257563189555266,4.484749789300672,6.207384529538583,-1.1151228284160408
immune,seed42_main,target_disjoint,9,1465,357,227,0.5705184600916178,22.254873181104024,893.6346103540308,1.6870448100697446,4.530565016523935,6.322407129330295,-1.1264035042196605
immune,seed42_main,target_disjoint,10,1465,357,227,0.5587552710614931,19.83963902450971,675.6334651494051,1.8483529646309491,4.506516862157102,6.262325120012267,-1.1217374335718286
immune,seed42_main,target_disjoint,11,1465,357,227,0.5804715387960238,25.951258689909587,570.8036844773932,1.6203766798674684,4.429095773874697,6.17158068516338,-1.0655552947096685
immune,seed43,source_disjoint,0,1218,300,240,0.5626724763979666,23.642729234423875,807.3202685227704,1.5793841373291009,5.030128767507548,6.212978828821911,-1.3885345666074274
immune,seed43,source_disjoint,1,1218,300,240,0.5234277414669571,24.75796467898011,987.2982558754352,1.4930965352624823,5.051121969258009,6.2244439941907626,-1.4071905750224016
immune,seed43,source_disjoint,2,1218,300,240,0.5127668845315905,32.41026310555311,852.7332896241584,1.173189485693293,4.972735216741149,6.115298070157956,-1.3644951879096336
